ctype,sig,a0,a1
BLCA-US,SBS1,5.46779847416012E-06,-2.00945466811351E-08
BLCA-US,SBS2,3.67085623429112E-05,2.32042161333129E-07
BLCA-US,SBS3,0,0
BLCA-US,SBS4,4.99371742851189E-05,-8.2542013252683E-07
BLCA-US,SBS5,0.000107449417416,-8.09875072241658E-07
BLCA-US,SBS6,0,0
BLCA-US,SBS7a,0,0
BLCA-US,SBS7b,0,0
BLCA-US,SBS7c,0,0
BLCA-US,SBS7d,0,0
BLCA-US,SBS8,9.47332119946698E-06,-1.50579293884507E-07
BLCA-US,SBS9,0,0
BLCA-US,SBS10a,0,0
BLCA-US,SBS10b,0,0
BLCA-US,SBS11,0,0
BLCA-US,SBS12,0,0
BLCA-US,SBS13,4.01410918004555E-05,1.16976034222819E-07
BLCA-US,SBS14,0,0
BLCA-US,SBS15,0,0
BLCA-US,SBS16,0,0
BLCA-US,SBS17a,0,0
BLCA-US,SBS17b,0,0
BLCA-US,SBS18,0,0
BLCA-US,SBS19,0,0
BLCA-US,SBS20,0,0
BLCA-US,SBS21,0,0
BLCA-US,SBS22,0,0
BLCA-US,SBS23,0,0
BLCA-US,SBS24,0,0
BLCA-US,SBS25,0,0
BLCA-US,SBS26,0,0
BLCA-US,SBS27,0,0
BLCA-US,SBS28,0,0
BLCA-US,SBS29,0,0
BLCA-US,SBS30,0,0
BLCA-US,SBS31,0,0
BLCA-US,SBS32,0,0
BLCA-US,SBS33,0,0
BLCA-US,SBS34,0,0
BLCA-US,SBS35,0,0
BLCA-US,SBS36,0,0
BLCA-US,SBS37,0,0
BLCA-US,SBS38,0,0
BLCA-US,SBS39,0,0
BLCA-US,SBS40,0,0
BLCA-US,SBS41,0,0
BLCA-US,SBS42,0,0
BLCA-US,SBS43,0,0
BLCA-US,SBS44,0,0
BLCA-US,SBS45,0,0
BLCA-US,SBS46,0,0
BLCA-US,SBS47,0,0
BLCA-US,SBS48,0,0
BLCA-US,SBS49,0,0
BLCA-US,SBS50,0,0
BLCA-US,SBS51,0,0
BLCA-US,SBS52,0,0
BLCA-US,SBS53,0,0
BLCA-US,SBS54,0,0
BLCA-US,SBS55,0,0
BLCA-US,SBS56,0,0
BLCA-US,SBS57,0,0
BLCA-US,SBS58,0,0
BLCA-US,SBS59,0,0
BLCA-US,SBS60,0,0
BLCA-US,SBS84,0,0
BLCA-US,SBS85,0,0
BLCA-US,SBS86,0,0
BLCA-US,SBS87,0,0
BLCA-US,SBS88,0,0
BLCA-US,SBS89,0,0
BLCA-US,SBS90,0,0
BLCA-US,Unknown,7.17409629883646E-06,-9.79651008598746E-08
BOCA-UK,SBS1,6.73163955695824E-06,-6.61154192468023E-08
BOCA-UK,SBS2,5.54130177581628E-06,-5.0251556593883E-08
BOCA-UK,SBS3,3.59115284564423E-06,-2.97189960007399E-08
BOCA-UK,SBS4,8.20316166907533E-07,-8.48099099312608E-09
BOCA-UK,SBS5,1.65213511354418E-05,-3.27863304892981E-08
BOCA-UK,SBS6,0,0
BOCA-UK,SBS7a,0,0
BOCA-UK,SBS7b,-1.5173767424845E-07,5.43128786441918E-09
BOCA-UK,SBS7c,0,0
BOCA-UK,SBS7d,0,0
BOCA-UK,SBS8,5.1032649007176E-05,-7.82542937560797E-07
BOCA-UK,SBS9,5.38456288040014E-06,-9.2953867960406E-08
BOCA-UK,SBS10a,0,0
BOCA-UK,SBS10b,0,0
BOCA-UK,SBS11,0,0
BOCA-UK,SBS12,0,0
BOCA-UK,SBS13,4.1716729032326E-06,-4.85583008571084E-08
BOCA-UK,SBS14,0,0
BOCA-UK,SBS15,0,0
