Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS1,H2AFZ,1.16859226036432E-192,1,5.84296130182162E-193
SBS2,H2AFZ,4.62126002976571E-34,2.31063001488286E-34,1
SBS3,H2AFZ,0.051907869678551,0.974086546907017,0.025953934839276
SBS4,H2AFZ,8.88715731674655E-05,0.999955682492407,4.44357865837328E-05
SBS5,H2AFZ,0.001074646485419,0.00053732324271,0.999462803381661
SBS6,H2AFZ,6.00870679201225E-17,1,3.00435339600612E-17
SBS7a,H2AFZ,8.24917809586334E-08,0.999999960966282,4.12458904793167E-08
SBS7b,H2AFZ,4.70113442149651E-05,0.999977175529519,2.35056721074826E-05
SBS7c,H2AFZ,0.00118049495895,0.999440257368734,0.000590247479475
SBS7d,H2AFZ,0.007531483488074,0.99638799176866,0.003765741744037
SBS8,H2AFZ,1.76929579034615E-05,0.999991165006729,8.84647895173077E-06
SBS9,H2AFZ,0.044403747094464,0.977901253128132,0.022201873547232
SBS10a,H2AFZ,0.16264952825855,0.081324764129275,0.919591059010115
SBS10b,H2AFZ,0.034360906913704,0.983192649803826,0.017180453456852
SBS11,H2AFZ,NA,1,1
SBS12,H2AFZ,0.066300216298399,0.0331501081492,0.966993996208899
SBS13,H2AFZ,1.22700831778534E-63,6.13504158892672E-64,1
SBS14,H2AFZ,1.18105355918182E-05,0.999994627833673,5.90526779590911E-06
SBS15,H2AFZ,0.41849223344682,0.20924611672341,0.859643667365752
SBS16,H2AFZ,4.69545044481088E-07,2.34772522240544E-07,0.999999767876821
SBS17a,H2AFZ,0.000116167213169,0.999942681346042,5.80836065845202E-05
SBS17b,H2AFZ,0.059913806415811,0.029956903207905,0.970184184132644
SBS18,H2AFZ,7.71858787819951E-12,0.99999999999619,3.85929393909975E-12
SBS19,H2AFZ,0.000379573775928,0.000189786887964,0.999817481017418
SBS20,H2AFZ,0.000955073029182,0.999561795863793,0.000477536514591
SBS21,H2AFZ,0.271898710819648,0.135949355409824,0.897553053091811
SBS22,H2AFZ,0.024120883061605,0.987982853441204,0.012060441530803
SBS23,H2AFZ,0.000575603284314,0.99974115148055,0.000287801642157
SBS24,H2AFZ,NA,1,1
SBS25,H2AFZ,NA,1,1
SBS26,H2AFZ,0.003787125714189,0.998254147866224,0.001893562857094
SBS27,H2AFZ,NA,1,1
SBS28,H2AFZ,1.20058105536251E-05,6.00290527681254E-06,0.999994075480713
SBS29,H2AFZ,1,0.5,0.977249868051821
SBS30,H2AFZ,0.598659613311601,0.701557049333476,0.2993298066558
SBS31,H2AFZ,0.401678166469773,0.200839083234886,0.852746303159945
SBS32,H2AFZ,0.014432823938842,0.994586539361434,0.007216411969421
SBS33,H2AFZ,0.371093369522698,0.963180864939849,0.185546684761349
SBS34,H2AFZ,7.62982737391093E-07,0.999999623798817,3.81491368695547E-07
SBS35,H2AFZ,0.012122334583369,0.993995043567655,0.006061167291684
SBS36,H2AFZ,2.98359852401289E-06,0.999998543966756,1.49179926200645E-06
SBS37,H2AFZ,0.022212124584421,0.988968333558608,0.01110606229221
SBS38,H2AFZ,0.089147429288557,0.955706099668173,0.044573714644279
SBS39,H2AFZ,0.059825693360978,0.970776658343642,0.029912846680489
SBS40,H2AFZ,1.4810086489431E-14,7.40504324471549E-15,0.999999999999993
SBS41,H2AFZ,1.87808981875995E-08,0.999999990688219,9.39044909379973E-09
SBS42,H2AFZ,NA,1,1
SBS43,H2AFZ,NA,1,1
SBS44,H2AFZ,0.14624069832552,0.07312034916276,0.928486210311514
SBS45,H2AFZ,NA,1,1
SBS46,H2AFZ,NA,1,1
SBS47,H2AFZ,NA,1,1
SBS48,H2AFZ,NA,1,1
SBS49,H2AFZ,NA,1,1
SBS50,H2AFZ,NA,1,1
SBS51,H2AFZ,0.001332047360777,0.999454185937529,0.000666023680389
SBS52,H2AFZ,0.721000361119181,0.651579313590817,0.36050018055959
SBS53,H2AFZ,0.371093369522698,0.185546684761349,0.963180864939849
SBS54,H2AFZ,NA,1,1
SBS55,H2AFZ,NA,1,1
SBS56,H2AFZ,0.781030984314636,0.390515492157318,0.611880018129152
SBS57,H2AFZ,NA,1,1
SBS58,H2AFZ,7.37989565104163E-14,0.999999999999964,3.68994782552082E-14
SBS59,H2AFZ,NA,1,1
SBS60,H2AFZ,2.30196533496992E-08,0.99999998889692,1.15098266748496E-08
SBS84,H2AFZ,NA,1,1
SBS85,H2AFZ,NA,1,1
SBS86,H2AFZ,NA,1,1
SBS87,H2AFZ,NA,1,1
SBS88,H2AFZ,NA,1,1
SBS89,H2AFZ,NA,1,1
SBS90,H2AFZ,NA,1,1
Unknown,H2AFZ,1.19108323762352E-63,5.9554161881176E-64,1
SBS1,H2AK5ac,0.316150041599656,0.84225307198695,0.158075020799828
SBS2,H2AK5ac,0.125466549375604,0.062733274687802,0.937665705624899
SBS3,H2AK5ac,0.069713783890994,0.034856891945497,0.965858852609125
SBS4,H2AK5ac,0.141849401463706,0.070924700731853,0.931181629772709
SBS5,H2AK5ac,7.50926989570818E-07,3.75463494785409E-07,0.999999626733233
SBS6,H2AK5ac,0.003988882964142,0.998169279593763,0.001994441482071
SBS7a,H2AK5ac,0.105645429201877,0.970470885454732,0.052822714600939
SBS7b,H2AK5ac,0.177529852412153,0.088764926206077,0.947177285399062
SBS7c,H2AK5ac,1,0.5,0.606296754666865
SBS7d,H2AK5ac,1,0.5,0.606296754666865
SBS8,H2AK5ac,0.000702577355419,0.999655549509601,0.000351288677709
SBS9,H2AK5ac,0.014368035802809,0.993257544874143,0.007184017901405
SBS10a,H2AK5ac,0.44204635960573,0.799160916765113,0.221023179802865
SBS10b,H2AK5ac,0.005921537024149,0.997841538352051,0.002960768512074
SBS11,H2AK5ac,NA,1,1
SBS12,H2AK5ac,0.779481323802983,0.624502516420677,0.389740661901491
SBS13,H2AK5ac,0.001143564043528,0.000571782021764,0.999436395156591
SBS14,H2AK5ac,0.553616991965781,0.761401690005615,0.27680849598289
SBS15,H2AK5ac,0.105645429201877,0.052822714600939,0.970470885454732
SBS16,H2AK5ac,0.702238315221897,0.351119157610949,0.663685606136115
SBS17a,H2AK5ac,0.732306833608737,0.366153416804369,0.648880842389051
SBS17b,H2AK5ac,0.532951705049407,0.266475852524703,0.743418807484375
SBS18,H2AK5ac,0.399308344883748,0.808239904476942,0.199654172441874
SBS19,H2AK5ac,0.024932455602863,0.012466227801432,0.990470554199135
SBS20,H2AK5ac,0.62406453246517,0.312032266232585,0.735693937372156
SBS21,H2AK5ac,0.361310428526179,0.180655214263089,0.899378689521138
SBS22,H2AK5ac,0.576328596521652,0.288164298260826,0.7204414706834
SBS23,H2AK5ac,0.812703686128436,0.406351843064218,0.638858518641904
SBS24,H2AK5ac,NA,1,1
SBS25,H2AK5ac,NA,1,1
SBS26,H2AK5ac,0.528612125255688,0.264306062627844,0.779395740247061
SBS27,H2AK5ac,NA,1,1
SBS28,H2AK5ac,0.255908620519372,0.881685103299032,0.127954310259686
SBS29,H2AK5ac,NA,1,1
SBS30,H2AK5ac,0.01647236501097,0.008236182505485,0.992513583547586
SBS31,H2AK5ac,1,0.5,0.977249868051821
SBS32,H2AK5ac,1,0.977249868051821,0.5
SBS33,H2AK5ac,NA,1,1
SBS34,H2AK5ac,0.651377443219413,0.686731604301885,0.325688721609706
SBS35,H2AK5ac,0.905695442034309,0.593648156935782,0.452847721017155
SBS36,H2AK5ac,0.244293641331777,0.122146820665888,0.888979316636871
SBS37,H2AK5ac,0.808266974005183,0.404133487002592,0.610259338098509
SBS38,H2AK5ac,0.711997145588538,0.664935648040094,0.355998572794269
SBS39,H2AK5ac,0.583882420770365,0.291941210385183,0.819344785736911
SBS40,H2AK5ac,7.06511608906333E-06,0.999996498438258,3.53255804453166E-06
