bin,cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
1,BLCA-US,0.020028861,0.17361653,0,0.19856392,0.3818744,0,0,0,0,0,0.030374577,0,0,0,0,0,0.16968392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025857806,0.99993443
1,BOCA-UK,0.049730904,0.04717801,0.028792232,0,0.14581084,0,0,0,0,0,0.4260622,0.05500927,0,0,0,0,0.03436597,0,0,0,0,0,0,0,0,0,0.0126121985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04957885,0.07967821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711813,0.9995881
1,BRCA-EU,0.07725364,0.31412226,0,0,0.2807625,0,0,0,0,0,0,0,0,0,0,0,0.12525639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17887422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023730993,0.9999374
1,BRCA-UK,0.06974438,0.21316765,0.0788496,0.01825058,0.24324389,0,0,0,0,0,0.09866776,0,0,0,0,0,0.18876648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043999646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04531002,0.99997485
1,BRCA-US,0.04741199,0.14881857,0.010357909,0,0.09051551,0,0,0,0,0,0.20307016,0,0,0,0,0,0.1227964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33092466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04610479,0.99998426
1,BTCA-SG,0.097560436,0.13100725,0.0152212065,0.032974042,0.38302723,0,0,0,0,0,0.0850536,0,0,0,0,0,0.055404015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010085303,0,0,0.08991531,0,0,0,0,0,0,0,0,0,0.016037745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08371383,0.99963284
1,CESC-US,0.1182132,0.3320635,0,0,0.32134262,0,0,0,0,0,0,0,0,0,0,0,0.19571559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032665133,0.9999113
1,CLLE-ES,0.09355523,0,0,0,0.40872616,0,0,0,0,0,0.3115141,0.10880063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02040776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056996107,0.99848783
1,CMDI-UK,0.2607061,0,0,0,0.10144771,0,0,0,0,0,0.06839849,0,0,0,0,0,0,0,0.04807581,0,0,0,0,0.07210131,0,0,0,0.020863404,0,0,0,0,0,0,0,0.035044968,0.059802175,0,0,0,0,0.026502687,0.01960286,0.022193534,0,0,0,0,0,0,0,0,0,0,0.011803695,0.04110112,0,0,0.010441027,0,0,0,0,0,0,0.069617435,0,0,0,0.016292237,0.052869514,0,0.06313592,0.14728774
1,COAD-US,0.010442838,0,0,0,0.15522678,0.013171287,0,0,0,0,0,0,0.48722175,0.15270337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112255454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06897849,0.947571
1,DLBC-US,0.026154045,0.01015405,0.041832704,0,0.17833817,0.015536959,0,0,0,0,0.031424087,0.53668994,0,0,0,0,0,0,0,0,0.010227176,0.026334312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017670033,0,0.01025056,0,0,0,0.011807228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022579387,0,0,0,0,0,0,0,0,0,0,0,0.06100136,0.99965346
1,EOPC-DE,0.36107263,0,0,0,0.18095605,0,0,0,0,0,0.04037363,0,0,0,0,0,0,0,0.010715081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010917735,0,0.010420153,0,0,0,0,0,0,0,0,0,0.011428504,0,0,0,0,0,0,0.29511738,0,0,0,0,0,0,0,0,0,0.07899886,0.9374834
1,ESAD-UK,0.029207041,0.03701158,0,0,0.04335203,0,0,0,0,0,0,0,0,0,0,0,0.010516014,0,0,0,0.28982225,0.5002324,0,0,0,0,0,0,0,0,0,0,0.013361014,0,0,0,0,0,0,0,0,0.012849892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06364775,0.99989045
1,GACA-CN,0.05439749,0.015422996,0.014304413,0,0.065440394,0.011744071,0,0,0,0,0,0.011425073,0,0,0,0,0,0.010541407,0,0,0.1823309,0.28749874,0.025350017,0,0.026178274,0,0,0,0,0,0.017390631,0,0.01581418,0,0,0,0,0,0.024160221,0,0,0.12072236,0,0,0.012907044,0.014693653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03715635,0,0,0,0,0,0,0,0,0,0,0,0.052521825,0.999368
1,GBM-US,0.3705218,0,0,0,0.3084709,0,0,0,0,0,0.2653626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05564469,0.8701876
1,HNSC-US,0.018154612,0.14180887,0,0.521572,0.09138186,0,0,0,0,0,0,0,0,0,0,0,0.14278172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043963395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040337563,0.9998827
1,KICH-US,0.40299457,0,0,0,0.08751349,0.012843886,0,0,0,0,0.015741607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4200395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060866892,0.99372226
1,KIRC-US,0.050076,0,0,0.10119548,0.018278096,0,0,0,0,0,0.010860775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7870927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03249693,0.99984765
1,KIRP-US,0.06873245,0,0,0,0.049275827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8557706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026221156,0.99995506
1,LAML-KR,0.15170379,0,0,0,0,0.040446166,0.012521729,0,0,0,0.07282189,0,0,0.019241717,0,0.036731575,0,0,0,0,0,0,0.11828251,0.034303907,0,0,0,0,0,0,0,0,0,0,0,0.1371533,0.045176253,0,0,0.063694626,0,0.022343425,0.023886252,0.037872553,0,0,0,0,0,0,0,0,0,0,0.020678401,0,0,0,0.022457944,0,0,0,0.042548332,0.013511015,0,0.015835563,0,0,0.012929224,0,0.02015114,0,0.035708606,0.463396
1,LGG-US,0.2394212,0,0,0,0.61809194,0,0,0,0,0,0.03502265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05465667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05280751,0.9601663
1,LICA-FR,0,0,0,0.3437022,0.36201683,0,0,0,0,0,0,0,0,0,0,0.06837815,0,0,0,0,0,0,0,0,0,0,0.1458774,0,0,0,0,0,0,0,0,0,0,0,0,0.012695085,0,0,0,0,0.015664352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05166596,0.99203134
1,LIHC-US,0.011108824,0,0,0.27113453,0.2983999,0,0,0,0,0,0.03852034,0,0,0,0,0.0105652325,0,0,0,0,0,0,0,0,0,0,0.122921884,0,0,0,0,0,0,0,0,0,0,0,0,0.012870269,0,0,0.019389827,0,0.17366986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041419387,0.99764925
1,LINC-JP,0.013013871,0,0,0.14463307,0.36885,0,0.014590024,0,0,0,0,0,0,0,0,0.1431514,0,0,0,0,0,0,0,0,0,0,0.17310376,0,0,0,0,0,0,0,0,0,0,0,0,0.035333153,0,0,0,0,0.058754988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04856974,0.9971699
