bin,cancer_type,SBS3,Classification,,bin,cancer_type,SBS5,Classification,,bin,cancer_type,SBS40,Classification
longdels,Eso-AdenoCa,0.015852598,0.9999738,,longdels,Ovary-AdenoCA,0.0220438,0.9995028,,longdels,Kidney-RCC,0.8846989,0.99919826
longdels,Lymph-BNHL,0.013217293,0.9872464,,longdels,Liver-HCC,0.24072255,0.9969208,,longdels,Prost-AdenoCA,0.5519632,0.9996245
longdels,Ovary-AdenoCA,0.421243,0.9996637,,longdels,Panc-Endocrine,0.5513504,0.99986064,,longdels,Liver-HCC,0.3802286,0.997177
longdels,Lymph-CLL,0,0.0002962524,,longdels,Kidney-RCC,0.11322064,0.9998148,,longdels,Panc-AdenoCA,0.2695231,0.9999672
longdels,Skin-Melanoma,0.010401042,0.98654765,,longdels,Prost-AdenoCA,0.27917486,0.9994547,,longdels,Ovary-AdenoCA,0.43410373,0.99970883
longdels,CNS-Medullo,0.012898109,0.9923246,,longdels,Panc-AdenoCA,0.16209154,0.999979,,longdels,Eso-AdenoCa,0.4368517,0.9999379
longdels,Panc-AdenoCA,0.05605521,0.99996877,,longdels,Eso-AdenoCa,0.05702533,0.99998367,,longdels,CNS-Medullo,0,0.45950514
longdels,Liver-HCC,0.26826826,0.9931678,,longdels,Lymph-BNHL,0,0.22264606,,longdels,Panc-Endocrine,0.029012261,0.939819
longdels,Panc-Endocrine,0,9.410945E-05,,longdels,CNS-Medullo,0.31137133,0.999851,,longdels,Lymph-BNHL,0.15824538,0.9788133
longdels,Breast-AdenoCa,0.37723973,0.9991472,,longdels,Lymph-CLL,0,0.01718204,,longdels,Skin-Melanoma,0.043082584,0.95579356
longdels,Bone-Osteosarc,0.29671714,0.9977253,,longdels,Breast-AdenoCa,0.07757981,0.9999274,,longdels,Biliary-AdenoCA,0.54166126,0.99995506
longdels,Bone-Epith,0.021227306,0.9925452,,longdels,Head-SCC,0.12940839,0.99899703,,longdels,Lymph-CLL,0,4.9269616E-08
longdels,ColoRect-AdenoCA,0,0.9991347,,longdels,Stomach-AdenoCA,0.15926033,0.9999176,,longdels,Stomach-AdenoCA,0.6097577,0.99991035
longdels,Thy-AdenoCA,0,0.14984958,,longdels,Skin-Melanoma,0.012214571,0.9985416,,longdels,CNS-PiloAstro,0,3.8492105E-11
longdels,Head-SCC,0,0.9991327,,longdels,Biliary-AdenoCA,0.3836776,0.9999515,,longdels,Breast-AdenoCa,0.5380306,0.9997663
longdels,Bone-Leiomyo,0.10931233,0.99997485,,longdels,Myeloid-AML,0,0.00064277183,,longdels,Bone-Osteosarc,0.026891738,0.9636541
longdels,Lung-AdenoCA,0.096149355,0.97771764,,longdels,CNS-PiloAstro,0,3.8492032E-11,,longdels,Breast-LobularCa,0.013890798,0.999663
longdels,Lung-SCC,0,0.9983651,,longdels,Breast-DCIS,0.6877602,0.9999709,,longdels,Bone-Epith,0,0.999292
longdels,CNS-GBM,0.042048663,0.99910647,,longdels,Breast-LobularCa,0.09323158,0.97853094,,longdels,Uterus-AdenoCA,0.63060707,0.9998771
longdels,Uterus-AdenoCA,0.52800894,0.9999019,,longdels,Bone-Osteosarc,0.212975,0.5398048,,longdels,Lung-AdenoCA,0.2970448,0.9989379
longdels,Stomach-AdenoCA,0.04354787,0.997143,,longdels,Myeloid-MPN,0.01509606,0.883624,,longdels,Bone-Leiomyo,0.14028879,0.9991666
