,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification,
AdiposeTissue,0.034143303,0.022374615,0,0,0.6767309,0,0,0,0,0,0,0,0.03094694,0.015315273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010260218,0,0.012960121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011243718,0,0.09873118,0,0,0,0,0,0,0,0.087293684,0.51749194,AdiposeTissue
AdrenalGland,0.057830617,0.061036438,0,0,0.63312656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19749396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050512433,0.9992235,AdrenalGland
Bladder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036135517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96386445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9604645E-08,1.8379245E-05,Bladder
BloodVessel,0,0.033964876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09862072,0,0,0.040891636,0,0.011599459,0,0,0,0,0.19386387,0,0.010907454,0,0.15419513,0,0.039964758,0,0,0,0,0.06679563,0,0.09825812,0,0,0,0,0.09617463,0,0,0,0,0,0,0,0,0,0.047183428,0.015972992,0,0.020435294,0.017750327,0,0.018876158,0,0,0,0,0,0,0,0.03454554,0.04067226,BloodVessel
Brain,0.0124783,0.037037283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17766899,0,0,0.037666272,0,0,0,0,0,0,0.29066676,0,0,0,0.12650238,0,0,0,0,0,0,0.084735475,0,0.04728972,0,0,0,0,0.042954106,0,0,0,0,0,0,0,0,0.01064843,0,0.031919528,0,0,0.010395133,0,0.012051919,0.04350413,0,0,0,0,0,0,0.034481585,0.00048179206,Brain
Breast,0.017323263,0.016743671,0,0,0.73192936,0,0.041144945,0.073544756,0,0.012714592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029721905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076877475,0.8976716,Breast
CervixUteri,0.022542646,0.073063396,0,0,0.6912126,0,0.09027845,0.021144267,0,0.0120286625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04736093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042369008,0.9999876,CervixUteri
Colon,0,0,0,0,0,0.1582084,0.019769859,0,0.028642103,0,0,0,0,0,0.038201854,0.18566039,0,0,0,0.031772837,0,0,0,0.07165204,0,0,0,0,0,0,0,0,0,0,0.12750128,0,0.052693952,0,0,0,0,0,0,0,0,0,0,0.05664843,0,0,0.041393388,0,0,0,0,0,0,0,0.045756027,0,0,0,0,0,0.027912827,0.015810741,0,0,0,0.098375894,0,0,0,0.076137304,Colon
Esophagus,0.010203177,0,0,0,0.76698416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15425833,0,0,0,0.04138226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027172089,0.7783553,Esophagus
Heart,0.02633016,0.01617804,0,0,0,0,0,0,0,0,0,0.089302026,0,0,0,0,0,0,0,0,0.028405912,0.05970896,0,0.07652469,0,0,0,0,0,0,0,0,0.11233097,0,0.18004322,0,0,0,0,0,0,0.10320896,0,0.10798765,0,0,0,0.15335865,0,0,0,0,0,0,0,0,0,0,0.020294886,0,0,0.015799707,0,0,0,0,0,0,0,0,0,0,0.01052618,0.01838723,Heart
