Dataset,file_name,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
PCAWG_WG,742ad990-6340-5d65-a8c8-9629c1277f53,751.952748664,16250.01128712,0,0,18780.83753104,0,0,0,0,0,0,0,0,0,0,0,16001.08433872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1114840872
PCAWG_WG,8d54396b-65b9-5ce5-a779-351c7ce48350,1474.29542544,5504.00636686,0,0,6989.07829832,0,0,0,0,0,0,0,0,0,0,0,6132.03980754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5815659128
PCAWG_WG,06b79019-d188-5743-ba1b-961e83bc4481,300.97514332,3187.517806,0,0,1654.8068814,0,0,0,0,0,0,0,0,0,0,0,4298.1104968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.97461382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6150983
PCAWG_WG,86646101-836c-59d2-8a0e-0b142ebec5ef,307.049967576,3583.7318457,0,0,7629.46739388,0,0,0,0,0,0,0,0,0,0,0,3352.70235726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.047974964
PCAWG_WG,45bd80ec-df92-5f0b-9535-cf261dea9c9d,383.74392849,2700.2782092,0,0,2518.4222232,0,0,0,0,0,0,0,0,0,0,0,3342.4215825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.134069168
PCAWG_WG,1478bbbd-1d3a-56e9-b8f4-f79f19bf095b,663.631020408,455.9069907,0,0,10376.6523183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.809430452
PCAWG_WG,99546acc-71cd-5aef-8770-c14e0e9a30ac,427.61915532,12527.3030868,0,0,5524.97293488,0,0,0,0,0,0,0,0,0,0,0,15593.26160904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8452575084
PCAWG_WG,dbf09a61-d114-595c-b6bc-ac37c43395fa,376.127718458,12545.04905592,0,0,6029.17104406,0,0,0,0,0,0,0,0,0,0,0,12129.25587236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3961318522
PCAWG_WG,ac758f8c-c01a-54fc-bb2a-c2fbf2fa2a3e,1171.361699448,7327.11894678,0,0,5653.5413145,0,0,0,0,0,0,0,0,0,0,0,9871.63612992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10662.25197924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.08815317
PCAWG_WG,6e905162-95ac-56a3-8bdd-258b685cbd36,481.022917662,12890.29819068,0,0,3683.357181,0,0,0,0,0,0,0,0,0,0,0,20898.96813984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3534606064
