Dataset,Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
Clonal,0009b464-b376-4fbc-8a56-da538269a02f,0.041297004,0.042132005,0.31516442,0,0.42191583,0,0,0,0,0,0.079143494,0,0,0,0,0,0.047235444,0,0,0,0,0,0.0117165595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041395247,0.9989041
Clonal,003819bc-c415-4e76-887c-931d60ed39e7,0.444966,0,0,0,0.41340572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013183416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11840246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010042369,0.8946672
Clonal,0040b1b6-b07a-4b6e-90ef-133523eaf412,0,0,0,0.0400521,0.7127616,0,0,0,0,0,0,0,0,0,0,0.010407352,0,0,0,0.18524805,0,0,0,0,0,0,0.011642855,0,0,0,0,0,0,0.021417255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018470824,0.97930324
Clonal,00508f2b-36bf-44fc-b66b-97e1f3e40bfa,0.08817947,0,0.029065778,0,0.79332185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035857387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053575516,0.9916192
Clonal,005794f1-5a87-45b5-9811-83ddf6924568,0.023859194,0,0.016133137,0,0.118924096,0,0,0,0,0,0.012699937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79014015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038243473,0.9990031
Clonal,008aef39-0c97-48ce-9dfd-f12d67116c59,0.26860237,0,0,0,0.5756304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017551139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11679723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02141887,0.9988469
Clonal,00b9d0e6-69dc-4345-bffd-ce32880c8eef,0.11235287,0,0,0,0.4436171,0,0,0,0,0,0,0.33254313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010934128,0,0,0.011679642,0,0,0.05689069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03198248,0.98228663
Clonal,00c27940-c623-11e3-bf01-24c6515278c0,0,0,0,0.324874,0.534183,0,0,0,0,0,0,0,0,0,0,0.11609502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024847925,0.9992537
Clonal,01b0848c-ae36-4ade-a3da-d297b003c99f,0.04028237,0.041073475,0,0,0.33798158,0,0,0,0,0,0.41589674,0.049397886,0,0,0,0,0.03701309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014423489,0.016868526,0.017704869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02935797,0.9998011
Clonal,01c8e465-2b4e-4519-bdef-c3ac06b43eeb,0.029288806,0,0,0.07924698,0,0,0,0,0,0,0,0,0,0,0.029862078,0.049013488,0,0,0,0.018022869,0,0,0,0.022886634,0,0,0,0,0,0,0,0,0,0,0,0.045087613,0,0,0.02063673,0,0,0.07491368,0,0,0,0,0,0,0.06040095,0,0,0,0,0,0.026222693,0,0,0,0.02566737,0.010599782,0,0.054413874,0.10590526,0,0,0.01346817,0.13978428,0,0.01807873,0,0.07482917,0.017814556,0.083856344,0.02391187
