#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	38352893	223723400	89.7584	21.9316	28	56.5
2	1	243199373	43303200	236866500	97.396	24.7908	27.8	54
3	1	198022430	33601444	194003347	97.9704	24.272	28	58.4
4	1	191154276	32575872	186698404	97.669	24.2503	28	57.7
5	1	180915260	30830393	176649644	97.6422	24.1998	28	57.4
6	1	171115067	29056870	166701115	97.4205	24.2049	28	57.9
7	1	159138663	26415126	154112550	96.8417	23.4849	28	56.8
8	1	146364022	24953424	141825225	96.899	24.2001	28	57
9	1	141213431	20077305	118833773	84.1519	19.9942	28	53.8
10	1	135534747	22119916	130466656	96.2607	23.0665	28	57.3
11	1	135006516	20180153	129596134	95.9925	21.2223	28	57.8
12	1	133851895	22010084	129596701	96.821	23.3006	28	57.5
13	1	115169878	16007325	95172855	82.6369	19.7285	28	58.3
14	1	107349540	15341834	87627015	81.6278	20.2282	28	57.5
15	1	102531392	13571673	81159696	79.1559	18.8223	28	56
16	1	90354753	14925016	77682282	85.9748	22.9418	27.9	47.3
17	1	81195210	11063323	76704772	94.4696	19.3272	27.9	56.6
18	1	78077248	12826524	74322450	95.1909	23.426	28	58.2
19	1	59128983	7638543	54523886	92.2118	17.8374	27.8	56.2
20	1	63025520	9676560	58942543	93.5217	21.7972	28	58.2
21	1	48129895	6384208	34750648	72.2018	18.4378	27.9	55.3
22	1	51304566	5308523	34059688	66.3872	14.1972	27.8	54.4
X	1	155270560	14951424	147328865	94.8853	13.6679	28	55.3
Y	1	59373566	3712363	22492167	37.8825	8.53495	27.9	23.6
MT	1	16569	604777	16569	100	5074.15	27.7	53.2
GL000207.1	1	4262	9436	4190	98.3107	287.99	28	54.6
GL000226.1	1	15008	398655	15008	100	3745.13	28.1	2.46
GL000229.1	1	19913	5201	19829	99.5782	35.7526	27.6	49.4
GL000231.1	1	27386	8394	27344	99.8466	43.9607	27.9	47.2
GL000210.1	1	27682	2889	22981	83.0178	12.3575	27.6	27.2
GL000239.1	1	33824	28955	33821	99.9911	117.665	27.9	7.85
GL000235.1	1	34474	14235	34418	99.8376	59.2518	28.1	44.1
GL000201.1	1	36148	845	27042	74.8091	3.23113	27.6	3.17
GL000247.1	1	36422	9591	36199	99.3877	37.8332	28	8.71
GL000245.1	1	36651	13451	36411	99.3452	52.8377	28.1	2.72
GL000197.1	1	37175	10426	35410	95.2522	31.327	27.2	7.72
GL000203.1	1	37498	2751	36649	97.7359	10.5482	28.1	23.9
GL000246.1	1	38154	3606	37288	97.7303	13.623	28	11
GL000249.1	1	38502	3830	38166	99.1273	14.3259	27.9	0.358
GL000196.1	1	38914	4342	38817	99.7507	15.9977	28	3.89
GL000248.1	1	39786	5166	39609	99.5551	18.4732	27.9	11.1
GL000244.1	1	39929	4415	38530	96.4963	15.8506	28.1	2.64
GL000238.1	1	39939	3883	39539	98.9985	14.0772	28	13.9
GL000202.1	1	40103	2433	37001	92.2649	8.62821	27.7	30.6
GL000234.1	1	40531	14743	40498	99.9186	52.4794	28	47
GL000232.1	1	40652	15618	40649	99.9926	55.4874	28.1	42.9
GL000206.1	1	41001	2021	35715	87.1076	6.98722	27.7	9.94
GL000240.1	1	41933	11889	41841	99.7806	40.6812	28	26.7
GL000236.1	1	41934	5710	41716	99.4801	19.652	28	8.79
GL000241.1	1	42152	22395	42152	100	76.4746	28.1	46.1
GL000243.1	1	43341	17883	42833	98.8279	57.8946	27.8	11
GL000242.1	1	43523	2355	41933	96.3468	7.74843	27.8	11.1
GL000230.1	1	43691	4958	40701	93.1565	15.8073	28.1	24.8
GL000237.1	1	45867	28367	45867	100	85.83	27.8	20.2
GL000233.1	1	45941	3127	40727	88.6507	9.36495	28	10
GL000204.1	1	81310	10257	79318	97.5501	17.4034	27.6	43.9
GL000198.1	1	90085	30862	89956	99.8568	48.5537	28.1	16.3
GL000208.1	1	92689	66595	92582	99.8846	100.771	28.2	36.4
GL000191.1	1	106433	9411	104211	97.9123	12.7057	27.9	13.3
GL000227.1	1	128374	13959	126643	98.6516	15.5928	28	7.65
GL000228.1	1	129120	24139	98942	76.6279	25.7979	28	10.1
GL000214.1	1	137718	222091	137717	99.9993	230.171	27.8	25
GL000221.1	1	155397	52944	154153	99.1995	49.055	28	8.95
GL000209.1	1	159169	22795	158840	99.7933	20.5129	27.9	26.4
GL000218.1	1	161147	58705	160672	99.7052	52.6356	28	32.2
GL000220.1	1	161802	1175013	160883	99.432	985.585	27.5	50.7
GL000213.1	1	164239	13871	155962	94.9604	12.0453	28	15.5
GL000211.1	1	166566	27111	164404	98.702	23.2887	28	44
GL000199.1	1	169874	173435	168184	99.0051	143.803	28.1	7.43
GL000217.1	1	172149	28581	165079	95.8931	23.5027	28	11.4
GL000216.1	1	172294	52505	170869	99.1729	41.0396	27.9	31.1
GL000215.1	1	172545	10679	156281	90.5741	8.84921	28	6.95
GL000205.1	1	174588	94379	173991	99.6581	76.2721	28	44.4
GL000219.1	1	179198	54628	154553	86.2471	36.7215	27.8	41.3
