#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	48445282	223600728	89.7092	27.8152	27.6	56.6
2	1	243199373	57086674	237084518	97.4857	33.1313	27.5	56.3
3	1	198022430	44001844	194106304	98.0224	32.1017	27.6	58.6
4	1	191154276	45380457	186821304	97.7333	33.9202	27.6	57.6
5	1	180915260	41567251	176948484	97.8074	32.8631	27.6	57.1
6	1	171115067	38785006	166861733	97.5143	32.4582	27.6	57.7
7	1	159138663	34272801	154089807	96.8274	30.6399	27.6	56.9
8	1	146364022	32528511	141820341	96.8956	31.7416	27.6	57.1
9	1	141213431	27831532	118785213	84.1175	27.5656	27.5	53.4
10	1	135534747	28680071	130524197	96.3031	29.9717	27.5	57.3
11	1	135006516	29197764	130028025	96.3124	30.7968	27.6	57.7
12	1	133851895	29212668	129756500	96.9404	31.0599	27.5	57.5
13	1	115169878	23042206	95268878	82.7203	28.4245	27.6	58.2
14	1	107349540	19534094	87653629	81.6525	25.8465	27.6	57.8
15	1	102531392	16733441	81119030	79.1163	23.3724	27.6	56
16	1	90354753	19082311	77525533	85.8013	29.3426	27.4	46.5
17	1	81195210	13598002	76605599	94.3474	23.4245	27.4	55.7
18	1	78077248	16607433	74354846	95.2324	30.5116	27.6	58
19	1	59128983	8563825	54138085	91.5593	19.7235	27.3	55.1
20	1	63025520	11950486	58823540	93.3329	26.6812	27.5	57.1
21	1	48129895	9297523	34775027	72.2524	26.1318	27.4	54
22	1	51304566	7145182	34015610	66.3013	18.3193	27.2	52.7
X	1	155270560	20179614	148831933	95.8533	18.538	27.6	55.1
Y	1	59373566	5888627	22741292	38.302	13.6957	27.4	20.9
MT	1	16569	105189	16569	100	906.62	27.2	55.2
GL000207.1	1	4262	8452	4247	99.6481	259.514	27.3	50.9
GL000226.1	1	15008	631221	15008	100	6078.84	27.7	3.7
GL000229.1	1	19913	11026	19869	99.779	68.8108	27.1	42.3
GL000231.1	1	27386	9161	27354	99.8832	48.617	27.5	49.8
GL000210.1	1	27682	1890	24075	86.9699	8.76194	27.1	14.3
GL000239.1	1	33824	41099	33823	99.997	167.287	27.5	8.64
GL000235.1	1	34474	21483	34359	99.6664	90.9876	27.7	44
GL000201.1	1	36148	550	25567	70.7287	2.1944	27.3	2.76
GL000247.1	1	36422	6431	35652	97.8859	25.2875	27.6	6.48
GL000245.1	1	36651	27207	36644	99.9809	108.71	27.7	4.43
GL000197.1	1	37175	7151	33230	89.388	20.8823	26.6	7.47
GL000203.1	1	37498	3021	36366	96.9812	11.5946	27.7	21.1
GL000246.1	1	38154	6882	38038	99.696	26.3425	27.6	19.3
GL000249.1	1	38502	2989	38003	98.704	11.2788	27.5	1.99
GL000196.1	1	38914	5470	38711	99.4783	20.4971	27.6	7.01
GL000248.1	1	39786	7401	39479	99.2284	26.5647	27.4	9.81
GL000244.1	1	39929	4172	37479	93.8641	15.1305	27.7	2.35
GL000238.1	1	39939	3833	39071	97.8267	13.9165	27.6	11.8
GL000202.1	1	40103	1836	36943	92.1203	6.5337	27.3	30.8
GL000234.1	1	40531	20790	40528	99.9926	74.7535	27.6	50.7
GL000232.1	1	40652	14908	40644	99.9803	53.4583	27.6	45.5
GL000206.1	1	41001	1321	27285	66.5472	4.64394	27.5	1.47
GL000240.1	1	41933	15745	41932	99.9976	54.3489	27.6	27.8
GL000236.1	1	41934	5002	41170	98.1781	17.166	27.6	4.72
GL000241.1	1	42152	31686	42152	100	109.1	27.7	47.6
GL000243.1	1	43341	15831	42958	99.1163	51.7157	27.4	11.1
GL000242.1	1	43523	3156	41187	94.6327	10.595	27.4	15.3
GL000230.1	1	43691	11259	43603	99.7986	37.2072	27.6	31.3
GL000237.1	1	45867	44338	45866	99.9978	133.979	27.3	20.6
GL000233.1	1	45941	8078	45892	99.8933	25.292	27.6	26.1
GL000204.1	1	81310	4576	73950	90.9482	7.957	27.3	49.2
GL000198.1	1	90085	25826	89938	99.8368	41.2136	27.7	17.4
GL000208.1	1	92689	65445	92601	99.9051	101.591	27.7	33.2
