#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	46916834	221483179	88.8596	26.8819	27.5	56.5
2	1	243199373	56753764	235937459	97.014	32.9196	27.5	56.4
3	1	198022430	44237514	193190746	97.56	32.1919	27.6	58.4
4	1	191154276	45130228	186338260	97.4806	33.9056	27.6	57.8
5	1	180915260	41556838	176360950	97.4826	32.8849	27.5	57.5
6	1	171115067	38671373	166287954	97.179	32.254	27.5	57.5
7	1	159138663	35191655	153387829	96.3863	31.3594	27.5	56.7
8	1	146364022	33368533	141184670	96.4613	32.5121	27.5	56.8
9	1	141213431	28545310	117906270	83.4951	28.2761	27.5	52.9
10	1	135534747	28273127	129818209	95.7822	29.5168	27.5	57.2
11	1	135006516	29565517	129109898	95.6323	31.1797	27.5	57.8
12	1	133851895	28656130	128901108	96.3013	30.5099	27.5	57.8
13	1	115169878	23124846	94862950	82.3678	28.3954	27.5	58.1
14	1	107349540	20061222	87206490	81.236	26.6189	27.5	57.6
15	1	102531392	17258631	80843283	78.8473	24.0477	27.5	56.1
16	1	90354753	19943997	76117818	84.2433	30.6725	27.4	45.2
17	1	81195210	12760680	75063456	92.4481	22.2484	27.4	56.2
18	1	78077248	16919980	74084540	94.8862	30.837	27.5	57.8
19	1	59128983	8576796	52785566	89.2719	19.8148	27.2	54.4
20	1	63025520	11490034	58227715	92.3875	25.7287	27.4	57.5
21	1	48129895	9703264	34330263	71.3284	26.9085	27.3	53.7
22	1	51304566	6907273	33488757	65.2744	17.5567	27.1	52.6
X	1	155270560	20179053	143214930	92.2357	18.6232	27.5	55.6
Y	1	59373566	6959144	22561050	37.9985	16.0878	27.3	19.6
MT	1	16569	549908	16569	100	4726.85	27.2	55.1
GL000207.1	1	4262	38424	4259	99.9296	1160.15	27.2	50.3
GL000226.1	1	15008	789704	15008	100	7588.62	27.6	3.54
GL000229.1	1	19913	12356	19853	99.6987	77.6199	27.1	42.5
GL000231.1	1	27386	12738	27364	99.9197	67.4341	27.4	49.3
GL000210.1	1	27682	122	5720	20.6632	0.491366	27.3	15
GL000239.1	1	33824	41471	33823	99.997	169.441	27.4	9.11
GL000235.1	1	34474	26231	34442	99.9072	110.993	27.6	43.3
GL000201.1	1	36148	498	22627	62.5954	1.96312	27	5.16
GL000247.1	1	36422	7773	35591	97.7184	30.6659	27.5	7.35
GL000245.1	1	36651	24626	36649	99.9945	98.0476	27.6	4.69
GL000197.1	1	37175	4765	28942	77.8534	13.5108	26.4	7.15
GL000203.1	1	37498	5118	36895	98.3919	19.6836	27.7	21.7
GL000246.1	1	38154	6701	38035	99.6881	25.5226	27.5	17
GL000249.1	1	38502	1076	31861	82.7515	4.00914	27.3	1.48
GL000196.1	1	38914	5917	38867	99.8792	22.0053	27.5	5.4
GL000248.1	1	39786	2855	36802	92.4999	10.3015	27.4	9.91
GL000244.1	1	39929	4493	37255	93.3031	16.2536	27.6	2.22
GL000238.1	1	39939	4822	39366	98.5653	17.5978	27.6	11.9
GL000202.1	1	40103	2359	35832	89.3499	8.43174	27.2	22
GL000234.1	1	40531	20616	40522	99.9778	73.9359	27.5	50.8
GL000232.1	1	40652	18289	40647	99.9877	65.5779	27.6	45.9
GL000206.1	1	41001	1023	25569	62.3619	3.61179	27.5	1.53
GL000240.1	1	41933	20159	41849	99.7997	69.5276	27.5	27.3
GL000236.1	1	41934	8105	41273	98.4237	27.8342	27.5	6.55
GL000241.1	1	42152	25690	42152	100	88.22	27.6	46.4
GL000243.1	1	43341	19277	43267	99.8293	62.7021	27.3	12.1
GL000242.1	1	43523	2712	39622	91.0369	9.00011	27.2	16.1
GL000230.1	1	43691	11631	43014	98.4505	38.2149	27.6	30
GL000237.1	1	45867	41255	45867	100	124.191	27.2	20.8
GL000233.1	1	45941	7778	45318	98.6439	24.1195	27.5	19.6
GL000204.1	1	81310	5142	72885	89.6384	8.97802	27.2	52.3
GL000198.1	1	90085	29553	89949	99.849	47.2809	27.6	28.8
GL000208.1	1	92689	123100	92619	99.9245	191.034	27.6	36.6
GL000191.1	1	106433	9133	103637	97.373	12.4421	27.4	16.4
GL000227.1	1	128374	13618	120653	93.9855	15.125	27.5	3.44
GL000228.1	1	129120	39255	94686	73.3318	42.8155	27.5	10.2
GL000214.1	1	137718	439748	137691	99.9804	460.045	27.2	24.9
GL000221.1	1	155397	82538	154326	99.3108	77.0968	27.6	10.7
GL000209.1	1	159169	27150	158103	99.3303	24.5299	27.3	33.7
GL000218.1	1	161147	77543	160933	99.8672	70.0981	27.6	34.9
GL000220.1	1	161802	3467321	158476	97.9444	2622.82	26.8	47.7
GL000213.1	1	164239	17603	156536	95.3099	15.4189	27.6	11.1
GL000211.1	1	166566	36644	165558	99.3948	31.8704	27.6	43.8
GL000199.1	1	169874	379502	169416	99.7304	321.657	27.6	7.15
GL000217.1	1	172149	57733	169462	98.4391	48.5143	27.6	15.8
