#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	67432712	221887346	89.0218	39.3017	28.9	57.3
2	1	243199373	77251523	236156319	97.104	45.9675	28.9	57.3
3	1	198022430	45684568	187682518	94.7784	33.6699	28.9	58.7
4	1	191154276	10688590	58352948	30.5266	8.08942	28.9	55.9
5	1	180915260	60870148	176280230	97.438	48.5299	28.9	57.3
6	1	171115067	51470008	165596912	96.7752	43.4843	28.9	58
7	1	159138663	48902570	153232295	96.2885	44.474	28.9	57.7
8	1	146364022	22653657	133449331	91.1763	22.4763	28.9	57.4
9	1	141213431	29891138	104545041	74.0334	30.0791	28.8	53.2
10	1	135534747	39881095	129825281	95.7875	42.6344	28.9	57.8
11	1	135006516	21407446	122754413	90.9248	22.8688	28.9	57.9
12	1	133851895	40406039	128917149	96.3133	43.7635	28.9	58.4
13	1	115169878	30962458	94957394	82.4499	39.0874	28.9	58.9
14	1	107349540	29138825	87056196	81.096	39.1111	28.9	57.6
15	1	102531392	9025888	43436100	42.3637	12.7062	28.9	53.4
16	1	90354753	22355418	76722571	84.9126	35.5517	28.8	51.2
17	1	81195210	15750582	72367758	89.1281	28.1235	28.8	57.7
18	1	78077248	24663762	74226371	95.0679	46.0981	28.9	58.7
19	1	59128983	10044708	52476853	88.7498	24.1919	28.7	56.4
20	1	63025520	14358056	57958781	91.9608	32.9451	28.8	58.4
21	1	48129895	8431911	33691674	70.0016	24.9876	28.8	54.9
22	1	51304566	6327080	32327797	63.0115	17.3288	28.6	54.2
X	1	155270560	28212950	146126831	94.1111	26.3815	28.9	56.3
Y	1	59373566	175925	2098747	3.53482	0.346903	28.6	15.5
MT	1	16569	791094	16569	100	6854.33	28.5	55.4
GL000207.1	1	4262	3541	4236	99.39	114.902	28.7	56.5
GL000226.1	1	15008	699100	15008	100	6771.62	29	4.7
GL000229.1	1	19913	14947	19912	99.995	103.328	28.5	51.5
GL000231.1	1	27386	14409	27211	99.361	76.9793	28.8	48.3
GL000210.1	1	27682	2962	21178	76.5046	12.5703	28.3	31.8
GL000239.1	1	33824	36176	33823	99.997	151.036	28.7	9.54
GL000235.1	1	34474	16897	33231	96.3944	72.0189	29	44.9
GL000201.1	1	36148	188	14390	39.8086	0.716361	28.2	1.05
GL000247.1	1	36422	8447	35919	98.619	33.8468	28.8	8.72
GL000245.1	1	36651	21826	36265	98.9468	87.4712	29	1.81
GL000197.1	1	37175	16354	25764	69.3046	46.4911	27.8	7.43
GL000203.1	1	37498	9618	37482	99.9573	37.4589	29	19.3
GL000246.1	1	38154	9747	38096	99.848	37.5155	28.9	19.9
GL000249.1	1	38502	2322	34630	89.9434	8.84162	28.8	2.16
GL000196.1	1	38914	1296	34584	88.8729	4.79434	28.9	0.494
GL000248.1	1	39786	4634	39087	98.2431	17.012	28.7	15.3
GL000244.1	1	39929	15957	39542	99.0308	58.5057	29	2.82
GL000238.1	1	39939	14805	39798	99.647	54.3384	28.9	12.2
GL000202.1	1	40103	451	23601	58.851	1.60255	28.5	22.3
GL000234.1	1	40531	18145	40442	99.7804	65.3543	28.9	49.7
GL000232.1	1	40652	27306	40648	99.9902	98.5334	28.9	48.1
GL000206.1	1	41001	3175	32159	78.4347	11.3189	28.8	2.02
GL000240.1	1	41933	15384	41593	99.1892	53.4794	28.9	24.6
GL000236.1	1	41934	4673	40502	96.5851	16.0498	28.9	9.67
GL000241.1	1	42152	30630	42152	100	106.122	29	47
GL000243.1	1	43341	25107	43304	99.9146	84.1467	28.7	14.2
GL000242.1	1	43523	1523	31895	73.2831	5.08012	28.8	13.4
GL000230.1	1	43691	12434	43480	99.5171	41.4315	28.9	40.1
GL000237.1	1	45867	36605	45867	100	113.748	28.6	21.5
GL000233.1	1	45941	12508	45851	99.8041	39.7341	28.9	33.5
GL000204.1	1	81310	4587	68925	84.7682	8.16898	28.5	53
GL000198.1	1	90085	18729	89437	99.2807	30.2441	29	31.3
GL000208.1	1	92689	92864	92655	99.9633	145.458	29	36.9
GL000191.1	1	106433	20266	104082	97.7911	27.8627	28.8	12.9
GL000227.1	1	128374	21751	127107	99.013	24.7424	28.9	5.69
GL000228.1	1	129120	14362	50471	39.0884	15.752	28.8	10.5
GL000214.1	1	137718	295761	137594	99.91	313.415	28.7	27.3
GL000221.1	1	155397	64779	153288	98.6428	60.8584	28.9	8.43
GL000209.1	1	159169	9333	93436	58.7024	8.47872	28.8	8.17
GL000218.1	1	161147	48007	156846	97.331	43.6512	28.9	32.4
GL000220.1	1	161802	1848052	157261	97.1935	1509.79	28.2	50.4
GL000213.1	1	164239	17931	145241	88.4327	15.8326	28.9	16.6
GL000211.1	1	166566	54677	163817	98.3496	48.0878	29	41
GL000199.1	1	169874	360284	168751	99.3389	308.067	29	6.29
GL000217.1	1	172149	135027	171032	99.3511	114.694	29	16.8
GL000216.1	1	172294	65649	170020	98.6802	51.7565	28.7	37.1
GL000215.1	1	172545	7163	146910	85.143	5.94864	28.9	3.61
GL000205.1	1	174588	99248	172761	98.9535	82.7061	28.9	43.3
GL000219.1	1	179198	148744	156226	87.1807	114.665	28.8	48.1
GL000224.1	1	179693	293861	179381	99.8264	238.141	28.6	24.7
GL000223.1	1	180455	21048	172927	95.8283	17.0002	28.8	1.88
GL000195.1	1	182896	157463	182281	99.6637	126.005	28.9	49.5
GL000212.1	1	186858	61996	183466	98.1847	48.3935	28.9	39.1
GL000222.1	1	186861	14114	154178	82.5095	10.9949	28.9	13.1
GL000200.1	1	187035	18690	183111	97.902	14.5489	28.9	0.0273
GL000193.1	1	189789	143258	187519	98.8039	110.548	28.9	46.5
GL000194.1	1	191469	47920	174145	90.9521	36.549	28.9	25.1
GL000225.1	1	211173	73523	205702	97.4092	49.0958	28.8	35.1
GL000192.1	1	547496	167013	540715	98.7615	44.5813	28.9	27.4
NC_007605	1	171823	66	624	0.363164	0.0194095	21.2	18.2
hs37d5	1	35477943	36940215	31611080	89.1007	134.161	28.4	33.7
