#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	46824954	220983907	88.6593	27.1574	27.5	56.8
2	1	243199373	56070734	235283558	96.7451	33.1313	27.5	56.7
3	1	198022430	44581642	192708715	97.3166	32.8385	27.5	58.5
4	1	191154276	43816160	185757361	97.1767	33.5679	27.6	58.2
5	1	180915260	39895322	176004338	97.2855	32.2275	27.6	57.7
6	1	171115067	39436810	166035777	97.0317	33.0824	27.5	57.3
7	1	159138663	33809461	152444330	95.7934	30.6247	27.5	57
8	1	146364022	31507658	141010981	96.3427	31.4589	27.5	57.4
9	1	141213431	25400038	117439933	83.1648	25.8527	27.5	54.1
10	1	135534747	29926682	129346138	95.4339	31.0884	27.4	57.4
11	1	135006516	26760600	128308653	95.0389	28.8238	27.5	57.8
12	1	133851895	28701798	128468758	95.9783	31.0526	27.5	58.1
13	1	115169878	23118093	94866008	82.3705	28.8702	27.5	58.4
14	1	107349540	19146911	86717873	80.7809	25.7972	27.5	57.8
15	1	102531392	16134401	80327378	78.3442	22.7206	27.5	54.8
16	1	90354753	16278406	75805149	83.8972	25.3828	27.3	48.4
17	1	81195210	11867401	74469519	91.7166	21.1495	27.4	56.5
18	1	78077248	18440455	74047582	94.8389	34.2769	27.5	58.3
19	1	59128983	7521809	51749533	87.5197	17.5238	27.2	55.1
20	1	63025520	11008587	57810130	91.725	25.3493	27.5	58.2
21	1	48129895	7691806	34295416	71.256	22.6002	27.5	54.3
22	1	51304566	5593936	32686465	63.7106	15.1238	27.2	53.9
X	1	155270560	38682386	149563122	96.3242	36.4799	27.6	57
Y	1	59373566	213724	2248450	3.78695	0.419451	27.2	17
MT	1	16569	49106	16569	100	427.877	27.1	54.4
GL000207.1	1	4262	1478	4244	99.5777	48.3214	27.3	56.4
GL000226.1	1	15008	561864	15008	100	5460.75	27.6	5.45
GL000229.1	1	19913	10738	19808	99.4727	72.5128	27.1	49.4
GL000231.1	1	27386	7836	27307	99.7115	42.0329	27.4	51.2
GL000210.1	1	27682	900	17580	63.507	4.47735	27.1	13.1
GL000239.1	1	33824	29038	33768	99.8344	120.814	27.4	8.25
GL000235.1	1	34474	18371	34415	99.8289	78.7459	27.7	44.2
GL000201.1	1	36148	1041	27181	75.1936	4.17406	27.1	2.83
