#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	49711108	224050868	89.8898	28.5735	29.6	57
2	1	243199373	53726022	237318333	97.5818	31.5105	29.6	57.1
3	1	198022430	43728824	194281380	98.1108	31.7607	29.6	58.7
4	1	191154276	26183873	182740468	95.5984	19.6247	29.6	57.6
5	1	180915260	40663224	177121322	97.9029	32.2693	29.6	57.8
6	1	171115067	36432141	166758099	97.4538	30.5037	29.6	58.3
7	1	159138663	34210413	154573559	97.1314	30.7211	29.6	57.4
8	1	146364022	33318315	142253016	97.1912	32.6008	29.6	57.2
9	1	141213431	27004735	119393731	84.5484	27.2283	29.6	54.4
10	1	135534747	29059760	130758189	96.4758	30.6179	29.6	57.7
11	1	135006516	28249126	130172232	96.4192	29.9503	29.6	58.3
12	1	133851895	29156949	129947783	97.0833	31.23	29.6	58.6
13	1	115169878	21272889	95280284	82.7302	26.4308	29.6	58.7
14	1	107349540	19280433	87845910	81.8317	25.6953	29.6	58.1
15	1	102531392	18193464	81336312	79.3282	25.4155	29.6	56.4
16	1	90354753	20622328	78078289	86.413	31.9526	29.5	48.2
17	1	81195210	15050617	77125127	94.9873	26.4768	29.5	57.3
18	1	78077248	16732112	74411066	95.3044	30.7456	29.6	58.5
19	1	59128983	10130714	55023865	93.0574	24.1385	29.4	57.2
20	1	63025520	12546439	59044466	93.6834	28.4503	29.6	58.6
21	1	48129895	8305811	34894470	72.5006	24.3424	29.6	56.2
22	1	51304566	6950117	34372084	66.9962	18.914	29.4	55.4
X	1	155270560	13861943	118307524	76.1944	12.7347	29.6	55.5
Y	1	59373566	4424821	22421452	37.7634	10.3146	29.6	24.5
MT	1	16569	154713	16569	100	1297.76	29.3	53.6
GL000207.1	1	4262	11050	4208	98.733	334.43	29.5	53.8
GL000226.1	1	15008	351784	15008	100	3308.15	29.7	2.77
GL000229.1	1	19913	8116	19899	99.9297	57.0949	29.2	51
GL000231.1	1	27386	13737	27366	99.927	72.1512	29.5	47.7
GL000210.1	1	27682	3425	25039	90.4523	15.4726	29.3	21.5
GL000239.1	1	33824	27222	33819	99.9852	111.594	29.5	6.94
GL000235.1	1	34474	23444	34466	99.9768	98.347	29.7	45.4
