#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	51562218	214308514	85.9811	28.7426	27	56.3
2	1	243199373	56210706	227293421	93.4597	31.7215	27	55.9
3	1	198022430	42036167	185686806	93.7706	29.8863	27.1	58.2
4	1	191154276	41356651	178485512	93.3725	30.1799	27.1	56.9
5	1	180915260	40108112	169421668	93.647	30.9423	27.1	56.7
6	1	171115067	37844070	159310422	93.1013	30.5415	27.1	57.2
7	1	159138663	37138178	148077638	93.0494	31.8527	27	56.1
8	1	146364022	33643611	135092222	92.2988	31.4965	27	55.8
9	1	141213431	30532401	113994182	80.7247	28.8255	26.9	51.6
10	1	135534747	30231659	124145922	91.5971	30.2056	27	56.4
11	1	135006516	31358531	125244957	92.7696	32.2292	27	57.5
12	1	133851895	27996767	123388450	92.1828	29.1231	27	57.6
13	1	115169878	22304183	91079752	79.083	26.5068	27	57.6
14	1	107349540	22736525	83764720	78.0299	28.4006	26.9	56.7
15	1	102531392	18360043	77794340	75.8737	24.747	27	55.7
16	1	90354753	28504334	74646428	82.6148	41.7104	26.9	40.6
17	1	81195210	16957401	73714604	90.7869	28.5072	26.9	56.3
18	1	78077248	15818872	70631262	90.4633	28.1526	27.1	57.6
19	1	59128983	13129408	52612314	88.9789	29.5642	26.8	55.7
20	1	63025520	13958718	56641467	89.8707	30.6472	27	57.6
21	1	48129895	10131234	33714446	70.0489	27.5495	26.9	54.3
22	1	51304566	10679821	32915914	64.1579	26.2028	26.7	54.4
X	1	155270560	18476762	120535798	77.6295	16.5343	27.1	54.7
Y	1	59373566	5747044	18910094	31.8493	12.8553	26.9	17.2
MT	1	16569	8179	9029	54.4933	69.5933	26.8	45.9
GL000207.1	1	4262	18675	3526	82.7311	533.305	26.9	49.6
GL000226.1	1	15008	555581	15008	100	5184.09	27.2	2.56
GL000229.1	1	19913	7520	19603	98.4432	51.3158	26.6	49.8
GL000231.1	1	27386	5939	26739	97.6375	30.6156	26.9	46.7
GL000210.1	1	27682	10314	25671	92.7354	38.5072	26.4	36.5
GL000239.1	1	33824	47190	33811	99.9616	188.762	27	8.34
GL000235.1	1	34474	22406	34466	99.9768	93.2281	27.2	43.7
GL000201.1	1	36148	1977	27768	76.8175	7.80588	26.8	1.67
GL000247.1	1	36422	14917	36252	99.5332	58.3101	27	10.2
GL000245.1	1	36651	12205	36284	98.9987	47.5932	27.2	2.84
GL000197.1	1	37175	126612	33408	89.8668	337.771	26	8.45
GL000203.1	1	37498	2635	32364	86.3086	9.91853	27.1	19
GL000246.1	1	38154	7272	37109	97.2611	27.3605	27.1	15.1
GL000249.1	1	38502	5691	36575	94.9951	21.1799	27	0.994
GL000196.1	1	38914	4684	36493	93.7786	17.1842	27.1	2.27
GL000248.1	1	39786	4055	33252	83.5771	14.3647	26.9	15.5
GL000244.1	1	39929	2695	35896	89.8996	9.5093	27.1	1.73
GL000238.1	1	39939	3920	36321	90.9412	14.0121	27.1	10.9
GL000202.1	1	40103	1836	31485	78.5103	6.12002	26.7	23.4
GL000234.1	1	40531	9277	40309	99.4523	32.5325	27.1	46
GL000232.1	1	40652	14445	39897	98.1428	50.9558	27.2	43.8
GL000206.1	1	41001	2493	35017	85.4052	8.46938	26.9	3.46
GL000240.1	1	41933	21061	41932	99.9976	72.0149	27.1	32
GL000236.1	1	41934	4882	40128	95.6932	16.4682	27.1	8.65
GL000241.1	1	42152	24193	42152	100	81.9098	27.1	45.9
GL000243.1	1	43341	26684	42867	98.9063	83.7656	26.9	8.64
GL000242.1	1	43523	6213	40829	93.8102	20.409	27	10.8
GL000230.1	1	43691	16553	42958	98.3223	52.3883	27.1	26.4
GL000237.1	1	45867	52857	45867	100	156.58	26.7	24.3
GL000233.1	1	45941	9428	45164	98.3087	28.4074	27.1	11.2
GL000204.1	1	81310	12300	72419	89.0653	20.3383	26.7	51
GL000198.1	1	90085	28192	89816	99.7014	44.1216	27.2	21
GL000208.1	1	92689	73805	92449	99.7411	111.088	27.2	31.4
GL000191.1	1	106433	8610	92744	87.1384	11.5223	27	12.4
GL000227.1	1	128374	14168	117233	91.3215	15.4676	27.1	3.52
GL000228.1	1	129120	63042	105584	81.772	66.444	27	9.63
GL000214.1	1	137718	605318	137660	99.9579	619.042	26.8	20.3
GL000221.1	1	155397	62240	154515	99.4324	57.3248	27.1	10.5
GL000209.1	1	159169	10813	95318	59.8848	9.51322	27	7.19
GL000218.1	1	161147	45439	153534	95.2757	40.2685	27.1	27.1
GL000220.1	1	161802	1978929	160547	99.2244	1633.5	26.5	51.7
GL000213.1	1	164239	16001	144416	87.9304	13.8619	27.1	17.2
GL000211.1	1	166566	29604	156876	94.1825	25.2969	27.1	42.3
GL000199.1	1	169874	272670	168751	99.3389	224.628	27.2	7.35
GL000217.1	1	172149	39119	163145	94.7696	32.2713	27.2	10.6
GL000216.1	1	172294	113733	172096	99.8851	85.6565	26.8	29.4
GL000215.1	1	172545	10518	139758	80.998	8.54886	27.1	6.32
GL000205.1	1	174588	169353	174329	99.8517	134.543	27.1	46.6
GL000219.1	1	179198	47973	61666	34.4122	27.3005	26.6	24.6
GL000224.1	1	179693	286459	67132	37.3593	222.545	26.7	13.9
GL000223.1	1	180455	43121	163632	90.6775	29.2088	26.7	0.344
GL000195.1	1	182896	130553	182019	99.5205	102.01	27.1	43.8
GL000212.1	1	186858	46277	173918	93.075	34.8865	27.1	35.5
GL000222.1	1	186861	35147	168614	90.235	26.8385	27.1	19.3
GL000200.1	1	187035	11034	158874	84.9435	8.3209	27.1	0
GL000193.1	1	189789	78825	187625	98.8598	59.1434	27	41.3
GL000194.1	1	191469	63234	189857	99.1581	47.0433	27.1	24.7
GL000225.1	1	211173	227621	207847	98.425	140.548	26.9	28
GL000192.1	1	547496	117230	527596	96.3653	30.3644	27.1	22.7
NC_007605	1	171823	311	211	0.122801	0.0779116	19.8	12.1
hs37d5	1	35477943	61915045	32015599	90.2409	202.649	26.5	34.8
