#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	44091843	220282398	88.3779	25.1726	27.2	56.1
2	1	243199373	52714314	234566950	96.4505	30.6525	27.2	56.2
3	1	198022430	42294871	192393047	97.1572	30.8066	27.3	58.5
4	1	191154276	42056813	185559646	97.0732	31.5171	27.3	57.5
5	1	180915260	37793567	175510522	97.0126	30.0475	27.3	57.4
6	1	171115067	38391756	165600818	96.7775	31.7921	27.2	57.2
7	1	159138663	31841495	152285984	95.6939	28.3709	27.2	56.4
8	1	146364022	31124153	140390176	95.9185	30.3577	27.3	56.8
9	1	141213431	26650905	117190018	82.9879	26.3951	27.2	52.1
10	1	135534747	26706422	128873074	95.0849	27.7071	27.2	56.7
11	1	135006516	26217353	127908181	94.7422	27.6472	27.2	57.6
12	1	133851895	29581612	128485173	95.9906	31.4098	27.2	57.4
13	1	115169878	21577442	94589044	82.13	26.4632	27.2	58
14	1	107349540	17685284	86382722	80.4686	23.2592	27.2	57.4
15	1	102531392	15817425	79998706	78.0236	21.8988	27.2	55.6
16	1	90354753	18464960	75738214	83.8232	28.3816	27.1	43.8
17	1	81195210	11740553	74307448	91.517	20.3771	27.1	56
18	1	78077248	16246378	73884807	94.6304	29.7586	27.3	58
19	1	59128983	8632762	52192384	88.2687	19.7678	26.9	54.5
20	1	63025520	9755953	57570035	91.344	21.9292	27.2	57.5
21	1	48129895	9043513	34277692	71.2191	25.2204	27.1	54.3
22	1	51304566	7240647	32553624	63.4517	17.794	26.7	53.1
X	1	155270560	38611433	149686638	96.4037	35.8472	27.3	56.3
Y	1	59373566	248278	2501659	4.21342	0.477401	27	16.9
MT	1	16569	528165	16569	100	4547.89	26.9	55
GL000207.1	1	4262	23995	4166	97.7475	726.864	26.9	50.6
GL000226.1	1	15008	691662	15008	100	6663.97	27.4	3.63
GL000229.1	1	19913	12642	19883	99.8493	83.3736	26.8	47
GL000231.1	1	27386	9163	27329	99.7919	48.6021	27.2	47.2
GL000210.1	1	27682	1589	19411	70.1214	7.3719	26.8	13.6
GL000239.1	1	33824	32240	33721	99.6955	132.221	27.1	10.1
GL000235.1	1	34474	13079	34133	99.0108	55.31	27.4	43.1
GL000201.1	1	36148	431	21215	58.6893	1.67542	26.9	2.39
GL000247.1	1	36422	5145	35132	96.4582	20.337	27.2	12.5
GL000245.1	1	36651	16636	36619	99.9127	65.967	27.3	2.87
GL000197.1	1	37175	31132	32610	87.7202	87.8306	26.1	7.71
GL000203.1	1	37498	2681	35973	95.9331	10.266	27.4	18.9
GL000246.1	1	38154	5055	36671	96.1131	19.1842	27.2	17.2
GL000249.1	1	38502	2677	37632	97.7404	10.0918	27.1	2.11
GL000196.1	1	38914	6593	38800	99.707	24.6342	27.2	5.35
GL000248.1	1	39786	2406	36074	90.6701	8.6823	27.1	12.2
GL000244.1	1	39929	4743	36792	92.1436	17.1225	27.3	2.53
GL000238.1	1	39939	3167	37948	95.0149	11.4719	27.3	7.67
GL000202.1	1	40103	921	29773	74.2413	3.28098	26.9	26.3
GL000234.1	1	40531	12893	40506	99.9383	46.2761	27.2	50.5
GL000232.1	1	40652	14085	40642	99.9754	50.4321	27.3	46.3
GL000206.1	1	41001	1667	32767	79.9176	5.93225	27.1	4.97
GL000240.1	1	41933	12155	41793	99.6661	41.8398	27.2	26.3
GL000236.1	1	41934	3836	40237	95.9532	13.2324	27.2	6.64
GL000241.1	1	42152	23140	42152	100	79.6121	27.3	47.5
GL000243.1	1	43341	10624	42710	98.5441	34.4091	27.1	11
GL000242.1	1	43523	1565	36258	83.3077	5.18259	27	6.53
GL000230.1	1	43691	2912	32999	75.5281	9.42835	27.3	30.7
GL000237.1	1	45867	30449	45865	99.9956	92.6973	27	19.1
GL000233.1	1	45941	4043	37394	81.3957	12.5131	27.2	21.9
GL000204.1	1	81310	3926	69471	85.4397	6.85602	26.9	45.4
GL000198.1	1	90085	72545	89885	99.778	115.767	27.3	5.86
GL000208.1	1	92689	57987	92627	99.9331	89.9625	27.3	37.9
GL000191.1	1	106433	8912	100267	94.2067	12.1785	27.1	15.3
GL000227.1	1	128374	14425	116520	90.766	16.1646	27.3	0.629
GL000228.1	1	129120	22609	91122	70.5716	24.8641	27.2	11.1
GL000214.1	1	137718	297182	137244	99.6558	311.844	27	28.4
GL000221.1	1	155397	61899	153894	99.0328	57.8112	27.3	8.99
GL000209.1	1	159169	7672	101258	63.6167	6.91521	27.1	12.3
GL000218.1	1	161147	54480	158507	98.3617	49.2804	27.3	35.4
GL000220.1	1	161802	4305179	158581	98.0093	3390.72	26.5	49.4
GL000213.1	1	164239	16224	151374	92.1669	14.2779	27.3	14.5
GL000211.1	1	166566	33257	162787	97.7312	28.9276	27.3	43.6
GL000199.1	1	169874	412523	169341	99.6862	349.433	27.3	6.3
GL000217.1	1	172149	47295	169219	98.298	39.6381	27.3	16.7
GL000216.1	1	172294	70221	171366	99.4614	54.0236	26.9	37.2
GL000215.1	1	172545	15688	161937	93.852	13.1495	27.3	8.38
GL000205.1	1	174588	112970	174186	99.7697	93.4902	27.3	42.2
GL000219.1	1	179198	129152	179140	99.9676	96.1806	27.1	48.5
GL000224.1	1	179693	307616	179693	100	247.053	26.9	23.7
GL000223.1	1	180455	25159	175505	97.2569	19.2556	27	1.52
GL000195.1	1	182896	156694	182649	99.865	124.672	27.3	47.1
GL000212.1	1	186858	35170	177002	94.7254	27.1724	27.3	38.6
GL000222.1	1	186861	19379	178666	95.6144	14.9883	27.2	16.2
GL000200.1	1	187035	13941	178166	95.2581	10.7787	27.2	0.0231
GL000193.1	1	189789	75212	186813	98.4319	57.5289	27.2	43.5
GL000194.1	1	191469	59470	187613	97.9861	45.2651	27.3	28.7
GL000225.1	1	211173	80073	205573	97.3481	52.5879	27.1	35.8
GL000192.1	1	547496	116247	541581	98.9196	30.7675	27.3	25.9
NC_007605	1	171823	103	166	0.096611	0.0243739	19.3	8.28
hs37d5	1	35477943	54803516	32365944	91.2284	194.146	26.7	30.2
