#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	77129742	223829941	89.8012	44.5279	31.3	56.8
2	1	243199373	81228882	236609445	97.2903	47.8917	31.3	57.3
3	1	198022430	65799002	193659676	97.7968	47.9529	31.4	58.7
4	1	191154276	62496818	186437036	97.5322	47.1185	31.4	58.2
5	1	180915260	62543932	176919215	97.7912	49.8349	31.4	57.9
6	1	171115067	58729744	166672636	97.4038	49.3948	31.4	58.4
7	1	159138663	51352963	154205668	96.9002	46.3464	31.3	57.5
8	1	146364022	49150747	141756735	96.8522	48.319	31.4	57.8
9	1	141213431	38759551	118832889	84.1513	39.3146	31.3	54.6
10	1	135534747	41403075	130183494	96.0517	43.8255	31.3	57.7
11	1	135006516	45501524	130099325	96.3652	48.511	31.3	58.4
12	1	133851895	45048903	129759441	96.9426	48.4654	31.3	58.6
13	1	115169878	30346796	94778624	82.2946	37.8642	31.4	58.7
14	1	107349540	30284841	87645354	81.6448	40.5605	31.3	58
15	1	102531392	28377588	81257420	79.2513	39.859	31.3	56.3
16	1	90354753	29297933	77935080	86.2545	45.9157	31.2	50.6
17	1	81195210	22965906	76871159	94.6745	40.6261	31.2	57.4
18	1	78077248	25120184	74223788	95.0646	46.3478	31.4	58.6
19	1	59128983	14416592	54764496	92.6187	34.6924	31.1	57.2
20	1	63025520	19648255	58970044	93.5653	44.8341	31.3	58.7
21	1	48129895	12329065	34815082	72.3357	36.467	31.3	56.4
22	1	51304566	10245348	34305126	66.8656	28.2125	31.1	55.9
X	1	155270560	55491506	150156989	96.7067	51.4768	31.4	56.5
Y	1	59373566	281800	2911160	4.90312	0.59376	31.1	15.1
MT	1	16569	12874797	16569	100	106383	31	52.2
GL000207.1	1	4262	23386	4259	99.9296	712.216	31	54.6
GL000226.1	1	15008	315481	15008	100	2974.54	31.4	3.14
GL000229.1	1	19913	10987	19912	99.995	78.1437	30.9	50.5
GL000231.1	1	27386	19098	27329	99.7919	100.665	31.2	48.6
GL000210.1	1	27682	3623	23615	85.3081	16.7606	30.9	22.5
GL000239.1	1	33824	33549	33824	100	138.901	31.1	6.29
GL000235.1	1	34474	17760	32936	95.5387	74.6458	31.4	39.3
GL000201.1	1	36148	1683	28987	80.1898	6.69628	31	1.99
GL000247.1	1	36422	6879	35452	97.3368	26.8629	31.3	8.43
GL000245.1	1	36651	26046	36434	99.4079	102.889	31.4	2.17
GL000197.1	1	37175	16954	36758	98.8783	53.856	30.4	7.19
GL000203.1	1	37498	5524	36829	98.2159	21.193	31.5	23.6
GL000246.1	1	38154	8958	38036	99.6907	34.0042	31.3	18.6
GL000249.1	1	38502	6041	38133	99.0416	22.7016	31.2	2.18
GL000196.1	1	38914	6572	38832	99.7893	24.3389	31.3	6
GL000248.1	1	39786	11630	39535	99.3691	41.9576	31.2	13.6
GL000244.1	1	39929	8464	39030	97.7485	30.461	31.4	2.34
GL000238.1	1	39939	10220	39796	99.642	37.1569	31.3	13.5
GL000202.1	1	40103	4629	38447	95.8706	16.547	31	32.2
GL000234.1	1	40531	24335	40527	99.9901	87.0125	31.3	49.8
GL000232.1	1	40652	31650	40644	99.9803	113.13	31.4	45.8
GL000206.1	1	41001	2101	34450	84.0223	7.25968	31.1	1.89
GL000240.1	1	41933	11195	37467	89.3497	38.1588	31.3	19.9
GL000236.1	1	41934	6689	41421	98.7766	22.9384	31.3	5.39
GL000241.1	1	42152	32533	42152	100	111.042	31.4	44
GL000243.1	1	43341	22038	43189	99.6493	70.9745	31.1	11.1
GL000242.1	1	43523	7967	43040	98.8902	26.4461	31.2	11
GL000230.1	1	43691	898	19854	45.4419	2.64629	31.1	11.4
GL000237.1	1	45867	51933	45867	100	159.523	31	25.1
GL000233.1	1	45941	3865	34429	74.9418	11.8404	31.3	21.6
GL000204.1	1	81310	20317	78817	96.934	35.5368	30.9	53.1
GL000198.1	1	90085	37926	89907	99.8024	60.1923	31.4	27.6
GL000208.1	1	92689	75277	92527	99.8252	114.496	31.4	30.6
GL000191.1	1	106433	18570	104689	98.3614	25.2426	31.2	14.6
GL000227.1	1	128374	26644	125248	97.5649	29.7707	31.3	3.44
GL000228.1	1	129120	39950	108526	84.0505	43.0266	31.2	9.87
GL000214.1	1	137718	555523	137487	99.8323	578.344	31.1	24.1
GL000221.1	1	155397	89595	154368	99.3378	83.3183	31.4	9.31
GL000209.1	1	159169	6940	88265	55.4536	6.14236	31.2	3.25
GL000218.1	1	161147	105290	160765	99.7629	94.9391	31.4	33.1
GL000220.1	1	161802	1723315	159991	98.8807	1476.87	30.6	52.9
GL000213.1	1	164239	27056	159750	97.2668	23.6261	31.4	12
GL000211.1	1	166566	47127	165523	99.3738	40.8067	31.4	43.8
GL000199.1	1	169874	193165	167852	98.8097	160.663	31.4	7.22
GL000217.1	1	172149	89128	170229	98.8847	74.8381	31.4	14.4
GL000216.1	1	172294	43166	165172	95.8664	33.029	31.1	26.4
GL000215.1	1	172545	29090	167557	97.1092	24.3654	31.4	6.67
GL000205.1	1	174588	185221	174414	99.9003	151.275	31.3	43
GL000219.1	1	179198	166632	179181	99.9905	129.163	31.3	49.3
GL000224.1	1	179693	506276	179693	100	402.271	31	24.1
GL000223.1	1	180455	31526	176719	97.9297	24.1645	31.1	2.21
GL000195.1	1	182896	210057	182609	99.8431	165.942	31.4	44.9
GL000212.1	1	186858	80814	180558	96.6285	62.3545	31.3	38.4
GL000222.1	1	186861	37178	183415	98.1558	28.7205	31.3	15.9
GL000200.1	1	187035	22610	183758	98.2479	17.3781	31.4	0.026
GL000193.1	1	189789	154820	188953	99.5595	118.065	31.3	45.1
GL000194.1	1	191469	85754	190822	99.6621	64.7902	31.3	26.7
GL000225.1	1	211173	103162	205131	97.1388	64.8493	31.1	29.6
GL000192.1	1	547496	199890	544801	99.5078	52.6493	31.3	23.8
NC_007605	1	171823	111	165	0.0960291	0.0276098	20.5	9.41
hs37d5	1	35477943	23810552	32173503	90.6859	86.7608	30.9	33.1
