#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	98653108	224645322	90.1283	57.354	31	56.8
2	1	243199373	104658715	237769524	97.7673	62.2072	31	57.3
3	1	198022430	84271106	194515539	98.229	61.8243	31	58.8
4	1	191154276	80341753	187247578	97.9563	61.0237	31.1	58.3
5	1	180915260	78037562	177392503	98.0528	62.6276	31	57.9
6	1	171115067	74245810	167125672	97.6686	62.9813	31	58.6
7	1	159138663	68176248	154918470	97.3481	62.108	31	57.6
8	1	146364022	69359989	142554667	97.3973	68.7827	31	57.9
9	1	141213431	54000299	119813381	84.8456	55.4297	31	53.8
10	1	135534747	56133558	131063931	96.7014	60.0652	31	57.9
11	1	135006516	60121270	130775761	96.8663	64.6239	31	58.5
12	1	133851895	55802235	130146985	97.2321	60.4819	31	58.8
13	1	115169878	42213417	95458884	82.8853	53.1855	31	58.8
14	1	107349540	38550730	88127438	82.0939	52.0747	31	58.2
15	1	102531392	37114248	81543925	79.5307	52.5368	31	56.7
16	1	90354753	37505210	78528385	86.9112	59.4646	30.9	51.3
17	1	81195210	29902873	77556810	95.5189	53.3297	30.9	57.7
18	1	78077248	32897109	74557793	95.4923	61.1791	31	58.7
19	1	59128983	18623709	55451437	93.7805	45.3251	30.8	57.6
20	1	63025520	25830690	59328885	94.1347	59.4401	31	58.9
21	1	48129895	15391016	35018242	72.7578	46.2291	31	56.7
22	1	51304566	16349481	34705816	67.6466	46.0144	30.9	56.5
X	1	155270560	69712039	150732825	97.0775	65.107	31	56.9
Y	1	59373566	286785	3215992	5.41654	0.607742	30.7	13.6
MT	1	16569	24684733	16569	100	197457	30.7	49.7
GL000207.1	1	4262	17435	4242	99.5307	544.967	30.8	56.8
GL000226.1	1	15008	204974	15008	100	1936.23	31.1	3.54
GL000229.1	1	19913	11715	19908	99.9749	83.6321	30.6	51.2
GL000231.1	1	27386	22735	27363	99.916	120.253	30.8	48.6
GL000210.1	1	27682	2979	26218	94.7114	15.3899	30.8	9.97
GL000239.1	1	33824	33442	33815	99.9734	140.29	30.8	4.47
