#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	50318872	87457320	35.0881	28.6611	30	56.2
2	1	243199373	110773155	150587852	61.9195	64.1308	30	57.1
3	1	198022430	110740218	116517553	58.8406	79.9044	30	58.6
4	1	191154276	93010185	137284571	71.8187	69.4068	30	58
5	1	180915260	79360782	100644376	55.6307	62.5249	30	57.8
6	1	171115067	61383638	89134464	52.0904	51.237	30.1	58
7	1	159138663	143313979	137898564	86.6531	128.099	30	57.3
8	1	146364022	110614727	113387927	77.4698	107.518	30	57.3
9	1	141213431	37712665	53119962	37.6168	37.7082	30	50.8
10	1	135534747	35471396	54498163	40.2097	37.2689	30	57.7
11	1	135006516	71998113	90344680	66.9188	75.9837	30	57.9
12	1	133851895	51497816	79950176	59.7303	55.1055	30.1	58.3
13	1	115169878	114415217	84108108	73.0296	141.392	30	58.8
14	1	107349540	23565696	36754408	34.2381	31.2813	30	55
15	1	102531392	19307703	33709177	32.8769	26.9072	30	55.9
16	1	90354753	46863207	37731867	41.7597	71.4909	29.9	44.4
17	1	81195210	12388464	25003310	30.7941	21.2942	29.9	57.4
18	1	78077248	40419214	63722174	81.6143	73.604	30	58.4
19	1	59128983	23894314	34307553	58.0216	55.5296	29.8	56.5
20	1	63025520	30080240	43518510	69.049	67.7214	30	58.5
21	1	48129895	5812542	10529745	21.8778	16.8813	30	51
22	1	51304566	11593500	19932755	38.8518	31.6603	29.9	52
X	1	155270560	104409003	118556019	76.3545	95.8858	30	56.4
Y	1	59373566	16225978	19561254	32.9461	37.8068	30	33.3
MT	1	16569	5959025	16569	100	49178.5	29.7	53.4
GL000207.1	1	4262	92156	4061	95.2839	2741.53	29.7	53.9
GL000226.1	1	15008	968268	15008	100	9054.62	30.1	2.44
GL000229.1	1	19913	33361	19911	99.99	233.019	29.5	50.7
GL000231.1	1	27386	44853	27376	99.9635	235.597	29.8	48.1
GL000210.1	1	27682	12	325	1.17405	0.0188209	27	9.83
GL000239.1	1	33824	52788	33823	99.997	214.198	29.9	7.56
GL000235.1	1	34474	52396	34463	99.9681	219.25	30.1	47
GL000201.1	1	36148	34	421	1.16466	0.0388403	24.4	0.971
GL000247.1	1	36422	21867	35586	97.7047	86.2729	30	16.5
GL000245.1	1	36651	13295	36101	98.4994	51.7354	30.1	2.19
GL000197.1	1	37175	327309	37025	99.5965	909.148	28.9	7.86
GL000203.1	1	37498	530	5428	14.4754	1.88501	29.9	27.4
GL000246.1	1	38154	8741	31749	83.2128	32.7172	30	17.1
GL000249.1	1	38502	7179	33016	85.7514	26.8577	29.9	1.58
GL000196.1	1	38914	21865	38770	99.63	81.033	30	7.16
GL000248.1	1	39786	9455	36809	92.5175	33.4949	29.8	10.3
GL000244.1	1	39929	27365	39577	99.1184	98.3321	30.1	2.83
GL000238.1	1	39939	6398	32886	82.3406	23.1894	30	16.9
GL000202.1	1	40103	60	862	2.14947	0.093983	28.9	5
GL000234.1	1	40531	57164	40407	99.6941	203.749	30	49.6
GL000232.1	1	40652	57717	40650	99.9951	205.467	30.1	46.2
GL000206.1	1	41001	27	761	1.85605	0.0577303	29.1	3.26
GL000240.1	1	41933	55819	41930	99.9928	191.701	30	29.2
GL000236.1	1	41934	15053	40359	96.2441	51.7555	30.1	6.65
GL000241.1	1	42152	60586	42152	100	206.236	30.1	45.7
GL000243.1	1	43341	23129	42119	97.1805	75.0683	29.9	8.49
GL000242.1	1	43523	1709	22804	52.3953	5.60669	29.9	8.25
GL000230.1	1	43691	11166	40027	91.6138	35.6853	30.1	27
GL000237.1	1	45867	93117	45867	100	281.122	29.7	29.8
GL000233.1	1	45941	4698	33191	72.247	13.8143	29.9	3.38
GL000204.1	1	81310	141	608	0.747756	0.0577543	27.6	1.12
GL000198.1	1	90085	27388	86731	96.2768	42.9271	30.1	30
GL000208.1	1	92689	243569	92593	99.8964	368.391	30.1	30.9
GL000191.1	1	106433	34943	101487	95.3529	47.4809	29.9	17.6
GL000227.1	1	128374	25823	105065	81.8429	28.6693	30	7.54
GL000228.1	1	129120	72988	112702	87.2847	79.649	29.9	12
GL000214.1	1	137718	60898	122958	89.2824	62.1078	29.9	28.7
GL000221.1	1	155397	71607	152235	97.9652	66.0834	30.1	11.1
GL000209.1	1	159169	92777	126905	79.7297	83.2065	29.9	22.9
GL000218.1	1	161147	36395	132406	82.1647	31.8703	30	26.6
GL000220.1	1	161802	1127361	149737	92.5434	942.939	29.2	51.4
GL000213.1	1	164239	14612	83903	51.0859	12.608	30	11.7
GL000211.1	1	166566	5951	66227	39.7602	4.6366	29.9	2.07
GL000199.1	1	169874	752170	169693	99.8935	621.66	30	8.34
GL000217.1	1	172149	126531	169939	98.7162	105.418	30.1	13.3
GL000216.1	1	172294	47989	133315	77.3765	34.8277	29.8	18.8
GL000215.1	1	172545	21995	128948	74.733	18.1318	30.1	5.62
GL000205.1	1	174588	57607	147519	84.4955	46.7982	30	40.3
GL000219.1	1	179198	46728	62341	34.7889	23.4372	29.4	13
GL000224.1	1	179693	189622	56289	31.3251	149	29.6	12.6
GL000223.1	1	180455	184	4666	2.58569	0.0895736	28.9	1.33
GL000195.1	1	182896	57271	156783	85.7225	44.9832	30.1	42
GL000212.1	1	186858	86148	178614	95.5881	66.0826	30	38.8
GL000222.1	1	186861	69246	177784	95.1424	53.0757	30	7.4
GL000200.1	1	187035	53413	174584	93.343	41.0259	30.1	0.00273
GL000193.1	1	189789	200983	187111	98.589	152.352	30	43.5
GL000194.1	1	191469	106924	181982	95.0452	80.3653	30	28.5
GL000225.1	1	211173	95943	184622	87.4269	60.0223	29.9	23.8
GL000192.1	1	547496	253867	512471	93.6027	66.3952	30	28
NC_007605	1	171823	227	296	0.17227	0.0569132	19.8	10.9
hs37d5	1	35477943	56777273	25752675	72.5878	191.574	29.5	38
