#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	71799635	224196635	89.9483	41.5941	31	57.1
2	1	243199373	78979643	237324748	97.5844	46.7717	31	57.5
3	1	198022430	63968723	194201304	98.0704	46.7304	31	58.8
4	1	191154276	59475696	186624349	97.6302	44.9659	31.1	58.3
5	1	180915260	59269650	177090613	97.8859	47.3628	31	57.9
6	1	171115067	55892033	166996271	97.593	47.1884	31	58.5
7	1	159138663	49147827	154575624	97.1327	44.5381	31	57.6
8	1	146364022	49896416	142049346	97.0521	49.2276	31	57.7
9	1	141213431	39168648	119424279	84.5701	39.9542	31	54.8
10	1	135534747	42298160	130807400	96.5121	45.0021	31	57.9
11	1	135006516	44169922	130348052	96.5495	47.2455	31	58.5
12	1	133851895	43153594	130003700	97.125	46.5603	31	58.7
13	1	115169878	30832895	95262839	82.7151	38.6429	31.1	58.8
14	1	107349540	28249627	87805585	81.7941	37.9765	31	58.2
15	1	102531392	25816003	81274107	79.2675	36.3676	31	56.6
16	1	90354753	26446109	78082874	86.4181	41.7626	30.9	52
17	1	81195210	21940980	77157292	95.0269	38.9524	30.9	57.6
18	1	78077248	25015247	74432107	95.3314	46.3093	31	58.7
19	1	59128983	13950427	55080342	93.1529	33.7734	30.8	57.5
20	1	63025520	18655765	59124593	93.8106	42.72	31	58.9
21	1	48129895	11752821	34902674	72.5177	35.0368	31	56.6
22	1	51304566	9764965	34439470	67.1275	27.1892	30.8	56.3
X	1	155270560	28276449	146922195	94.6233	26.2241	31	56.3
Y	1	59373566	10549725	22910127	38.5864	25.1068	31	30
MT	1	16569	5769158	16569	100	48379.8	30.7	53.1
GL000207.1	1	4262	10319	4242	99.5307	320.386	30.8	56
GL000226.1	1	15008	227607	15008	100	2149.8	31.1	2.93
GL000229.1	1	19913	10668	19897	99.9197	75.6714	30.5	49.4
GL000231.1	1	27386	17019	27360	99.9051	89.6814	30.8	47.7
GL000210.1	1	27682	2434	25281	91.3265	12.0778	30.6	13.3
GL000239.1	1	33824	29223	33823	99.997	121.588	30.8	4.94
GL000235.1	1	34474	24739	34454	99.942	104.23	31.1	41.7
GL000201.1	1	36148	1450	30218	83.5952	5.77329	30.6	2.05
GL000247.1	1	36422	10264	36259	99.5525	40.5037	31	10.1
GL000245.1	1	36651	25225	36391	99.2906	99.8685	31.1	2.9
GL000197.1	1	37175	10893	34800	93.6113	34.3381	30.1	7.61
GL000203.1	1	37498	5976	37200	99.2053	23.0959	31.1	21.8
GL000246.1	1	38154	6030	37758	98.9621	22.822	31	9.67
GL000249.1	1	38502	6246	38359	99.6286	23.6683	30.9	2.08
GL000196.1	1	38914	6706	38874	99.8972	24.9278	31	5.16
GL000248.1	1	39786	8055	39429	99.1027	29.0123	30.8	10
