#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	48916470	222788405	89.3833	26.4156	24.8	55
2	1	243199373	57309085	236188772	97.1173	30.7027	24.7	53.8
3	1	198022430	40163542	193269129	97.5996	27.6539	24.9	57.1
4	1	191154276	37903376	186126784	97.3699	26.9184	24.9	55.9
5	1	180915260	40456072	176274085	97.4346	29.8894	24.8	55.3
6	1	171115067	35710502	166232202	97.1464	28.0613	24.9	56.3
7	1	159138663	37404177	153622266	96.5336	30.3843	24.8	54.7
8	1	146364022	32373705	141481794	96.6643	29.4761	24.9	55.3
9	1	141213431	37846080	118631844	84.0089	32.6274	24.7	49.6
10	1	135534747	34366414	130090144	95.9829	32.1898	24.7	54.3
11	1	135006516	29516589	129502759	95.9233	28.8261	24.8	55.8
12	1	133851895	30634943	129267299	96.5749	30.0449	24.7	54.6
13	1	115169878	24652240	94922433	82.4195	27.6123	24.7	54.9
14	1	107349540	29147660	87413987	81.4293	33.2778	24.6	55.3
15	1	102531392	17751019	80901923	78.9045	23.215	24.8	54.8
16	1	90354753	26471182	77409379	85.6727	37.1405	24.7	43.6
17	1	81195210	17434020	76352296	94.0355	27.7555	24.6	54.3
18	1	78077248	15516036	74133332	94.9487	26.931	24.9	56.3
19	1	59128983	20924038	54241235	91.7338	40.1617	24.4	52.3
20	1	63025520	12550920	58683308	93.1104	26.831	24.8	56.3
21	1	48129895	11149159	34645111	71.9825	27.7969	24.6	50.7
22	1	51304566	17907752	33999999	66.2709	38.6221	24.4	50
X	1	155270560	32071668	149972424	96.5878	28.665	24.9	54.9
Y	1	59373566	252666	2426480	4.0868	0.460869	24.6	15.4
MT	1	16569	2319280	16569	100	19364.5	24.7	54.8
GL000207.1	1	4262	117226	4255	99.8358	3206.99	24.8	45.8
GL000226.1	1	15008	425774	15008	100	3965.45	25.1	2.02
GL000229.1	1	19913	5529	19893	99.8996	37.5231	24.7	46.4
GL000231.1	1	27386	7476	27231	99.434	38.9867	24.9	46.3
GL000210.1	1	27682	9807	25811	93.2411	35.7779	24.2	37.8
GL000239.1	1	33824	63073	33823	99.997	245.359	24.9	14.7
GL000235.1	1	34474	14383	34408	99.8086	59.9623	25.1	44.6
GL000201.1	1	36148	2309	28250	78.1509	9.14623	24.7	8.03
GL000247.1	1	36422	7529	35858	98.4515	29.5529	24.9	9.45
GL000245.1	1	36651	15212	36257	98.925	59.8514	25	1.91
GL000197.1	1	37175	118519	33145	89.1594	307.232	23.9	7.83
GL000203.1	1	37498	2905	36961	98.5679	11.0326	25	23.7
GL000246.1	1	38154	5602	37434	98.1129	21.1574	25	18.5
GL000249.1	1	38502	3660	36795	95.5665	13.6198	24.9	0.709
GL000196.1	1	38914	3936	38748	99.5734	14.5231	25	3.61
GL000248.1	1	39786	3466	37278	93.6963	12.3549	24.9	9.83
GL000244.1	1	39929	4422	37732	94.4977	15.8638	25	1.75
GL000238.1	1	39939	4665	38620	96.6975	16.8342	24.9	13.4
GL000202.1	1	40103	1927	30547	76.1714	6.18001	24.6	21.4
GL000234.1	1	40531	14001	40494	99.9087	49.5706	24.9	47.8
GL000232.1	1	40652	12170	40645	99.9828	42.9354	25	42.2
GL000206.1	1	41001	2807	37243	90.8344	9.76698	24.8	7.14
GL000240.1	1	41933	9755	41633	99.2846	33.0554	24.9	25.2
GL000236.1	1	41934	3471	40572	96.752	11.8155	25	7.3
GL000241.1	1	42152	19102	42152	100	64.8579	25	45.1
GL000243.1	1	43341	15379	42515	98.0942	49.0465	24.8	9.84
GL000242.1	1	43523	2329	38466	88.3809	7.67378	24.8	6.29
GL000230.1	1	43691	6728	40621	92.9734	21.5837	25	29.5
GL000237.1	1	45867	32878	45867	100	96.5437	24.7	20
GL000233.1	1	45941	2705	40937	89.1078	8.04745	24.9	9.01
