#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	51812865	222183943	89.1408	29.6674	29	56.7
2	1	243199373	54788033	235169037	96.698	31.9359	29	56.7
3	1	198022430	42682352	192220977	97.0703	30.9246	29	58.5
4	1	191154276	41135486	185217950	96.8945	30.7737	29	57.9
5	1	180915260	38097894	174906648	96.6788	30.1356	29	57.5
6	1	171115067	37351297	165191540	96.5383	30.9816	29	57.9
7	1	159138663	33452660	152861578	96.0556	29.8729	29	56.9
8	1	146364022	31095269	140499502	95.9932	30.2386	29	57.1
9	1	141213431	28166212	118382867	83.8326	28.1308	29	53.9
10	1	135534747	28241399	129106466	95.2571	29.4517	29	57.3
11	1	135006516	30622137	129181333	95.6853	32.2589	29	58.1
12	1	133851895	27949506	128496476	95.999	29.8182	29	58.3
13	1	115169878	21295368	94436082	81.9972	26.2078	29	58.4
14	1	107349540	20622196	86954460	81.0012	27.1681	29	57.6
15	1	102531392	17932780	80462830	78.4763	24.9626	29	56
16	1	90354753	21478765	77399492	85.6618	33.0705	28.9	49.8
17	1	81195210	16179599	76180681	93.8241	28.1189	28.9	57.4
18	1	78077248	16510973	73666410	94.3507	30.1479	29	58.2
19	1	59128983	11226533	54012608	91.3471	26.0515	28.8	56.6
20	1	63025520	14438182	58665169	93.0816	32.5691	29	58.4
21	1	48129895	8451818	34535360	71.7545	24.611	28.9	55.7
22	1	51304566	8117150	33970830	66.214	21.6353	28.8	55
X	1	155270560	37671807	149304101	96.1574	34.6453	29	56.2
Y	1	59373566	213071	2570064	4.32863	0.434843	28.8	14.2
MT	1	16569	1762101	16569	100	14789.2	28.7	54.4
GL000207.1	1	4262	6401	3751	88.0103	186.55	28.8	51.7
GL000226.1	1	15008	395495	15008	100	3709.06	29.1	2.38
GL000229.1	1	19913	9675	19846	99.6635	66.9826	28.6	51.9
GL000231.1	1	27386	8986	27239	99.4632	46.9543	28.8	48.1
GL000210.1	1	27682	2315	24611	88.9061	11.2821	28.6	16.1
GL000239.1	1	33824	36779	33824	100	149.423	28.9	6.93
GL000235.1	1	34474	21347	34455	99.9449	89.5222	29.1	43
GL000201.1	1	36148	1241	25966	71.8325	4.93845	28.7	2.46
GL000247.1	1	36422	8168	36335	99.7611	31.887	28.9	8.52
GL000245.1	1	36651	23708	36377	99.2524	93.7568	29.1	2.39
GL000197.1	1	37175	6053	31461	84.6295	18.1268	28.3	6.94
GL000203.1	1	37498	5929	37281	99.4213	22.825	29.1	21.5
GL000246.1	1	38154	7041	37993	99.578	26.6198	29	20.1
GL000249.1	1	38502	2556	37141	96.4651	9.53517	28.9	0.633
GL000196.1	1	38914	6375	38480	98.8847	23.5774	29	2.43
GL000248.1	1	39786	3418	37338	93.8471	12.2716	28.9	8.6
GL000244.1	1	39929	5340	38298	95.9152	19.1135	29.1	2.01
GL000238.1	1	39939	3282	37113	92.9242	11.8632	29	10.2
GL000202.1	1	40103	3818	35278	87.9685	13.4803	28.7	32
GL000234.1	1	40531	21577	40519	99.9704	77.0435	29	50.2
GL000232.1	1	40652	19418	40634	99.9557	69.1574	29.1	45.1
GL000206.1	1	41001	2610	36280	88.4856	9.06895	28.8	8.4
GL000240.1	1	41933	11745	41829	99.752	40.135	29	27
