#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	88209599	208713409	83.7364	50.5784	30.5	56.9
2	1	243199373	94108998	217664285	89.5003	55.107	30.5	57.2
3	1	198022430	61793318	167045626	84.3569	44.6405	30.6	58.5
4	1	191154276	73059118	168490633	88.1438	54.7121	30.6	58.1
5	1	180915260	70488587	163217760	90.2178	55.7592	30.6	57.9
6	1	171115067	69531625	152265296	88.9842	58.1256	30.6	58.5
7	1	159138663	48952184	134771354	84.688	43.8519	30.6	57.3
8	1	146364022	54878326	127837588	87.3422	53.6163	30.6	57.5
9	1	141213431	47548160	110668444	78.3696	48.0707	30.6	54.8
10	1	135534747	49061068	118469053	87.4086	51.6454	30.5	57.9
11	1	135006516	55914002	121511631	90.0043	59.1528	30.6	58.2
12	1	133851895	54320054	122006095	91.1501	58.0314	30.6	58.6
13	1	115169878	35267350	85017799	73.8195	43.7625	30.6	58.6
14	1	107349540	38451252	81972526	76.3604	51.1885	30.5	58.3
15	1	102531392	33920527	76214939	74.3333	47.3244	30.5	56.4
16	1	90354753	31949311	70231255	77.7283	49.8191	30.5	49.8
17	1	81195210	27951671	71531235	88.0979	49.1247	30.5	57.5
18	1	78077248	24023693	64635769	82.7844	44.0112	30.6	58.3
19	1	59128983	21712585	53413159	90.3333	52.1169	30.4	57.6
20	1	63025520	20670146	53347532	84.6443	46.8451	30.5	58.7
21	1	48129895	14093843	31786376	66.0429	41.5927	30.5	56
22	1	51304566	10812830	30502961	59.4547	29.7573	30.4	56.3
X	1	155270560	36162664	112484471	72.4442	33.2527	30.6	55.9
Y	1	59373566	7238546	17964565	30.2568	16.8061	30.4	23.9
MT	1	16569	15374522	16569	100	126173	30.3	52.9
GL000207.1	1	4262	725	3852	90.3801	22.447	30.5	56
GL000226.1	1	15008	305581	15008	100	2871.56	30.7	2.79
GL000229.1	1	19913	15217	19913	100	107.778	30.3	50.8
GL000231.1	1	27386	25112	27385	99.9963	131.297	30.4	48.3
GL000210.1	1	27682	3800	24768	89.4733	18.7008	30.2	13.2
GL000239.1	1	33824	45272	33823	99.997	188.664	30.4	5.83
GL000235.1	1	34474	52680	34474	100	220.084	30.7	43.6
GL000201.1	1	36148	1729	27460	75.9655	6.82143	30.2	1.79
GL000247.1	1	36422	37641	36403	99.9478	148.988	30.5	13.2
GL000245.1	1	36651	45983	36626	99.9318	180.919	30.6	3.6
GL000197.1	1	37175	18800	30659	82.4721	56.5591	29.6	8.3
GL000203.1	1	37498	10819	35831	95.5544	41.2594	30.6	29.2
GL000246.1	1	38154	1753	25270	66.2316	6.2681	30.5	0.242
GL000249.1	1	38502	6072	37713	97.9508	22.7223	30.4	2.19
GL000196.1	1	38914	14644	38886	99.928	54.089	30.6	6.58
GL000248.1	1	39786	6020	37673	94.6891	21.5049	30.5	7.14
GL000244.1	1	39929	5472	36956	92.5543	19.5821	30.6	2.01
GL000238.1	1	39939	12893	39374	98.5853	46.3918	30.6	13.8
GL000202.1	1	40103	2415	28300	70.5683	8.53565	30.4	14.3
GL000234.1	1	40531	35506	40525	99.9852	125.939	30.5	47.4
GL000232.1	1	40652	56973	40644	99.9803	202.774	30.6	44.4
GL000206.1	1	41001	5341	29452	71.8324	18.7183	30.5	3.91
GL000240.1	1	41933	32449	41927	99.9857	110.868	30.6	27.1
GL000236.1	1	41934	9122	40522	96.6328	30.9539	30.6	3.19
GL000241.1	1	42152	44560	42152	100	151.24	30.6	44.5
GL000243.1	1	43341	38751	42902	98.9871	125.86	30.4	11.9
GL000242.1	1	43523	11254	42534	97.7276	37.1567	30.4	11.8
GL000230.1	1	43691	13047	38595	88.3363	42.1057	30.6	31.8
GL000237.1	1	45867	65844	45867	100	202.489	30.3	24.2
GL000233.1	1	45941	10228	40890	89.0055	31.3557	30.6	20.4
GL000204.1	1	81310	30773	75493	92.8459	53.1277	30.1	50.7
GL000198.1	1	90085	32403	89850	99.7391	51.034	30.6	32.1
GL000208.1	1	92689	89046	92649	99.9568	135.027	30.6	35.6
GL000191.1	1	106433	26476	104415	98.104	35.7394	30.4	16.1
GL000227.1	1	128374	36105	120688	94.0128	39.9124	30.6	5.07
GL000228.1	1	129120	54137	108071	83.6981	57.947	30.5	11.2
GL000214.1	1	137718	456000	137597	99.9121	473.376	30.4	28
