#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	109691586	224560564	90.0943	63.3951	30.8	57.1
2	1	243199373	122307007	237562086	97.682	72.2564	30.8	57.4
3	1	198022430	98621294	194380037	98.1606	71.8259	30.8	58.7
4	1	191154276	93117853	187134722	97.8972	70.214	30.8	58.3
5	1	180915260	89912925	177247993	97.9729	71.6536	30.8	58
6	1	171115067	86499285	167102594	97.6551	72.8409	30.8	58.6
7	1	159138663	73749712	154786338	97.2651	66.699	30.8	57.6
8	1	146364022	70751121	142280569	97.2101	69.6403	30.8	57.6
9	1	141213431	57704713	119614884	84.705	58.8059	30.8	54.8
10	1	135534747	64612671	130922668	96.5971	68.6437	30.8	58
11	1	135006516	65133979	130577552	96.7194	69.5002	30.8	58.4
12	1	133851895	63649784	130008918	97.1289	68.4862	30.8	58.7
13	1	115169878	48165389	95413713	82.8461	60.2618	30.8	58.8
14	1	107349540	42086393	87857256	81.8422	56.4448	30.8	58.2
15	1	102531392	38826404	81354452	79.3459	54.5534	30.8	56
16	1	90354753	39017881	78329438	86.691	61.7186	30.7	53.1
17	1	81195210	33099031	77282250	95.1808	58.6368	30.7	57.7
18	1	78077248	19592916	73025998	93.5304	36.1351	30.8	58.3
19	1	59128983	21209608	55266229	93.4672	51.2789	30.6	57.4
20	1	63025520	29651822	59274981	94.0492	67.7574	30.7	58.9
21	1	48129895	17488712	34979951	72.6782	52.1678	30.8	56.7
22	1	51304566	14845305	34604106	67.4484	41.4398	30.7	56.3
X	1	155270560	42133021	146812904	94.553	38.9808	30.8	56.2
Y	1	59373566	8472957	22600478	38.0649	20.0863	30.7	28.7
MT	1	16569	2670254	16569	100	22358.3	30.4	53.9
GL000207.1	1	4262	8228	4247	99.6481	260.251	30.6	57.6
GL000226.1	1	15008	244945	15005	99.98	2314.72	30.9	2.95
GL000229.1	1	19913	17715	19912	99.995	126.094	30.4	51.3
GL000231.1	1	27386	29362	27359	99.9014	154.57	30.7	48.4
GL000210.1	1	27682	3691	26652	96.2792	18.4654	30.5	11.5
GL000239.1	1	33824	44812	33824	100	187.229	30.6	4.68
GL000235.1	1	34474	42550	34474	100	178.831	30.9	43.4
GL000201.1	1	36148	3084	31905	88.2621	12.2581	30.5	1.52
GL000247.1	1	36422	27115	36386	99.9012	107.663	30.8	12.2
GL000245.1	1	36651	39920	36645	99.9836	157.557	30.9	3.15
GL000197.1	1	37175	12973	36126	97.1782	45.5357	30.2	7.42
GL000203.1	1	37498	7492	36781	98.0879	28.6994	30.9	22.7
GL000246.1	1	38154	7156	37665	98.7184	26.8052	30.7	11.2
GL000249.1	1	38502	8642	38449	99.8623	32.4393	30.7	1.98
GL000196.1	1	38914	9788	38775	99.6428	36.2222	30.8	5.93
GL000248.1	1	39786	10139	39289	98.7508	36.4945	30.6	9.4
GL000244.1	1	39929	9750	39406	98.6902	35.1244	30.9	2
GL000238.1	1	39939	12443	39736	99.4917	45.0954	30.8	15
GL000202.1	1	40103	6002	39404	98.257	21.4372	30.5	28
GL000234.1	1	40531	41071	40513	99.9556	146.224	30.8	49.1
GL000232.1	1	40652	42734	40644	99.9803	152.422	30.8	44.3
GL000206.1	1	41001	5527	39112	95.3928	19.3566	30.6	10
GL000240.1	1	41933	36330	41915	99.9571	124.757	30.8	29.2
GL000236.1	1	41934	13812	41776	99.6232	47.2709	30.8	5.29
GL000241.1	1	42152	45620	42152	100	155.853	30.8	46.4
GL000243.1	1	43341	40991	43291	99.8846	134.128	30.7	11.9
GL000242.1	1	43523	8712	43180	99.2119	28.8138	30.7	8.77
GL000230.1	1	43691	12895	41816	95.7085	41.7183	30.9	28
GL000237.1	1	45867	76982	45867	100	238.184	30.6	26
GL000233.1	1	45941	10529	43016	93.6331	32.4556	30.8	16.8
GL000204.1	1	81310	28253	80221	98.6607	49.7822	30.5	49.8
GL000198.1	1	90085	34676	89626	99.4905	55.1938	30.9	36.7
GL000208.1	1	92689	72086	92636	99.9428	109.689	30.9	35.9
GL000191.1	1	106433	25458	105820	99.4241	34.4654	30.6	15.3
GL000227.1	1	128374	35931	124226	96.7688	40.0128	30.8	5.35
GL000228.1	1	129120	57570	114204	88.448	62.2336	30.8	11.3
GL000214.1	1	137718	515648	137612	99.923	537.49	30.6	28.9
GL000221.1	1	155397	140396	154629	99.5058	130.203	30.8	8.47
GL000209.1	1	159169	66412	157827	99.1569	60.1435	30.7	32.2
GL000218.1	1	161147	157908	160901	99.8473	141.837	30.8	32.1
GL000220.1	1	161802	2731132	160695	99.3158	2356.19	30.2	52.4
