#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	80009787	224367480	90.0168	46.2159	30.5	57.2
2	1	243199373	85322035	237355000	97.5969	50.3431	30.5	57.3
3	1	198022430	68494355	194096456	98.0174	49.849	30.6	58.7
4	1	191154276	65648689	186915490	97.7825	49.472	30.6	58.2
5	1	180915260	60744580	176885644	97.7727	48.3645	30.6	58
6	1	171115067	59046347	166864857	97.5162	49.6818	30.6	58.5
7	1	159138663	53329691	154577198	97.1337	48.2043	30.5	57.6
8	1	146364022	51912129	142221336	97.1696	51.071	30.5	57.7
9	1	141213431	42328855	119542834	84.654	43.1052	30.5	54.8
10	1	135534747	44854182	130721002	96.4483	47.6192	30.5	58.1
11	1	135006516	46892270	130507563	96.6676	50.0036	30.5	58.4
12	1	133851895	44904505	129887263	97.038	48.2835	30.5	58.7
13	1	115169878	32976374	95328909	82.7724	41.227	30.6	58.8
14	1	107349540	30846627	87906554	81.8882	41.3352	30.5	58.2
15	1	102531392	28575541	81280291	79.2736	40.1295	30.5	56.1
16	1	90354753	28867863	78169303	86.5138	45.5802	30.4	52.7
17	1	81195210	23916392	77185866	95.0621	42.3361	30.4	57.7
18	1	78077248	27170781	74483120	95.3967	50.1318	30.5	58.7
19	1	59128983	15281752	55052368	93.1056	36.9094	30.3	57.4
20	1	63025520	20732332	59180506	93.8993	47.3286	30.5	58.8
21	1	48129895	12387967	34933093	72.5809	36.921	30.5	56.6
22	1	51304566	10151080	34414490	67.0788	28.3201	30.4	56
X	1	155270560	30043904	146572989	94.3984	27.7795	30.5	56.2
Y	1	59373566	6199123	22509535	37.9117	14.6602	30.4	27.8
MT	1	16569	1366457	16569	100	11449.5	30.1	53.8
GL000207.1	1	4262	7184	4228	99.2023	222.725	30.3	56
GL000226.1	1	15008	186782	15008	100	1761.69	30.6	3.08
GL000229.1	1	19913	9598	19887	99.8694	67.6884	30.1	49.5
GL000231.1	1	27386	16111	27362	99.9124	84.5081	30.3	46.9
GL000210.1	1	27682	2539	24374	88.05	12.6273	30.2	15.4
GL000239.1	1	33824	35361	33822	99.9941	147.406	30.4	4.93
GL000235.1	1	34474	32287	34474	100	135.575	30.6	43.4
GL000201.1	1	36148	1849	30648	84.7848	7.32649	30.2	2.65
GL000247.1	1	36422	17934	36394	99.9231	70.9801	30.5	12.7
GL000245.1	1	36651	28686	36647	99.9891	113.15	30.6	3.17
GL000197.1	1	37175	8109	36373	97.8426	27.8031	29.8	7.36
GL000203.1	1	37498	5661	36978	98.6133	21.5705	30.6	19
GL000246.1	1	38154	8516	37689	98.7813	32.0526	30.5	8.89
GL000249.1	1	38502	8154	38437	99.8312	30.6291	30.5	1.39
GL000196.1	1	38914	9322	38838	99.8047	34.5853	30.5	6.02
GL000248.1	1	39786	7275	38372	96.446	26.0634	30.4	8.82
GL000244.1	1	39929	6554	38968	97.5932	23.5123	30.6	2.23
GL000238.1	1	39939	10272	39699	99.3991	37.2356	30.6	15.5
GL000202.1	1	40103	4087	37187	92.7287	14.5591	30.2	33
GL000234.1	1	40531	38214	40528	99.9926	136.237	30.5	48.7
GL000232.1	1	40652	32980	40646	99.9852	117.718	30.6	43.7
GL000206.1	1	41001	2557	37942	92.5392	8.91981	30.2	10.2
GL000240.1	1	41933	26147	41896	99.9118	89.7895	30.5	28.7
GL000236.1	1	41934	8537	41826	99.7425	29.1575	30.5	4.76
GL000241.1	1	42152	40058	42152	100	137.06	30.6	46.4
GL000243.1	1	43341	29721	43313	99.9354	96.8683	30.4	12.3
GL000242.1	1	43523	8100	43174	99.1981	26.7909	30.4	10.5
GL000230.1	1	43691	10612	41484	94.9486	34.5099	30.6	31.5
GL000237.1	1	45867	55358	45867	100	170.605	30.3	24.7
GL000233.1	1	45941	6645	42803	93.1695	20.3935	30.5	17.3
GL000204.1	1	81310	17555	79145	97.3374	30.6429	30.1	47.6
GL000198.1	1	90085	24114	89699	99.5715	38.2321	30.6	35.5
GL000208.1	1	92689	50478	92501	99.7972	76.6553	30.6	34.6
GL000191.1	1	106433	20210	105404	99.0332	27.3773	30.4	16.5
GL000227.1	1	128374	22230	122665	95.5528	24.7087	30.5	4.9
GL000228.1	1	129120	40353	110104	85.2726	43.2897	30.5	11.3
GL000214.1	1	137718	417778	137583	99.902	435.194	30.3	29.2
GL000221.1	1	155397	108112	154343	99.3217	100.372	30.6	9.01
GL000209.1	1	159169	52225	158009	99.2712	47.2649	30.5	30.7
GL000218.1	1	161147	98532	161119	99.9826	88.3371	30.6	32.5
GL000220.1	1	161802	1664617	161009	99.5099	1437.16	29.9	52.9
GL000213.1	1	164239	25228	160138	97.503	21.9767	30.5	12.6
GL000211.1	1	166566	42683	165187	99.1721	36.7252	30.5	42.8
GL000199.1	1	169874	99182	167149	98.3959	82.526	30.6	7.81
GL000217.1	1	172149	71348	169192	98.2823	59.7345	30.6	16.1
GL000216.1	1	172294	71339	171951	99.8009	56.0406	30.3	31.2
GL000215.1	1	172545	29467	168772	97.8133	24.6666	30.6	6.8
GL000205.1	1	174588	194522	174452	99.9221	158.91	30.5	44.5
GL000219.1	1	179198	111078	178905	99.8365	87.0618	30.5	50.1
GL000224.1	1	179693	410412	179648	99.975	326.565	30.2	20.7
GL000223.1	1	180455	33396	178711	99.0336	26.3101	30.4	0.875
GL000195.1	1	182896	236352	182785	99.9393	186.512	30.6	46.6
GL000212.1	1	186858	70459	183656	98.2864	53.9427	30.5	37
GL000222.1	1	186861	53546	185074	99.0437	41.385	30.5	18.4
GL000200.1	1	187035	28876	184515	98.6527	22.1887	30.5	0.00568
GL000193.1	1	189789	103535	182606	96.2153	78.7555	30.5	44
GL000194.1	1	191469	103786	191348	99.9368	78.2629	30.5	27.7
