#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	78070792	223620194	89.717	45.2281	30.8	57.1
2	1	243199373	83891766	236525862	97.256	49.6437	30.8	57.3
3	1	198022430	66784982	193607813	97.7706	48.745	30.8	58.7
4	1	191154276	65152141	186389004	97.5071	49.2392	30.9	58.2
5	1	180915260	59122849	176007906	97.2875	47.2028	30.8	57.9
6	1	171115067	84675761	167030738	97.6131	71.4959	30.8	58.7
7	1	159138663	53102123	154217490	96.9076	48.142	30.8	57.6
8	1	146364022	50794095	141824578	96.8985	50.1098	30.8	57.7
9	1	141213431	40169584	118918340	84.2118	41.0164	30.8	55
10	1	135534747	46309034	130620825	96.3744	49.3208	30.8	58
11	1	135006516	43817463	129884504	96.2061	46.8585	30.8	58.3
12	1	133851895	44087006	129390206	96.6667	47.5405	30.8	58.6
13	1	115169878	33107705	94979745	82.4693	41.5124	30.8	58.7
14	1	107349540	30918451	87645616	81.6451	41.5657	30.8	58.2
15	1	102531392	28278601	81059917	79.0586	39.8254	30.8	56
16	1	90354753	28675458	77965360	86.2881	45.4629	30.7	53
17	1	81195210	22609299	76602472	94.3436	40.1356	30.7	57.7
18	1	78077248	25850916	74178251	95.0062	47.8253	30.8	58.6
19	1	59128983	15249387	54566093	92.2832	36.9703	30.6	57.4
20	1	63025520	20085934	58850229	93.3752	45.9966	30.8	58.8
21	1	48129895	11892782	34695204	72.0866	35.5469	30.8	56.5
22	1	51304566	9241462	33991166	66.2537	25.8142	30.6	56.2
X	1	155270560	58796987	150139847	96.6956	54.6258	30.8	56.5
Y	1	59373566	11181872	22794816	38.3922	26.6157	30.7	30.1
MT	1	16569	1164429	16569	100	9800.77	30.4	54
GL000207.1	1	4262	10002	4251	99.7419	309.478	30.6	55.9
GL000226.1	1	15008	147869	15008	100	1399.17	30.9	3.14
GL000229.1	1	19913	11495	19911	99.99	81.6267	30.3	50.6
GL000231.1	1	27386	21270	27340	99.832	112.251	30.7	47.6
GL000210.1	1	27682	3523	26866	97.0522	17.6569	30.5	15
GL000239.1	1	33824	32279	33824	100	135.407	30.7	5.43
GL000235.1	1	34474	32839	34474	100	138.203	30.9	43.9
GL000201.1	1	36148	1540	27581	76.3002	6.10103	30.4	1.93
GL000247.1	1	36422	18999	36396	99.9286	75.4456	30.8	11.9
GL000245.1	1	36651	28585	36649	99.9945	113.143	30.9	3.16
GL000197.1	1	37175	9241	36455	98.0632	31.199	30	8.48
GL000203.1	1	37498	6132	36113	96.3065	23.5314	30.9	25.5
GL000246.1	1	38154	5011	37035	97.0671	18.8001	30.8	8.51
GL000249.1	1	38502	6589	38462	99.8961	24.7977	30.7	1.33
GL000196.1	1	38914	5404	38066	97.8208	20.0969	30.8	9.06
GL000248.1	1	39786	8015	39207	98.5447	28.9456	30.7	9.18
GL000244.1	1	39929	7149	38359	96.068	25.8119	30.9	2.51
GL000238.1	1	39939	10582	39762	99.5568	38.4297	30.8	14.6
GL000202.1	1	40103	2252	35351	88.1505	8.0487	30.4	18.4
GL000234.1	1	40531	36640	40531	100	131.018	30.8	49.6
GL000232.1	1	40652	35261	40644	99.9803	126.2	30.8	44.7
GL000206.1	1	41001	4276	36452	88.9051	15.0722	30.6	5.7
GL000240.1	1	41933	22541	41926	99.9833	77.5808	30.8	27.4
GL000236.1	1	41934	10252	41850	99.7997	35.2263	30.8	5.33
GL000241.1	1	42152	32875	42152	100	112.483	30.8	45.9
GL000243.1	1	43341	22990	43078	99.3932	74.8099	30.6	11
GL000242.1	1	43523	6195	42816	98.3756	20.6184	30.7	12.4
GL000230.1	1	43691	7435	40849	93.4952	24.1521	30.9	28.4
GL000237.1	1	45867	48226	45867	100	149.358	30.5	25.1
GL000233.1	1	45941	5999	41362	90.0329	18.3791	30.8	15.8
GL000204.1	1	81310	15997	77780	95.6586	28.023	30.4	44
GL000198.1	1	90085	29018	89715	99.5893	46.3553	30.9	39.8
GL000208.1	1	92689	49183	92310	99.5911	74.9861	30.9	36
GL000191.1	1	106433	16666	105423	99.051	22.6337	30.6	16
GL000227.1	1	128374	29877	123704	96.3622	33.4151	30.8	6.41
GL000228.1	1	129120	35956	109111	84.5036	38.687	30.7	9.84
GL000214.1	1	137718	321030	137563	99.8875	335.287	30.6	30.5
GL000221.1	1	155397	110752	154302	99.2954	103.17	30.9	9.72
GL000209.1	1	159169	59696	157535	98.9734	54.2674	30.8	30.6
GL000218.1	1	161147	109493	160754	99.7561	98.4239	30.8	33.4
GL000220.1	1	161802	1865017	160636	99.2794	1615.32	30.1	53.1
GL000213.1	1	164239	25074	159398	97.0525	21.9249	30.8	11.1
GL000211.1	1	166566	49366	165753	99.5119	42.6973	30.9	44.1
GL000199.1	1	169874	76426	165506	97.4287	63.7416	30.9	7.21
GL000217.1	1	172149	69372	169225	98.3015	58.2524	30.9	16.8
GL000216.1	1	172294	68695	171739	99.6779	54.1023	30.6	31.6
GL000215.1	1	172545	31795	169719	98.3622	26.6475	30.9	6.56
GL000205.1	1	174588	183227	174526	99.9645	150.372	30.8	43
GL000219.1	1	179198	104041	179128	99.9609	81.3195	30.8	50.6
GL000224.1	1	179693	433709	179643	99.9722	346.307	30.5	24.7
GL000223.1	1	180455	26657	177044	98.1098	20.9188	30.7	1.01
GL000195.1	1	182896	236562	182636	99.8578	187.16	30.8	45.5
GL000212.1	1	186858	92495	184164	98.5583	71.3947	30.8	39.1
GL000222.1	1	186861	49722	181764	97.2723	38.5381	30.8	19.2
GL000200.1	1	187035	24316	181835	97.2198	18.6957	30.8	0.00897
GL000193.1	1	189789	115243	183378	96.622	87.9511	30.8	45.7
GL000194.1	1	191469	118871	190929	99.718	90.0128	30.8	28.9
GL000225.1	1	211173	104295	208411	98.6921	66.2471	30.7	27.9
GL000192.1	1	547496	238456	546339	99.7887	62.8593	30.8	24.2
NC_007605	1	171823	137	188	0.109415	0.0364561	18.9	10.5
hs37d5	1	35477943	16253752	32260858	90.9322	61.6403	30.6	32.7
