#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	108767964	152878182	61.3351	62.3158	29.7	56.9
2	1	243199373	1542054	7452102	3.06419	0.65549	27.2	5.03
3	1	198022430	71223937	117205940	59.1882	51.5826	29.7	58.7
4	1	191154276	168426484	177170279	92.6844	126.677	29.7	58.7
5	1	180915260	631788	5760875	3.18429	0.376712	29.2	3.04
6	1	171115067	529028	5277735	3.08432	0.352745	29.3	8.55
7	1	159138663	14697119	33341745	20.9514	13.1009	29.7	56.8
8	1	146364022	427539	4466123	3.05138	0.321077	29.2	3.4
9	1	141213431	68001426	98214478	69.5504	68.43	29.7	51.9
10	1	135534747	402001	4223874	3.11645	0.325725	29.3	8.48
11	1	135006516	78427869	121704228	90.1469	83.0845	29.7	58.5
12	1	133851895	408307	3995789	2.98523	0.315963	29	4.58
13	1	115169878	48730738	62799737	54.5279	60.4568	29.7	58.9
14	1	107349540	56053771	85650907	79.7869	74.5457	29.7	57.9
15	1	102531392	17433069	30185254	29.44	24.29	29.7	57.9
16	1	90354753	49037761	70510255	78.0371	76.1328	29.6	49.4
17	1	81195210	221927	1859449	2.2901	0.271158	29	8.99
18	1	78077248	47991766	73773223	94.4875	88.2564	29.7	58.8
19	1	59128983	997555	3140123	5.31063	2.25188	29.6	48
20	1	63025520	30848889	47636454	75.5828	70.1811	29.7	58.9
21	1	48129895	1406244	2581560	5.36373	3.9761	29.6	28.3
22	1	51304566	8217105	15219583	29.6652	22.1266	29.5	53.8
X	1	155270560	104784770	148803735	95.8351	96.7753	29.7	57
Y	1	59373566	21723094	21721420	36.5843	50.7308	29.6	26.2
MT	1	16569	44240026	16569	100	354470	29.5	49.8
GL000207.1	1	4262	33796	4239	99.4603	1009.03	29.4	52.9
GL000226.1	1	15008	775934	15008	100	7270.23	29.7	3.72
GL000229.1	1	19913	11307	19900	99.9347	78.7456	29.2	48.3
GL000231.1	1	27386	20224	27253	99.5144	105.978	29.6	45.3
GL000210.1	1	27682	16	312	1.12709	0.0191821	27.8	2.62
GL000239.1	1	33824	56659	33823	99.997	232.24	29.6	7.05
GL000235.1	1	34474	47455	34424	99.855	199.252	29.8	43.7
GL000201.1	1	36148	2294	29941	82.8289	9.04916	29.3	0.743
GL000247.1	1	36422	20816	36338	99.7694	82.02	29.7	11.9
GL000245.1	1	36651	42759	36496	99.5771	168.806	29.8	2.56
GL000197.1	1	37175	15	148	0.398117	0.00906523	26.1	0
GL000203.1	1	37498	238	3042	8.11243	0.847059	29.2	45.9
GL000246.1	1	38154	13720	36370	95.3242	51.916	29.6	19.1
GL000249.1	1	38502	26	521	1.35318	0.0248299	28.1	0.346
GL000196.1	1	38914	122	2900	7.45233	0.339415	29.3	0
GL000248.1	1	39786	20900	39583	99.4898	74.8962	29.5	10.9
GL000244.1	1	39929	24595	39713	99.459	88.6049	29.7	1.42
GL000238.1	1	39939	8876	30627	76.6844	31.965	29.8	10.1
GL000202.1	1	40103	6201	38982	97.2047	22.0525	29.4	29.4
GL000234.1	1	40531	33464	40520	99.9729	119.277	29.6	49.3
GL000232.1	1	40652	26700	40650	99.9951	95.0541	29.7	44
GL000206.1	1	41001	4	111	0.270725	0.00841443	30.1	2
GL000240.1	1	41933	42989	41901	99.9237	147.669	29.7	28
GL000236.1	1	41934	23860	41837	99.7687	82.1415	29.7	4.79
GL000241.1	1	42152	43944	42152	100	149.915	29.7	46.4
GL000243.1	1	43341	38168	42728	98.5856	122.289	29.5	5.41
GL000242.1	1	43523	10	399	0.916757	0.0115801	26.7	0
GL000230.1	1	43691	17863	42813	97.9904	57.2634	29.7	28.6
GL000237.1	1	45867	69249	45867	100	211.077	29.4	22.8
GL000233.1	1	45941	11587	44286	96.3976	35.5194	29.7	16.2
GL000204.1	1	81310	39	732	0.900258	0.0322839	27.7	2.36
GL000198.1	1	90085	73708	90058	99.97	116.458	29.7	25.1
GL000208.1	1	92689	1086	24067	25.9653	1.29659	29.3	5.35
GL000191.1	1	106433	27612	95647	89.8659	37.3983	29.6	15.4
GL000227.1	1	128374	6305	58052	45.221	6.77901	29.7	1.19
GL000228.1	1	129120	58415	99610	77.1453	62.524	29.6	9
GL000214.1	1	137718	646590	137438	99.7967	669.081	29.5	21.9
GL000221.1	1	155397	155367	154679	99.538	144.145	29.7	9.56
GL000209.1	1	159169	11	454	0.285231	0.00417795	28.4	0
GL000218.1	1	161147	104729	160019	99.3	93.5079	29.7	32.6
GL000220.1	1	161802	2750194	160562	99.2336	2325.26	29	52.4
GL000213.1	1	164239	2539	52849	32.1781	2.00516	29.6	2.85
GL000211.1	1	166566	106899	165979	99.6476	92.539	29.7	42.9
GL000199.1	1	169874	302652	169107	99.5485	250.347	29.7	8.64
GL000217.1	1	172149	64349	161241	93.6636	53.4829	29.8	5.12
GL000216.1	1	172294	138608	172085	99.8787	108.842	29.5	32.7
GL000215.1	1	172545	2139	42165	24.4371	1.57735	29.7	2.49
GL000205.1	1	174588	239844	171954	98.4913	194.849	29.7	44.2
GL000219.1	1	179198	305519	159200	88.8403	225.759	29.6	46.7
GL000224.1	1	179693	718492	179693	100	569.442	29.4	25.8
GL000223.1	1	180455	124	3946	2.18669	0.061284	28.6	2.8
GL000195.1	1	182896	249101	181659	99.3237	196.369	29.7	44.2
GL000212.1	1	186858	102079	183235	98.0611	78.8467	29.7	39.6
GL000222.1	1	186861	88954	185245	99.1352	68.7387	29.7	19.9
GL000200.1	1	187035	50740	178647	95.5153	38.8365	29.7	0.0155
GL000193.1	1	189789	97116	173824	91.588	73.6329	29.7	42.7
GL000194.1	1	191469	170844	190732	99.6151	128.913	29.7	29
GL000225.1	1	211173	217564	206560	97.8155	137.725	29.5	31.9
GL000192.1	1	547496	47058	335160	61.2169	11.8518	29.6	2.92
NC_007605	1	171823	158	283	0.164704	0.0349604	19.8	16.9
hs37d5	1	35477943	31759735	21881217	61.6756	113.6	29.3	30.3
