#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	43828451	204165769	81.9118	22.6197	24.3	53.4
2	1	243199373	62152230	220417027	90.6322	29.6926	24.1	47.5
3	1	198022430	38505536	182401288	92.1114	26.0629	24.5	57.3
4	1	191154276	41947856	176339713	92.2499	28.8353	24.4	55.7
5	1	180915260	39030641	166063816	91.7909	28.1236	24.4	55.7
6	1	171115067	34270676	156669549	91.558	26.6883	24.5	56.6
7	1	159138663	33968125	141488066	88.9087	26.8544	24.3	53.1
8	1	146364022	34348160	132402076	90.4608	29.6259	24.3	54.5
9	1	141213431	23365336	108503232	76.8363	21.0244	24.3	50.5
10	1	135534747	27336510	120025170	88.5568	25.1684	24.2	53.6
11	1	135006516	27643031	118765847	87.9705	26.216	24.3	53.1
12	1	133851895	25913993	119087948	88.9699	24.6988	24.3	54.8
13	1	115169878	21475598	89898973	78.0577	24.0405	24.4	56.7
14	1	107349540	17762720	80577461	75.0608	21.1674	24.3	55.5
15	1	102531392	14898950	74527923	72.6879	19.0228	24.4	55
16	1	90354753	20878472	68830282	76.1778	28.8679	24.2	40.3
17	1	81195210	11078323	66945898	82.4506	17.735	24.2	52.6
18	1	78077248	14504497	69428516	88.9229	24.5029	24.4	55.6
19	1	59128983	10845399	44606678	75.4396	21.1892	23.9	51.1
20	1	63025520	11538450	52593609	83.4481	23.2351	24.1	51.8
21	1	48129895	8808863	31871749	66.2203	21.5281	24.2	49.3
22	1	51304566	7449201	28623841	55.792	16.273	23.8	46.6
X	1	155270560	18120875	116455606	75.0017	15.3396	24.4	51.9
Y	1	59373566	8419547	18416542	31.0181	17.7901	24.3	14.1
MT	1	16569	4378757	16569	100	35531.9	24.1	53.7
GL000207.1	1	4262	659	3886	91.1779	19.4191	24	57.2
GL000226.1	1	15008	722834	15008	100	6584.66	24.4	3.2
GL000229.1	1	19913	32740	17700	88.8867	148.888	23.7	19.1
GL000231.1	1	27386	1304	23657	86.3836	6.30041	24.4	44.4
GL000210.1	1	27682	1923	9818	35.4671	7.11195	23.6	23.4
GL000239.1	1	33824	138951	33824	100	522.008	24.1	10.3
GL000235.1	1	34474	7631	32790	95.1152	30.1406	24.6	38.3
GL000201.1	1	36148	1008	24506	67.7935	3.7147	23.8	1.39
GL000247.1	1	36422	4543	35103	96.3786	16.2811	24.3	9.47
GL000245.1	1	36651	23035	36562	99.7572	86.5322	24.5	3.23
GL000197.1	1	37175	28943	18269	49.1432	72.5434	23.2	8.75
GL000203.1	1	37498	2307	31004	82.6817	8.22844	24.7	19.3
GL000246.1	1	38154	3937	29963	78.5317	13.4867	24.5	1.11
GL000249.1	1	38502	713	26576	69.025	2.45172	24.3	1.89
GL000196.1	1	38914	10052	35829	92.0723	35.5756	24.5	7.17
GL000248.1	1	39786	1172	28747	72.2541	3.99558	24.1	8.6
GL000244.1	1	39929	1168	30900	77.3874	3.94222	24.4	3.29
GL000238.1	1	39939	1414	33549	84.0006	4.87155	24.6	13
GL000202.1	1	40103	570	13853	34.5436	1.36015	23.4	7.61
GL000234.1	1	40531	17748	39636	97.7918	60.6969	24.5	48.7
GL000232.1	1	40652	6662	39170	96.3544	22.472	24.5	39.4
GL000206.1	1	41001	2677	26420	64.4375	8.8811	24.5	0.954
GL000240.1	1	41933	15278	39237	93.5707	49.4647	24.4	28
GL000236.1	1	41934	1480	32348	77.1403	4.39727	24.3	4.51
GL000241.1	1	42152	18846	42148	99.9905	61.1505	24.6	46.4
GL000243.1	1	43341	6273	38601	89.0635	17.9423	24.1	4.25
GL000242.1	1	43523	2753	36093	82.9286	8.68401	24.2	7.84
GL000230.1	1	43691	1644	36205	82.866	4.7223	24.3	19.2
GL000237.1	1	45867	88271	45867	100	230.613	23.9	11.6
GL000233.1	1	45941	4866	37757	82.1858	14.0039	24.4	23
GL000204.1	1	81310	5228	54073	66.5023	8.24494	24	32.5
GL000198.1	1	90085	19347	89628	99.4927	28.9929	24.5	21.3
GL000208.1	1	92689	79119	91722	98.9567	116.09	24.5	28
GL000191.1	1	106433	2777	80905	76.015	3.62553	24.4	16.6
GL000227.1	1	128374	38339	120196	93.6296	39.6797	24.4	1.02
GL000228.1	1	129120	24304	67865	52.5596	25.3091	24.1	9.33
GL000214.1	1	137718	230056	136797	99.3312	221.555	23.7	21.2
GL000221.1	1	155397	73529	154316	99.3044	64.6249	24.5	11
GL000209.1	1	159169	49127	137585	86.4396	38.7576	23.5	33.5
GL000218.1	1	161147	91492	154795	96.0583	79.0606	24.5	33.2
GL000220.1	1	161802	13795472	155864	96.3301	9334.26	23.5	43.2
GL000213.1	1	164239	14702	138171	84.128	11.9815	24.5	8.88
GL000211.1	1	166566	21970	148820	89.346	17.648	24.5	44.1
GL000199.1	1	169874	559223	168701	99.3095	448.621	24.4	5.59
GL000217.1	1	172149	57230	161452	93.7862	41.7095	24.2	13.7
GL000216.1	1	172294	44740	163603	94.9557	28.1876	24.3	19.1
GL000215.1	1	172545	19549	142438	82.5512	15.2068	24.5	3.85
GL000205.1	1	174588	85377	171355	98.1482	66.4006	24.5	35.6
GL000219.1	1	179198	176548	171544	95.7287	101.976	23.9	38.5
GL000224.1	1	179693	207773	178254	99.1992	157.409	24.1	31.9
GL000223.1	1	180455	86709	133150	73.7857	54.803	23.8	0.207
GL000195.1	1	182896	114038	181834	99.4193	84.932	24.5	42.6
GL000212.1	1	186858	29305	168334	90.0866	20.8024	24.4	33.5
GL000222.1	1	186861	8268	141383	75.6621	5.91915	24.4	10.4
GL000200.1	1	187035	9686	141958	75.8992	6.97836	24.5	0.00816
GL000193.1	1	189789	75871	175609	92.5285	53.7497	24.2	44.8
GL000194.1	1	191469	70841	181816	94.9585	50.5881	24.5	27.1
GL000225.1	1	211173	54935	166825	78.9992	31.4773	24.1	21.2
GL000192.1	1	547496	103581	528212	96.4778	25.7196	24.5	22.5
NC_007605	1	171823	773	302	0.175762	0.250531	15.7	9.8
hs37d5	1	35477943	77604701	29999743	84.5589	245.192	23.8	27.2
