chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	95.1349359890244	72.5410211794202	30.2802966217831	70.9373925561314	101.217689177914	0	175	174	1	0.209639135698654	0.762506648323064
2	101.662142501183	732.505739048347	27.8821241225524	67.9642711011352	95.8463952236876	0	199	199	0	0.290443254377578	7.20529511799169
3	88.2363598530611	59.9946927450786	28.2819198748289	69.9319165429551	98.2138364177839	0	102	102	0	0.161666872099141	0.679931638668991
4	89.3597466875648	79.6865796789105	27.8218799743877	69.1902770101531	97.0121569845408	0	130	129	1	0.183894776420448	0.891750286149811
5	92.1516566096971	238.345367929995	29.745722736132	68.6381472235975	98.3838699597295	0	101	100	1	0.214089926488344	2.58644691477976
6	89.4076067222354	73.7451960453756	28.8091525047143	69.0447939843881	97.8539464891024	0	95	95	0	0.177052774991027	0.824820155118136
7	94.9245386086932	82.9582000274371	31.0749637708656	69.4333053216154	100.508269092481	0	138	138	0	0.220783153618446	0.873938406689709
8	91.6250312088584	82.0881989877714	30.4252294919568	67.186198244164	97.6114277361208	0	107	107	0	0.216912716714947	0.895914554186095
9	100.577360479596	183.966688676508	30.7328688592691	66.9827377603193	97.7156066195884	0	94	94	0	0.289788023488229	1.82910634957287
10	94.0388975979733	106.315721909504	27.9049463702189	69.1552882660483	97.0602346362673	0	107	107	0	0.222049386220611	1.13055049160631
11	85.9285380166747	71.5472832506879	29.0748512661022	64.0077714921246	93.0826227582268	0	96	96	0	0.216097236482205	0.832637036566407
12	89.9858445354546	67.2303278031	30.2091493739942	68.020775240812	98.2299246148062	0	85	85	0	0.19260272013873	0.747121151667484
13	85.6011108530247	80.76751578636	25.9518062555864	65.8067654753564	91.7585717309428	0	62	62	0	0.19132947443701	0.943533500692953
14	95.9118069813944	127.797510309005	28.08819112233	70.0607915929875	98.1489827153175	0	69	69	0	0.230365605702909	1.33244815556228
15	92.4050355112439	68.5316246695882	28.7749488424823	69.2371759376889	98.0121247801712	0	65	65	0	0.208272857782948	0.741643832399688
16	116.921482453626	565.004161491786	31.4928035989573	68.7463130322117	100.239116631169	0	93	93	0	0.367905561720523	4.83233833197318
17	90.6816517577197	63.073352856237	29.4113336340976	66.2943136258716	95.7056472599692	0	72	72	0	0.218266277890158	0.695547022287974
18	86.829580059359	34.6090935118035	27.9853200483135	67.8852878238187	95.8706078721322	0	49	49	0	0.16718052051966	0.398586443561558
19	105.956496499552	116.806788201058	32.2104511030751	70.7855964018819	102.996047504957	0	69	69	0	0.287706313702564	1.10240326983209
20	91.2684191238599	43.2843094149396	29.5860598707201	70.3533056163022	99.9393654870223	0	52	52	0	0.183189268258775	0.47425286676872
21	104.850571971703	106.327860432141	30.9254726748344	67.6115993405764	98.5370720154107	0	49	49	0	0.30486135661187	1.01408946496579
22	119.795382479289	280.036602958855	36.3200097446037	67.6014517026465	103.92146144725	0	45	45	0	0.378758259275869	2.33762434881219
X	54.0430030044607	43.1212860008135	21.7329178696282	37.431595844247	59.1645137138752	0	145	144	1	0.244634807829322	0.797906918630231
Y	179.49662902892	1174.35087886606	46.6137932053933	38.6670671363739	85.2808603417672	0.00446428571428571	24	24	0	0.730761478435679	6.5424675951817
Total	92.2375522515649	265.699467653246	30.0748368414839	66.7801603461335	96.8549971876174	2e-05	2131	2117	14	0.239318433536926	2.88059972502943
