chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	105.219720399883	231.805283619784	34.7598370717659	69.0657581702681	103.825595242034	0	203	203	0	0.292763038405934	2.2030593004697
2	113.138645292319	497.409450640724	33.3702619688922	69.2142234044443	102.584485373336	0	221	221	0	0.342205298960475	4.39645931198448
3	92.4485282671451	124.175961189354	32.5634436705912	68.7825126311456	101.345956301737	0	111	111	0	0.200974001955116	1.34319024344582
4	102.430363972471	302.72366371536	32.6099859309264	69.0027289160046	101.612714846931	0	136	136	0	0.279265650400434	2.9554094311011
5	102.862784717901	471.54970810623	32.4820974977632	69.4024247490068	101.88452224677	0	131	131	0	0.281384653949011	4.58425959786568
6	99.0752253804807	293.310079837621	33.2410654293355	68.5329804668503	101.774045896186	0	121	120	1	0.257078279615435	2.9604785526474
7	103.950703890507	141.403035366867	34.7919751174412	68.3521376308273	103.144112748268	0	161	161	0	0.290255024300123	1.36028934941902
8	100.779208109253	176.660691753607	32.4736602031417	67.9020344674523	100.375694670594	0	124	122	2	0.275099374087335	1.75294780608012
9	121.431033968192	324.874926007372	33.9482791843304	69.0974056799581	103.045684864288	0	119	119	0	0.384544070559544	2.67538631098596
10	103.514351327405	176.594516511954	34.7810718533501	68.9481407930934	103.729212646444	0	127	127	0	0.284067503969759	1.70599065972412
11	114.363248741946	480.807244076884	36.3197952884147	71.6927906876728	108.012585976087	0	97	97	0	0.329175923687968	4.20421113745901
12	106.604480140479	357.235606952366	32.8382235482099	69.1918569962661	102.030080544476	0	104	104	0	0.305642038373955	3.3510374656076
13	100.028177596738	193.151749151022	31.856251391484	67.7356399083871	99.5918912998711	0	74	74	0	0.274517190497159	1.93097338961537
14	112.754295792655	377.488773875678	32.4648677183078	67.3761454477723	99.8410131660802	0	66	66	0	0.358203465493068	3.34788817775817
15	95.7172671503129	91.4672908792519	32.6308808112262	66.309834647212	98.9407154584382	0	89	89	0	0.255736769797588	0.955598645912164
16	135.727661322983	603.449432555128	38.4504923391993	66.8987227255287	105.349215064728	0	111	111	0	0.450898509430384	4.44603131501054
17	114.608254622601	412.60230919278	33.2957871304882	65.702512681719	98.9982998122072	0	83	83	0	0.378655044082891	3.60010987473336
18	90.3414177541439	94.0171506948257	30.5009525100879	66.5850118417886	97.0859643518765	0	62	62	0	0.212912388989391	1.04068712924879
19	123.830963467091	244.26027349513	37.1705548650542	66.4799240513258	103.65047891638	0	72	72	0	0.412882300851628	1.97252986374482
20	109.121540717797	200.960973689255	38.3668970426597	66.9722309703245	105.339128012984	0	65	65	0	0.330068593839214	1.84162514905252
21	145.173733188315	318.659682581	35.4584914762417	68.1965629961756	103.655054472417	0	57	57	0	0.477729100889205	2.19502299474275
22	213.156854926937	973.796228403618	48.3818575515693	66.8747194732127	115.256577024782	0	47	47	0	0.635898559800603	4.56844903598057
X	57.9503394098242	125.194661248431	24.7385465069719	35.6669820238624	60.4055285308343	0	161	161	0	0.312586876747938	2.16037839507816
Y	202.202582486901	1546.06387844686	52.6630862342878	38.7825817758329	91.4456680101207	0.00446428571428571	21	21	0	0.756164401485604	7.64611341473358
Total	105.662852997528	350.462109629208	34.5230651096625	66.683836182115	101.206901291777	2e-05	2457	2453	4	0.327300685607647	3.31679582452129
