chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	48.1991520843442	63.5669438002724	19.301278565647	31.7527269764298	51.0540055420769	0	159	158	1	0.301869287813935	1.31883946192738
2	54.6672563526937	306.646261635162	17.9125055885817	33.4751820330011	51.3876876215828	0	173	169	4	0.356685806848689	5.60932232736887
3	44.5677179361704	45.2757000424664	18.1414362704072	32.7105134529658	50.851949723373	0	71	69	2	0.227620044703756	1.01588553641696
4	46.4597539733393	53.8931779974279	16.4828275033544	33.3009970751858	49.7838245785402	0	110	107	3	0.245596969712236	1.15999705957019
5	47.7695396564956	120.655290388323	17.9588482852179	33.1560986077886	51.1149468930065	0	93	92	1	0.263432436163401	2.52577879661263
6	49.4212405190604	243.821212425736	16.1473162956391	32.7120391307499	48.859355426389	0	116	114	2	0.301081929284754	4.93353080305018
7	51.700170639383	68.7621474929407	18.4950167455962	33.9450149736191	52.4400317192153	0	142	140	2	0.301987930682602	1.33001780540663
8	49.5315871689715	88.794444681168	17.963190874026	32.9274814567346	50.8906723307606	0	97	95	2	0.290341539433461	1.79268320997378
9	60.6289480510566	158.100949636096	18.9093707072414	34.2478861916376	53.157256898879	0	110	107	3	0.402839647428237	2.60768089696948
10	50.9056910204247	113.54573165531	17.7360786785656	33.3005020169431	51.0365806955087	0	105	105	0	0.308442140581646	2.23051154751543
11	52.0361157222233	87.577749175685	17.0232954914006	36.0716160662842	53.0949115576848	0	122	115	7	0.280703429994336	1.68301857200849
12	48.157356129256	60.5121905083751	18.0528765827174	32.4783449500467	50.5312215327641	0	90	90	0	0.280540118595173	1.25655134276804
13	47.8931450707506	101.263618203787	15.4688254967015	32.4081693172377	47.8769948139392	0	58	53	5	0.298320096747806	2.11436559562322
14	54.9718474097939	161.752017192126	17.4490579202354	33.9343121025522	51.3833700227876	0	61	58	3	0.351333230451146	2.94245190608798
15	48.8291801320514	49.3936580095351	20.0321615589466	32.9099746363747	52.9421361953213	0	52	52	0	0.27533287355721	1.01156025712406
16	66.9112080865221	334.87518608135	20.5637611694669	33.9880210301843	54.5517821996512	0	98	98	0	0.462100621132754	5.00476968893353
17	51.0438385766992	102.753961543791	18.9800357739818	31.0458509274894	50.0258867014712	0	73	73	0	0.35079860711248	2.01305317956038
18	45.5745619532704	58.6461671030594	15.7756011147606	31.9772190987856	47.7528202135462	0	59	58	1	0.257250963685161	1.28681800964301
19	76.5113559552962	336.167090338107	24.4902318323944	31.7103831987337	56.2006150311281	0	59	59	0	0.538993008599631	4.39368883404081
20	51.1768692957299	77.3031924399467	18.521771657134	32.8583972779152	51.3801689350492	0	64	64	0	0.307532477473122	1.51051038298657
21	70.3805808480765	203.25134956299	17.9614160331789	30.9575345328359	48.9189505660148	0	51	51	0	0.51905704538175	2.88788962969386
22	138.258694402063	1307.68862126588	21.493841509482	34.6828625776643	56.1767040871463	0	56	56	0	0.722206973051024	9.45827404866889
X	28.0364706445384	44.9140017236886	12.4334791564802	18.2326408197608	30.666119976241	0	110	110	0	0.302015711485598	1.60198486796476
Y	125.095842731971	1030.80322552885	21.1108724612151	20.440119681969	41.5509921431841	0.00446428571428571	32	32	0	0.79773108198782	8.24010776870846
Total	51.3909959596735	218.682966042425	18.6991836875139	31.8261072295579	50.5252909170718	2e-05	2072	2039	33	0.341981401748548	4.25527783532402
