chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	57.868093397056	163.995297422923	32.3654701109657	27.3275405152186	59.6930106261843	0	318	318	0	0.427241052092794	2.83395024435463
2	62.8846623726185	320.795309774355	33.2581736753279	27.4247767840793	60.6829504594073	0	312	312	0	0.467060136853077	5.10132833143805
3	52.9786718754697	118.261275219706	31.6744899704537	27.4610976584307	59.1355876288844	0	264	264	0	0.375613769802184	2.23224310903241
4	50.2529616245025	57.8834128609603	29.7553625640566	27.0918669210236	56.8472294850802	0	277	277	0	0.351250192926498	1.15184082668547
5	52.0409412663464	81.4104578946127	30.384278625005	28.0283832885294	58.4126619135344	0	213	213	0	0.353222139074137	1.5643540626591
6	62.8426751130357	495.074847480734	29.1318326663543	27.0600509521843	56.1918836185387	0	242	242	0	0.485876477443425	7.87800402497568
7	58.8852014185526	148.267234972166	31.1155882688133	27.4077697227885	58.5233579916018	0	236	236	0	0.437523385597338	2.51790316412932
8	52.7117450982222	67.9640497375837	29.8983113746213	27.2816743695036	57.1799857441249	0	215	215	0	0.377334920801041	1.28935305805074
9	65.6188481771657	245.691006143195	33.0638667866526	26.9658562898615	60.0297230765141	0	157	157	0	0.492695291950915	3.74421394108974
10	73.6387637274772	557.171394935036	33.5139157690441	27.2522004014026	60.7661161704468	0	185	185	0	0.543887988490219	7.56627850240696
11	55.9762912364314	144.841293834044	29.0317413935494	28.3063568121906	57.3380982057399	0	197	197	0	0.399266532793138	2.58754716746536
12	57.5236095911572	162.946592707771	32.5707275697229	26.4561414318853	59.0268690016082	0	205	205	0	0.438083167663668	2.83269067893854
13	55.7556403768612	130.907718523049	31.6083135171461	27.000254941961	58.6085684591071	0	132	132	0	0.413770650923504	2.34788297001385
14	62.3306144093806	305.93940841643	31.0988942025996	27.4473105228584	58.546204725458	0	139	139	0	0.468012791519683	4.90833294867035
15	53.8090701425277	95.0789076118014	30.3062785864686	26.460552215442	56.7668308019106	0	110	110	0	0.399514556490274	1.76696804757933
16	76.772625624344	464.338206306114	33.029680037281	26.9472723929639	59.9769524302449	0	110	110	0	0.566815667314791	6.04822620732247
17	56.6232026377001	126.751322259421	29.5285707232362	26.0813353060078	55.609906029244	0	123	123	0	0.437033922396147	2.23850500068728
18	58.1697217705219	100.023835274883	36.6054035354561	27.9341769810378	64.5395805164939	0	81	81	0	0.394517303618473	1.71951716856193
19	67.2409699154337	184.374053685571	33.2158014802845	26.761464588263	59.9772660685475	0	78	78	0	0.508166942442413	2.74198980052565
20	54.7129794936114	60.1589958855704	34.8022175187934	27.4930416133585	62.2952591321519	0	85	85	0	0.381220282371576	1.09953792395084
21	61.393090569885	106.333649361605	30.7841712691821	26.6899186134014	57.4740898825834	0	61	61	0	0.466350293433511	1.73201329945368
22	80.3081692680402	176.347685392388	42.3129607842897	28.124141702677	70.4371024869667	0	53	53	0	0.538619570243824	2.19588725530279
X	59.5848338605663	68.1152115374126	39.192697955166	30.8353077541943	70.0280057093603	0	175	175	0	0.362264590397811	1.14316357240851
Y	6.36663400514357	41.2127526744917	1.23232441609456	0.322035840025105	1.55436025611966	0.0401785714285714	34	34	0	0.886252587214777	6.47324043461524
Total	58.7716670033907	243.156028675442	32.1547180309824	27.3048366679314	59.4595546989138	0.00018	3978	3978	0	0.437312074159799	4.13730018346109
