chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	67.6967740932078	43.8326290080226	15.4504835046958	54.9858949034248	70.4363784081205	0	168	159	9	0.162854526089182	0.647484752340961
2	68.1804935225095	192.443135271323	13.3799004587945	54.8568466318985	68.2367470906931	0	206	192	14	0.176661901310753	2.82255415484473
3	64.0398380440942	18.3444822241637	13.2758475247087	56.1574618709328	69.4333093956414	0	86	78	8	0.104158879768583	0.286454225751363
4	40.7484065836234	25.5744724415768	19.2165668451992	28.8254172472169	48.0419840924161	0	99	99	0	0.231194386895666	0.627618957052792
5	66.521979011614	37.9486292855277	13.7754436944534	57.0116935733875	70.7871372678409	0	101	90	11	0.12193478829262	0.570467533428347
6	62.6446369125174	40.8184370200463	14.7070934615812	53.3363190682726	68.0434125298538	0	109	76	33	0.138543192251689	0.651587095588867
7	67.7972269285968	37.579398469462	13.6351581748207	56.2409908897042	69.8761490645249	0	148	137	11	0.149152020767566	0.554291084929479
8	67.8698333726002	52.1007716101091	13.926406288868	56.6186487772817	70.5450550661497	0	104	101	3	0.147129631351759	0.767657278957499
9	73.1185064905759	83.5387310505801	14.7113672399106	56.0573197338854	70.768686973796	0	100	99	1	0.209434303332999	1.14251145243711
10	66.6497405828379	47.2847377824176	14.8623593886638	54.627409388825	69.4897687774888	0	89	87	2	0.153732840511183	0.709451190191028
11	65.7140343489079	40.9996763764581	17.1179618708098	53.9649585767846	71.0829204475944	0	97	85	12	0.162254044103184	0.623910505308056
12	65.9189020166414	20.2510585028282	14.2322183217861	56.7852559175294	71.0174742393155	0	79	73	6	0.116878773747419	0.307211708376389
13	63.8656532762177	26.3856717562325	12.3516509359755	55.3599212600769	67.7115721960524	0	73	59	14	0.120564446874898	0.413143378368259
14	65.8921543484531	50.7429218972049	14.8102311879097	54.1436956985734	68.9539268864831	0	50	50	0	0.154395308554131	0.770090497100223
15	67.7868317277494	45.4455702866289	15.3553209795531	54.4510601566223	69.8063811361754	0	61	61	0	0.164082215464293	0.670418857590967
16	88.2951014511155	446.144895822208	17.2389209958898	55.6377583032412	72.876679299131	0	97	95	2	0.34334447660991	5.05288389151708
17	65.7282047197936	30.8260189511009	15.5811085724749	53.1082886185444	68.6893971910193	0	75	75	0	0.157895563253448	0.468992255037476
18	63.2139431716386	19.3881904949056	12.7629400792831	54.8115744782567	67.5745145575399	0	48	47	1	0.11415574758526	0.306707500309903
19	71.6051486203767	46.4546329017652	17.7694434805718	55.3463991568614	73.1158426374332	0	64	62	2	0.195203208297111	0.648761070911954
20	63.3998179879814	19.8507680798951	15.5327905039874	53.0985977037176	68.6313882077051	0	52	52	0	0.13593834480304	0.313104496351365
21	74.1939846683585	61.6752453772349	13.3088665747757	56.3068011244548	69.6156676992305	0	53	53	0	0.216130728566432	0.831270158260384
22	80.2588871610237	129.909244864097	17.9621537526238	53.7473404705658	71.7094942231896	0	48	48	0	0.298502219633719	1.61862753720295
X	28.1228130049001	23.7030519481917	21.6013156719888	14.9340719037155	36.5353875757043	0	63	63	0	0.350917730237218	0.842840719527656
Y	105.537208919171	527.42185676819	14.408175459796	31.1588360134772	45.5670114732732	0.00446428571428571	43	42	1	0.667242347438401	4.99749673285499
Total	63.8305647439536	106.620492655121	16.2913815202933	52.3446066959154	68.6359882162087	2e-05	3786	1805	1981	0.198184907479835	1.67036737153764
