chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	65.963721121959	104.129954635353	23.1230819408815	43.7730611309508	66.8961430718323	0	166	166	0	0.28998328945278	1.57859430705599
2	67.2464073206426	202.616095819428	20.7930707548582	43.6940150800804	64.4870858349387	0	198	197	1	0.3142357435452	3.01303971308563
3	58.0940544170531	74.6559324887439	20.5941216074093	43.5981095308153	64.1922311382245	0	81	81	0	0.210354563337394	1.28508731638515
4	61.4365324148736	98.2294923191936	22.432834819059	43.3151020221879	65.7479368412469	0	90	90	0	0.250807680694619	1.59887754822915
5	62.3813638307428	139.201142771174	22.1786292608528	43.8107141803514	65.9893434412043	0	96	96	0	0.256623399292287	2.23145398277704
6	62.0494370413476	140.968285414222	21.4431578713673	42.3903844573247	63.8335423286919	0	107	107	0	0.272228007070968	2.27187049771759
7	70.8941327236221	166.239078464584	23.6000029963301	43.8620566762944	67.4620596726244	0	147	147	0	0.33586380363161	2.34489191246137
8	67.3514889594591	185.191030304134	22.1985529410437	41.5706475125263	63.76920045357	0	106	106	0	0.343669987714099	2.74962043401306
9	81.7561590524969	286.543706934167	23.1479873022137	42.1144710312975	65.2624583335112	0	99	99	0	0.44298186722744	3.50485774105622
10	67.5057228666491	229.550674605728	22.9039115862023	40.1220903726852	63.0260019588876	0	97	97	0	0.362224276728309	3.40046243278044
11	71.2552079396647	188.322818254108	23.9436718244821	47.5570903574492	71.5007621819313	0	83	83	0	0.29810476898193	2.64293409140803
12	59.4996758513526	67.0561249706563	22.2365951108114	41.2428350826848	63.4794301934962	0	90	90	0	0.256398745319892	1.12699983674166
13	64.6523922037132	146.86399308954	21.1537718273079	42.9912812334528	64.1450530607607	0	63	63	0	0.295233918654144	2.27159410632149
14	85.8325307326751	632.381799270836	22.180777047946	42.7701577983575	64.9509348463035	0	53	53	0	0.468932568439068	7.36762383530768
15	63.5782200171767	135.276591276547	21.4020460317854	42.1009970924771	63.5030431242625	0	60	60	0	0.291785704004342	2.12771907171984
16	115.698941758535	1105.71977203923	25.3553813557743	43.4870273792808	68.8424087350551	0	108	108	0	0.588422739147104	9.55687022917524
17	68.6896800648925	175.976175658124	21.076695516344	42.8248687893011	63.9015643056451	0	73	73	0	0.333684928345037	2.56190122725678
18	56.4956844997645	64.8804796622709	20.6455853337081	40.1361606454189	60.781745979127	0	45	45	0	0.24406171332268	1.14841479020475
19	84.3720993292123	145.771146372984	30.6684031558394	44.8142859844967	75.4826891403361	0	76	76	0	0.399898757865352	1.72771742711057
20	64.3385129677073	55.8570298836252	22.6728559806794	44.6004381337823	67.2732941144617	0	63	63	0	0.261691945747539	0.868174089004215
21	87.5454961775626	151.090983461504	23.6715330253312	46.8762909379333	70.5478239632646	0	62	62	0	0.413170623879414	1.72585672659912
22	129.516156917795	695.050370603423	25.2690847146658	44.2802444547397	69.5493291694055	0	54	54	0	0.624423463318646	5.36651478197102
X	35.396224026556	58.6700970166715	16.2101816952955	21.7346782405477	37.9448599358432	0	117	117	0	0.323395314831197	1.65752417468751
Y	125.325778287143	856.79951158219	22.1182832368611	22.6500835699274	44.7683668067885	0.00446428571428571	24	24	0	0.778078867233954	6.8365784221911
Total	67.3695398982762	274.615139993229	23.1963467960846	41.5935958173587	64.7899426134433	2e-05	2084	2064	20	0.343338903148292	4.07625078645158
