chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	6.4987550163426	15.6961656473575	1.66354801837253	4.24156506783735	5.90511308620987	0	205	205	0	0.31185585924	2.41525732357751
2	6.85463463166905	39.2371134880933	1.70645334153387	4.36563774326143	6.0720910847953	0	195	194	1	0.33088778032533	5.72417285478852
3	5.70705137654522	8.12365526138013	1.63095421341991	4.43806148546183	6.06901569888174	0	92	89	3	0.185318748185836	1.42344176097076
4	5.90609412476396	13.2291560420744	1.69073398858966	4.22501157617705	5.91574556476671	0	103	102	1	0.24575075298413	2.23991622256834
5	5.77092696327664	10.8270784206504	1.62562021088324	4.29414104422285	5.91976125510608	0	124	123	1	0.219571948378254	1.87614199409361
6	7.19001712521271	65.6823286508952	1.58836509581802	4.40099735612951	5.98936245194753	0	131	130	1	0.360258010200939	9.13521171188476
7	6.52784593595182	14.4403186566466	1.66776019775614	4.26893595503367	5.93669615278981	0	159	159	0	0.309775121646637	2.21211082466227
8	6.50100826043875	23.2577974469459	1.64156658928052	4.33573388680101	5.97730047608153	0.000779727095516569	117	115	2	0.29965808077201	3.57756774260371
9	7.60583013494096	21.400510882492	1.70772040677283	4.43512287038097	6.1428432771538	0	129	129	0	0.38454870737708	2.81369824237576
10	6.72946195477478	18.2266312629205	1.70077405723378	4.22476939808825	5.92554345532203	0	132	132	0	0.336394605295886	2.70848269674637
11	6.4516239908612	13.2385813553401	1.74206251065469	4.3657785468803	6.10784105753499	0	111	111	0	0.284734108892064	2.05197658358464
12	7.30405259684248	35.4928543891454	1.78565541645233	4.67857500942258	6.46423042587491	0	90	90	0	0.326640546022384	4.85933718556311
13	6.05003094840148	15.1395922360938	1.593959180004	4.10333160536683	5.69729078537083	0	62	62	0	0.288563424724476	2.50239913898192
14	8.01667067568445	67.7001936335762	1.53198264894845	3.98150860663207	5.51349125558052	0	66	66	0	0.478450354738873	8.44492637559869
15	6.01996606179447	9.06549932317741	1.80824717049644	4.20308632522529	6.01133349572173	0	64	64	0	0.258783595946734	1.50590538719335
16	8.51989945924537	45.9216191060549	1.95293472021593	4.2648650421589	6.21779976237483	0	110	110	0	0.45922020852128	5.38992500154718
17	6.79691392461578	16.8676823848865	1.64974958400584	4.23673681608493	5.88648640009077	0	79	79	0	0.346486933446435	2.48166779393782
18	5.75528852870909	5.35902575749251	1.49964945842259	4.40432652045032	5.90397597887291	0	62	62	0	0.206823763541833	0.931148061606311
19	10.2527833065391	43.5320999101544	2.17518807066751	4.63066950310577	6.80585757377328	0	80	80	0	0.51235496789792	4.24588120207225
20	5.87220805932459	7.96381115910098	1.62067660195286	4.12296472940523	5.74364133135809	0	65	64	1	0.262733453507195	1.35618681740254
21	9.32230885019557	19.3487206320623	1.88304839733358	4.34770031570202	6.2307487130356	0	64	64	0	0.489343816816942	2.07552881405087
22	21.9719589333806	233.651329207499	2.201995090174	4.23798885750161	6.43998394767561	0	63	63	0	0.785656301085488	10.6340690839599
X	6.9555446543925	7.82004377873505	2.15051893312676	5.09283381094048	7.24335274406724	0	118	118	0	0.223432889114507	1.12428920628043
Y	1.92841870353986	19.9411075705639	0.168328327736947	0.0469944185386349	0.215322746275582	0.53125	39	39	0	0.940009066409845	10.3406524392029
Total	6.85012765234172	38.2995363397748	1.73833472295065	4.32795735817603	6.06629208112668	0.00242	2722	2506	216	0.337696277354624	5.59106899660213
