chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	140.384225915627	193.720581446115	29.702974149309	116.357892719475	146.060866868784	0	155	146	9	0.149626578804802	1.37993125782198
2	136.871634773189	280.68447047462	25.787726970068	115.732034410368	141.519761380436	0	132	124	8	0.136541880530542	2.05071321709383
3	130.083704168805	24.4440053358817	27.2435466936118	115.444895087082	142.688441780694	0	74	63	11	0.0967834961152041	0.187909819235786
4	132.157743606448	40.3732072374466	25.150991125069	116.97749570831	142.128486833379	0	96	81	15	0.0970793163319212	0.305492558632613
5	134.727927680643	67.9986846362814	26.1912076658128	117.801286083711	143.992493749524	0	108	91	17	0.111420227674164	0.504711130104103
6	133.710113912584	35.0219794177309	27.0518023690418	116.734613609802	143.786415978844	0	143	129	14	0.106899346558139	0.261924684625033
7	140.500340729284	52.6852333994461	33.022840980564	117.513579986865	150.53642096743	0	154	147	7	0.140827018151159	0.374982958233246
8	146.894778569542	68.6753801357739	38.541333603056	121.718353403185	160.259687006241	0	84	81	3	0.139886691710827	0.467514099578849
9	150.395531250348	178.204636463435	31.126737204319	118.256416877919	149.383154082238	0	94	90	4	0.191951123980707	1.184906459533
10	132.282525089946	46.5153108339197	27.2629134903588	114.477463465541	141.7403769559	0	69	61	8	0.117150004290894	0.351636097075494
11	143.916423948579	40.3346177781086	36.265500708989	121.327998713873	157.593499422862	0	139	129	10	0.133673890280097	0.280264174660982
12	131.777313969516	25.1094247837031	28.791104701963	116.115754159571	144.906858861534	0	52	42	10	0.098417314731994	0.190544366305051
13	133.760040107762	31.8725597901888	27.313802862595	116.534109539971	143.847912402566	0	96	89	7	0.110464201688316	0.238281625547593
14	136.487816862343	61.1389648644468	29.0910561235865	117.190205086097	146.281261209683	0	60	57	3	0.124595599160621	0.447944485229107
15	143.367583760157	71.3723103172287	32.5489989832623	117.965935860692	150.514934843955	0	84	84	0	0.152969386428958	0.497827391976063
16	163.550381840337	547.58693706331	32.973486196247	116.312443946435	149.285930142682	0	76	75	1	0.263107902668596	3.34812386801934
17	134.113262587387	61.4036857599815	30.56954469394	112.482112457448	143.051657151388	0	54	51	3	0.135030470564541	0.457849466751816
18	130.615381465508	26.6826580658537	22.9978743149273	116.827084089465	139.824958404392	0	50	43	7	0.0896164023953245	0.204284195065494
19	130.104364188463	40.5564661147057	32.659308934302	108.76899442507	141.428303359372	0	40	37	3	0.134835828783725	0.311722564939925
20	133.274659393369	26.498494797829	28.9919116382105	117.364498799165	146.356410437376	0	27	25	2	0.0998343590433229	0.198826205359992
21	141.4661635662	97.2631444947855	25.3126930793495	116.565169701466	141.877862780815	0	28	28	0	0.156653388730472	0.687536454250919
22	173.684771260153	106.24536693726	89.473472237892	118.527809970397	208.001282208289	0	12	12	0	0.236182035146583	0.61171377413464
X	146.872964161722	52.4619318942368	30.062800437988	126.588769831696	156.651570269684	0	112	99	13	0.123203643396486	0.357192572463308
Y	2317.96961333736	34573.0514859047	3.69504284067852	1.14512556321587	4.84016840389438	0.00446428571428571	36	36	0	0.994564265919895	14.9152306773026
Total	148.222801763679	2317.99072663666	29.5250498552618	116.919834377936	146.444884233198	2e-05	2489	2130	359	0.197406790994314	15.6385569497761
