chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	62.1551183019035	42.5871381538017	19.1412637326744	49.4747406999905	68.616004432665	0	106	98	8	0.174083020337376	0.685175079982069
2	63.3730066631655	295.891111733058	18.000828420676	48.1662761521979	66.1671045728739	0	113	101	12	0.215350744258322	4.66904013732142
3	53.886165503209	16.4298512544	20.3660839171986	43.312971926143	63.6790558433416	0	56	50	6	0.166519378450588	0.304899246420152
4	53.96679451621	21.612832216001	20.0106579325604	43.2007649705832	63.2114229031436	0	44	36	8	0.167302983905067	0.400483897732876
5	57.2906630958348	25.5901594908724	18.3746099501502	47.0209332798058	65.395543229956	0	59	45	14	0.152903321647346	0.446672426326532
6	58.9233197832044	20.3755721541799	18.2948092774092	49.062188016052	67.3569972934611	0	48	39	9	0.144037912416052	0.345798102163072
7	57.9608455669717	23.4199058147259	19.9978029566458	46.0378643365817	66.0356672932275	0	75	70	5	0.17319288561588	0.404064253818813
8	52.6367759655041	24.4184431633609	19.7508227224821	41.6614119073262	61.4122346298083	0	37	31	6	0.18338215369372	0.463904612610843
9	65.0063245994883	60.7282748179591	19.1561660837075	50.1264892300535	69.282655313761	0	53	49	4	0.200004912346039	0.934190252904054
10	56.5840485497649	26.0584020767161	20.0887630146334	44.6073986994791	64.6961617141125	0	46	44	2	0.173456443160702	0.460525585294557
11	55.6649777993464	19.3330886151148	20.5028838333851	44.4476429278714	64.9505267612565	0	43	37	6	0.168823062017896	0.347311530147449
12	56.828488004714	15.2061999319505	19.6260808985055	46.5089110401501	66.1349919386556	0	34	28	6	0.147605448493638	0.267580582659337
13	56.9741189095797	15.4829587881326	17.1856278214684	47.707500652825	64.8931284742934	0	30	25	5	0.137773800552622	0.271754247094276
14	57.0420562787742	38.6786176624417	20.4072314868105	44.2741028157515	64.681334302562	0	25	25	0	0.185282441467593	0.678071938245227
15	62.4730809644065	33.166401883545	19.2556476271411	49.5952740914598	68.8509217186009	0	43	42	1	0.173038993556617	0.530891087353949
16	69.2550194083476	265.770083405496	20.9313312978947	45.6325104702488	66.5638417681435	0	52	51	1	0.318698074145168	3.83755698397019
17	62.0164215059983	27.917804392997	20.7913436532182	48.6897238875208	69.481067540739	0	57	55	2	0.182008249712657	0.450167934799281
18	52.808717650584	15.208792530613	18.8164311929711	42.9346567108302	61.7510879038013	0	18	18	0	0.154223263139014	0.28799776262783
19	57.5423012374374	22.6557219631554	20.4220805426075	45.091022222678	65.5131027652855	0	36	35	1	0.185000797173955	0.393722904297324
20	62.446575744385	15.9356649948922	18.1687381187169	52.4737487403645	70.6424868590814	0	24	20	4	0.131676763751214	0.255188772241449
21	63.9666127138572	43.3957179096763	18.1074682598834	50.2718150465779	68.3792833064613	0	23	22	1	0.191548499939185	0.678412003833923
22	69.5295586762784	52.5445904536313	19.325834699854	53.1897803070584	72.5156150069124	0	33	31	2	0.202584269550513	0.755715863209673
X	64.2137845558859	29.0296971393203	21.7489577889701	50.6858435215649	72.434801310535	0	80	77	3	0.173403665283191	0.452078900816934
Y	272.155373129787	4014.22990930125	2.07759897934141	0.517046691512726	2.59464567085414	0.0223214285714286	35	35	0	0.991615950308494	14.7497727608226
Total	59.8856632574519	286.552398951924	19.7863912232473	46.5086452265627	66.29503644981	1e-04	1361	1036	325	0.199479595153855	4.78499165518162
