chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	49.7288364029106	112.938589548964	60.7740127890774	0.546065452593658	61.3200782416711	0.0219611848825332	398	398	0	0.768854338041616	2.27108852163598
2	89.182239078109	401.796078605435	104.392131470774	1.19383718231642	105.58596865309	0.0181818181818182	197	197	0	0.671382620427879	4.50533741649531
3	91.9068726814059	388.502487207463	124.0834733854	0.798699395069036	124.882172780469	0.0298295454545455	164	164	0	0.66432923434659	4.22713205087722
4	72.4695571735869	155.835810328704	70.7018498080662	14.094308781313	84.7961585893792	0.0210495108212274	266	266	0	0.600859135319571	2.15036239224464
5	64.819837129707	101.208287935198	93.474297533366	0.904797889088338	94.3790954224543	0.0250158328055731	143	143	0	0.640050705825598	1.56137831282538
6	48.6174181069145	70.79485328141	73.8000620881651	0.643461187502501	74.4435232756676	0.0262284196547145	115	115	0	0.649179313764573	1.45616233930245
7	165.807161120025	365.137711676485	126.686930363928	57.8466178397644	184.533548203692	0.00186636804777902	198	198	0	0.515763019964167	2.20218300108382
8	122.229758474007	377.723676323918	101.220121022536	41.6605188595741	142.88063988211	0.00584795321637427	146	146	0	0.54583476691285	3.09027589549105
9	50.3357103122386	143.468291519651	65.8702308181749	0.551854317686342	66.4220851358612	0.0183392766174223	128	128	0	0.771668965141906	2.85022880634246
10	55.913824310333	94.086579080099	83.2854858393575	0.510898811300536	83.796384650658	0.0221739130434783	169	169	0	0.731936605731296	1.68270691981109
11	105.53868430794	181.382914792275	129.782153575423	4.80580769653748	134.58796127196	0.00429553264604811	137	137	0	0.616420321157044	1.7186391509585
12	52.8559131347466	64.6834387480717	77.2800105746173	1.95649725740487	79.2365078320222	0.00301075268817204	67	67	0	0.575880557632586	1.22376920408456
13	154.675677928691	279.844802508931	93.3019616380692	78.8663850406128	172.168346678682	0.00573065902578797	119	119	0	0.455262577323544	1.80923598497461
14	51.6409608484307	158.039141352935	59.5038520909262	0.514569664440647	60.0184217553669	0.0311903246339911	136	136	0	0.777298589905225	3.06034471002174
15	49.5808156059024	92.159336444211	74.0197615394104	0.546817161876328	74.5665787012868	0.012301013024602	87	87	0	0.728708264784757	1.85877007705456
16	129.34305815289	537.281871173659	140.990958563326	1.20684985059377	142.19780841392	0.00455580865603645	99	99	0	0.762962760299616	4.15392893013681
17	60.1672447434512	343.936153240471	65.4425638388247	0.874605739603353	66.3171695784281	0.0053394355453852	144	144	0	0.80108155297821	5.71633543644868
18	95.5589041358505	152.772022788355	79.6471044500386	33.3818190852353	113.028923535274	0.0110294117647059	100	100	0	0.514755280216485	1.5987209582392
19	213.38738250856	494.039089711658	255.547608650006	3.26389058207482	258.811499232081	0	42	42	0	0.643832326631624	2.31522165886186
20	136.274915325975	164.596436943152	162.048812154276	29.3404227599111	191.389234914188	0.000931098696461825	61	61	0	0.556558182155819	1.20782637471783
21	22.0787581129379	60.4648925507706	24.9193974887455	0.398108040781604	25.3175055295271	0.0245098039215686	50	50	0	0.811243149385825	2.73860025285294
22	150.138612983291	305.120699681993	192.695423207049	2.14815133315708	194.843574540207	0.00347222222222222	27	27	0	0.675883450611543	2.03226001372445
X	112.741358950013	193.98055385326	103.141533591505	34.1732170114624	137.314750602967	0.00550964187327824	146	146	0	0.543277281424363	1.72058023479446
Y	340.02595111526	2704.74600927407	114.67713198244	47.8213072105066	162.498439192947	0.00446428571428571	20	20	0	0.80519989231512	7.95452817763676
Total	88.9556528942164	320.812775132984	111.950843746795	1.26718074783665	113.218024494632	0.01516	2647	2647	0	0.667842537377165	3.60643494477507
