chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	82.9303443030448	49.9709172286571	23.4132394017698	66.9443176992623	90.3575571010322	0	124	112	12	0.167242010046249	0.602564931432732
2	85.1025998062533	244.211584082042	21.2150099499882	68.349786487681	89.5647964376692	0	133	116	17	0.178689858303208	2.86961367382454
3	79.6307243077513	19.5501903601833	21.0237469949963	68.7926676415302	89.8164146365264	0	56	35	21	0.122001756869703	0.245510643412297
4	78.3689974301091	30.0819681069594	23.0537329033238	65.6013843617135	88.6551172650373	0	73	52	21	0.143219453428784	0.383850362942145
5	82.2479243286075	42.6910393115376	21.235575826917	69.9734153860265	91.2089912129435	0	72	49	23	0.135064157865901	0.519053090519012
6	81.1898306808772	25.2614052408341	21.1506354873022	69.2163648193783	90.3670003066805	0	60	51	9	0.123871026372815	0.311140016292508
7	82.3582712515249	36.1498639980326	22.4455143592265	67.9311057187539	90.3766200779803	0	100	87	13	0.152323103616068	0.438934225411673
8	85.7347189960116	52.6217241424031	29.7904865818623	67.1295141539481	96.9200007358104	0	57	56	1	0.183702062336561	0.613773798510392
9	89.5236486907599	89.0632873037931	22.682984129552	69.6831528753439	92.366137004896	0	59	59	0	0.195334999765726	0.994857656119927
10	81.7140216760013	38.7031930612509	22.8735370521956	67.0053731584387	89.8789102106343	0	58	57	1	0.151997453039661	0.473642004975723
11	86.3152789173923	28.1400697621573	22.7174816112779	72.9548513131719	95.6723329244498	0	83	66	17	0.135868249481891	0.326014931714334
12	82.7328255136604	20.2702991319073	21.4914699110111	71.0310903648932	92.5225602759043	0	52	42	10	0.121030517899124	0.245009148497659
13	78.5786503580726	22.2527234730468	20.6606457585588	66.970901239487	87.6315469980458	0	45	38	7	0.125805743862644	0.283190451498519
14	81.7379911435429	53.8504216141219	22.3698067199006	67.2497996677754	89.619606387676	0	34	30	4	0.154943238201155	0.658817532223827
15	81.3296853195932	42.198198261345	24.1702456768031	64.7874934077646	88.9577390845677	0	46	46	0	0.171377759382668	0.518853578438462
16	94.9735554832699	264.112279179038	23.8862041773811	67.6284688145126	91.5146729918937	0	64	63	1	0.263346503626335	2.78090335604592
17	81.6096299597961	32.7872357700746	23.254998343146	66.0984918263277	89.3534901694737	0	54	53	1	0.159300271829622	0.401756946897405
18	80.0862575704557	19.7795964937501	21.6182046109094	68.1002943156396	89.718498926549	0	32	28	4	0.122402269146415	0.246978658933452
19	83.9423467039571	33.4496005085235	24.8802397370431	67.3489373699706	92.2291771070137	0	37	36	1	0.166917780776481	0.398483028196621
20	79.8343085004492	20.8581871165374	24.6120124805489	65.7459971745442	90.3580096550932	0	33	30	3	0.140040267902698	0.261268463500502
21	87.9829227711524	61.3615297682376	22.4787344646455	68.7975127992213	91.2762472638668	0	30	29	1	0.191876755033113	0.697425452980708
22	91.7526445791316	82.0593259313554	27.8377218136126	68.3868013337902	96.2245231474028	0	23	23	0	0.223151182303614	0.894353795552822
X	48.522535491678	24.6706168679532	14.7314813663536	38.5683249644012	53.2998063307548	0	141	111	30	0.189887057180154	0.508436268178616
Y	337.083369375095	2660.79956839522	34.8059751427487	79.5512291388459	114.357204281595	0.00446428571428571	39	38	1	0.736502451116572	7.89359490896261
Total	82.3680187262561	200.722851635464	24.1226824094669	66.1075546959749	90.2302371054418	2e-05	1571	1276	295	0.178937000739303	2.43690275351349
