chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	476.634462170743	2022.16853657654	126.61993384802	274.319552436854	400.939486284874	0	220	220	0	0.382736516931662	4.24259825310773
2	523.529098850696	2287.48358157696	120.975394471288	272.367388854132	393.34278332542	0	237	237	0	0.443146959780537	4.36935327300559
3	419.960976564277	2321.48838748938	117.567893846355	273.215865886566	390.783759732921	0	108	108	0	0.31062650778458	5.52786691392518
4	423.396679664102	1376.94443152876	116.09143904381	270.104355999979	386.195795043789	0	137	137	0	0.325158761091609	3.25213800122653
5	500.349184386536	3871.18960322722	115.888558130403	277.28263568738	393.171193817783	0	143	141	2	0.413287847698671	7.73697594405709
6	443.579477979539	1998.898013358	119.560406531711	272.114448830221	391.674855361931	0	121	121	0	0.347731633958527	4.50629055803659
7	578.770485488114	4353.83183589022	130.678491311313	271.65089229871	402.329383610023	0	168	168	0	0.49400347807851	7.52255331786375
8	499.70701780629	2275.62000754464	121.144073861751	276.021849886497	397.165923748248	0	137	137	0	0.413235615770883	4.55390844326061
9	932.557518552008	10075.8767329358	128.538250578295	272.372599062766	400.910849641061	0	128	128	0	0.683346465550461	10.8045632923327
10	640.303798787317	4999.06092579066	126.491908446778	270.392502254349	396.884410701127	0	127	127	0	0.547712756993117	7.80732667096224
11	520.280613879071	2791.15888730543	129.927746191111	281.480292372284	411.408038563394	0	127	126	1	0.420822209346437	5.36471821714691
12	530.584977668978	3072.11601598563	121.711985331678	274.373414136172	396.08539946785	0	115	115	0	0.447183474787284	5.79005464776326
13	551.291722070926	4194.62809922827	119.166193192216	270.015419666613	389.181612858829	0	80	80	0	0.477356231301811	7.60872679798484
14	1005.26114174827	12453.8858548058	122.655833210889	278.631992288933	401.287825499822	0	72	72	0	0.706033808288057	12.388707110619
15	463.546462234695	1582.36401386216	115.343366231415	271.195496405431	386.538862636846	0	77	77	0	0.377341276695745	3.41360390549374
16	840.518017360315	5821.00269635038	148.436156569349	279.67937484953	428.115531418879	0	122	122	0	0.633663267929138	6.92549425011911
17	600.981226212433	2710.12156689356	121.369577411071	268.905251510601	390.274828921672	0	97	97	0	0.52111947026377	4.50949455438663
18	408.069859920982	963.469609715302	121.751438743283	262.971104149377	384.72254289266	0	69	69	0	0.309167562027749	2.36104085193125
19	1498.51019091663	15414.4848025374	177.78263896319	276.92057164481	454.703210608	0	88	88	0	0.786546534631283	10.2865398553669
20	445.860893605309	792.455442042899	127.033413394116	273.929507498307	400.962920892423	0	80	80	0	0.338254390956883	1.77736027852761
21	774.551611309772	2777.45756400884	145.498939457009	272.409585033155	417.908524490164	0	57	57	0	0.606131047153393	3.585890886357
22	1972.86704884232	13377.7429528788	152.388068967278	276.979161608494	429.367230575771	0	70	70	0	0.832956068609835	6.78086390095517
X	442.254379867714	987.873413774219	136.43627764004	292.774330251848	429.210607891888	0	132	132	0	0.293833831470361	2.23372217154686
Y	439.622222890709	5862.37710342206	16.2432204710917	4.98129615932586	21.2245166304176	0.00446428571428571	38	38	0	0.972541498157325	13.3350335769524
Total	575.958929399661	4806.02023005322	125.523244006594	273.551612306006	399.0748563126	2e-05	2928	2731	197	0.494857233434429	8.34438010200255
