chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	114.136145927037	93.3713729697578	39.1205082832213	83.9076422605664	123.028150543788	0	167	166	1	0.220835591103595	0.818070140807513
2	112.260666703999	283.677919264181	37.8843588162655	79.851922468783	117.736281285049	0	192	192	0	0.239994555934754	2.52695737156241
3	101.446711165498	39.115803521852	38.5884686641721	78.6495988585107	117.238067522683	0	90	90	0	0.175476444499091	0.385579809068814
4	103.898200210622	64.8850349465441	37.0210173407209	79.6822782308251	116.703295571546	0	109	109	0	0.185906081176256	0.624505860688728
5	101.46569652658	66.0899327604543	37.1307615239061	77.1839044123124	114.314665936218	0	110	109	1	0.193594674196492	0.651352476973745
6	106.071459725717	155.293810684592	36.870675769074	78.1321765059888	115.002852275063	0	94	94	0	0.218986057943518	1.46404896365295
7	107.897625702375	86.8488120419917	37.3665802516329	78.9875932243811	116.354173476014	0	132	132	0	0.219348874909644	0.804918657631591
8	103.741603502599	114.313051291942	34.7991662896118	75.5775191877032	110.376685477315	0	118	118	0	0.22435127317574	1.10190171958426
9	124.860820608651	187.953247464522	40.376028329005	83.468294301277	123.844322630282	0	91	91	0	0.284048045715056	1.50530203588539
10	109.445797892578	347.666782148423	38.3426548460762	73.8951867785441	112.23784162462	0	98	98	0	0.272979234473379	3.17661151769081
11	118.304802410532	205.262378988639	41.6631793329726	85.2980256278529	126.961204960825	0	89	88	1	0.230767451590922	1.73502998023998
12	102.929772156136	58.2062335099184	37.733853248059	78.185592285537	115.919445533596	0	94	94	0	0.192489130050347	0.565494630859809
13	105.101574709053	98.339174792396	33.9451091508207	79.7552813954803	113.700390546301	0	65	65	0	0.201121403591754	0.935658433897142
14	115.588435686028	212.758162311276	39.1300137160743	80.8953872775942	120.025400993668	0	59	59	0	0.254882283297396	1.84065266606072
15	108.067577011909	96.5229880900219	36.1860740939616	78.1948198308912	114.380893924853	0	65	65	0	0.230777020825834	0.893172501493067
16	151.27841095007	608.090641701221	45.3552354828287	86.4724751246723	131.827710607501	0	87	87	0	0.384720646885836	4.01967893423948
17	115.615226245402	242.998163004986	36.5795245465447	80.6716069224848	117.25113146903	0	71	71	0	0.255789112033149	2.1017833973633
18	101.744417287806	54.8755089129457	37.0364818302549	76.2731144939376	113.309596324192	0	50	50	0	0.191602264666019	0.539346633218395
19	130.071868720946	213.085374041214	46.1988619077827	80.4658152320333	126.664677139816	0	70	70	0	0.327558696922834	1.63821259843944
20	117.332740244956	65.9408392201621	40.4739460097114	88.3404889082843	128.814434917996	0	51	51	0	0.195796830401609	0.561998629559808
21	124.050715420331	114.722715050564	39.6665352844533	82.056180388942	121.722715673395	0	49	49	0	0.289001274681164	0.924804944992374
22	154.886205107573	547.651972665954	44.7877335338603	82.2953827568557	127.083116290716	0	38	38	0	0.424818800859632	3.53583440362292
X	122.851232305621	124.720032962431	44.3347958846622	89.5150057131038	133.849801597766	0	109	109	0	0.217774050733431	1.01521189996825
Y	81.7293926326083	1090.3438169154	3.80752725095753	1.06182967448338	4.86935692544091	0.00446428571428571	38	38	0	0.968079642564401	13.3409019912425
Total	111.608819057729	209.474802003948	39.0196485411182	79.9509297785428	118.970578319661	2e-05	2274	2076	198	0.24032032800311	1.87686603775996
