chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	24.2062667978216	19.683372510523	13.0990759704772	16.0460869481873	29.1451629186645	0	100	100	0	0.272149010072048	0.813151927760058
2	24.1116039439805	84.6425469503483	14.2796198771155	14.7306508630717	29.0102707401872	0	81	81	0	0.318509995579229	3.51044862660327
3	18.1503594863219	10.3497308670052	12.5752992293849	11.1025384098831	23.677837639268	0.00142045454545455	58	58	0	0.300201655571361	0.570221811573747
4	22.3051086166925	13.1951502870519	14.3275187224047	14.4717187236677	28.7992374460724	0.00148235991698784	46	46	0	0.281448411844231	0.591575253624949
5	22.957220284583	13.0641187073145	13.4483508746005	15.4088125717294	28.8571634463299	0.000633312222925902	48	48	0	0.259076688691444	0.569063612465649
6	23.7185076188763	12.347496301661	14.7876382976438	15.6066643874821	30.3943026851259	0.00132802124833997	46	46	0	0.27195007654712	0.520584874059879
7	19.3639957028359	13.3465177116674	12.6657949907724	11.9495150075419	24.6153099983143	0.00111982082866741	62	62	0	0.305414864657222	0.689243992639017
8	22.2428343679154	15.8668007239941	14.4551829959962	13.9413207490278	28.396503745024	0.000389863547758285	31	31	0	0.294166847609884	0.713344372463678
9	25.586011668923	25.9530505212708	14.345334597068	16.0220539037047	30.3673885007726	0	45	45	0	0.310006520320313	1.0143452937135
10	22.6275295002151	15.6330642145764	14.5183299816529	14.1433460653389	28.6616760469918	0.00173913043478261	40	40	0	0.290529623757415	0.690886922252283
11	26.166255559583	19.3270720475276	14.2587283306209	17.5473518529409	31.8060801835618	0.000429553264604811	49	49	0	0.265534085740961	0.738625823000088
12	24.5895505399083	11.2345839908503	13.4611519784207	17.2376669104843	30.698818888905	0	33	33	0	0.237250445724189	0.456884479145595
13	20.9212791576276	11.3147682427931	13.1320700340166	13.7455611484611	26.8776311824777	0.000573065902578797	29	29	0	0.281507576208591	0.540825833714276
14	26.365501145214	25.3525402366056	14.3670797637824	17.7221112147154	32.0891909784979	0.00063653723742839	27	27	0	0.27341116826758	0.961580062406958
15	25.7490364658145	17.1602011736525	14.0587025341628	16.9513278455914	31.0100303797542	0	33	33	0	0.272928994363731	0.666440516965952
16	27.2574621662175	105.242734102029	14.7095635519059	14.0907143293674	28.8002778812733	0	45	45	0	0.410763145769135	3.86106136588408
17	25.1105019272519	15.412277746887	14.1612277980163	16.5000658616939	30.6612936597102	0	37	37	0	0.269206986837028	0.613778163078465
18	18.1284968077812	10.1024535890975	13.0449692731051	11.080095695753	24.1250649688581	0.000735294117647059	13	13	0	0.299901403038504	0.557269237279578
19	31.1922858439517	18.5324132006734	14.4232376211342	22.0497468668097	36.4729844879439	0	30	30	0	0.229943876081718	0.59413450150422
20	21.2708231442264	10.0059501721492	12.1195186362697	14.761514809869	26.8810334461387	0	27	27	0	0.255496039304855	0.470407285336542
21	24.9039259034729	22.8769278874162	14.539564649089	14.8874481525569	29.4270128016459	0	22	22	0	0.330093937041551	0.918607290115089
22	24.5425093324254	26.7556202672117	15.8432430335945	13.2342895322357	29.0775325658301	0	20	20	0	0.358802131809591	1.09017459888922
X	14.4996788714688	10.9978234243805	11.9715094050913	7.65561433003634	19.6271237351276	0.00944510035419126	46	46	0	0.36422028487527	0.758487379056447
Y	146.099258695542	1854.84600750935	14.7833608125776	6.8847137960802	21.6680746086578	0.00446428571428571	13	13	0	0.930584134421271	12.6957934220233
Total	23.3301595879208	128.627981703583	14.3165130945657	14.2506663539757	28.5671794485414	0.00106	930	930	0	0.317891170886247	5.51337770403337
