chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	105.53781339369	55.5160199123583	26.9801601853506	87.0618224690207	114.041982654371	0	126	117	9	0.149734894311895	0.52602965825401
2	107.739736175917	454.061400828109	25.5033457287098	84.9954787579117	110.498824486621	0	127	109	18	0.192672936104365	4.21442837103963
3	97.908169847863	22.8286508793379	27.3012197859266	83.4945783483814	110.795798134308	0	49	40	9	0.123149620413691	0.233163901590753
4	99.3478703288456	34.7250129855802	26.5534327026381	84.5487768651729	111.102209567811	0	78	60	18	0.129761754729458	0.349529515536055
5	97.0040817073696	38.0768215809989	27.912626233597	81.5734614712785	109.486087704875	0	62	45	17	0.139744075465317	0.392528035014697
6	98.5658972598772	27.2689970127777	26.0944390443999	84.3739017687544	110.468340813154	0	63	53	10	0.12834581007337	0.276657523249454
7	102.305800088445	36.6645714382891	26.6412387051855	85.2340207706895	111.875259475875	0	110	97	13	0.143506241921949	0.358382138711508
8	102.188045091763	55.7629305654079	27.2335137595048	85.2031636876312	112.436677447136	0	47	40	7	0.141073981181603	0.54568937604525
9	110.427423685372	101.782709757685	27.2867130846538	87.5488730173932	114.835586102047	0	62	59	3	0.184389853543324	0.921715877821097
10	99.1231732516018	31.4294550531401	26.4808061461363	83.2156063592059	109.696412505342	0	77	62	15	0.139383735650249	0.317074746723085
11	105.225726363526	32.1299198704245	26.0822420420278	89.9008123598587	115.983054401887	0	83	68	15	0.126750768981198	0.305342818536833
12	98.8628564987359	23.7936772938121	26.8717648482536	84.3806883602784	111.252453208532	0	46	39	7	0.124013565387563	0.240673576876836
13	96.5273653154657	22.2478747792697	23.9487105147392	83.2844324055298	107.233142920269	0	38	34	4	0.115695124471564	0.230482565297005
14	102.282787453127	58.1707974816811	26.1567082446931	85.3044539455039	111.461162190197	0	42	39	3	0.145715558565084	0.568725187591695
15	103.357100101692	70.0898742927964	28.9411526044207	81.1234985134418	110.064651117862	0	46	46	0	0.185841649797157	0.678133134770963
16	117.946532717886	269.217636842451	29.1338749606788	86.0998220509542	115.233697011633	0	63	60	3	0.244861955326952	2.28253964435214
17	101.328375569892	34.9220846334148	28.6070693232776	83.6106994172339	112.217768740512	0	46	45	1	0.148110997797608	0.344642696944518
18	99.9973056232712	23.6453852308389	23.2134986055752	86.3854689551125	109.598967560688	0	38	36	2	0.114260109069047	0.236460223437622
19	103.493169604399	40.8589941809967	31.1920799360755	82.9250320383145	114.11711197439	0	42	41	1	0.165193229026037	0.394798945062554
20	101.297190619068	23.6926336623678	25.4806513883291	86.5182508489859	111.998902237315	0	23	22	1	0.117146638390183	0.233892307551399
21	106.100768671076	74.0711249777068	23.7740811684583	83.7983976231327	107.572478791591	0	32	31	1	0.18134913766409	0.698120531127679
22	105.32476168229	64.6410357888939	33.594352082754	80.39457161818	113.988923700934	0	22	22	0	0.19373276282982	0.613730662727559
X	59.1093784885922	26.4289433736495	19.3680094293083	47.0242745139316	66.3922839432399	0	116	100	16	0.178073202500999	0.447119290532722
Y	170.057110815926	1007.53783579776	28.3182351955757	50.1501832236287	78.4684184192044	0.00446428571428571	37	36	1	0.670810122747814	5.92470277169615
Total	100.43192482854	160.558370481336	28.4730357308862	82.3408620697745	110.813897800661	2e-05	1517	1148	369	0.165243577952863	1.59867861494684
