chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	44.371270042623	24.8930744636824	14.6446168211165	34.9152600799059	49.5598769010224	0	102	98	4	0.178540015853022	0.561017848706385
2	47.1445448791917	309.485652274941	14.0927607191219	34.1407173674829	48.2334780866048	0	97	89	8	0.246530189339599	6.56461215328308
3	40.8654573174485	10.698870443796	13.4475051686995	33.8041623384795	47.2516675071789	0	39	39	0	0.141591427960899	0.261807187441601
4	42.1361152350368	16.5217896877329	13.5543357069432	34.6404027623859	48.1947384693291	0	64	52	12	0.150046876348786	0.392105195165092
5	40.4340242695155	17.2400455816923	13.8376901169645	32.7006710228512	46.5383611398157	0	58	47	11	0.164465430148546	0.426374715184858
6	60.3504960992026	17.4873377138749	18.3939375485031	50.2714794860753	68.6654170345784	0	55	48	7	0.13936817938455	0.289762948843529
7	43.7308801704373	16.9279061233273	13.2163041700147	35.7129150347246	48.9292192047393	0	82	77	5	0.155931270135193	0.387092737611322
8	42.8983162658881	24.4583440554003	13.729283076258	34.4993426055857	48.2286256818437	0	45	38	7	0.164138233436874	0.57014694711571
9	45.1256703566941	39.2598937069412	13.8916553398105	34.8743087007246	48.7659640405351	0	48	44	4	0.204359369013435	0.870012420793151
10	43.9227647984857	15.0758777657285	13.5777340262997	36.1003591280008	49.6780931543005	0	57	49	8	0.150008393577603	0.343236083495552
11	42.2198317970362	14.2377502458446	15.0471427200902	33.7372725218347	48.7844152419249	0	50	50	0	0.162391145291637	0.337228966574047
12	41.5654913959007	12.2280653889664	14.678188341416	33.496036211802	48.174224553218	0	38	37	1	0.15543707440081	0.294187918350279
13	41.4021997478368	11.2669622117867	12.7546331316262	34.3209700005599	47.0756031321861	0	30	26	4	0.140031761319447	0.272134386105302
14	44.129546026842	31.4743306811573	14.1910955773899	35.425384485489	49.6164800628789	0	30	29	1	0.169834420657207	0.713225798017792
15	44.0030745251372	30.7797157605463	14.2156578598845	33.6032436708118	47.8189015306963	0	47	46	1	0.205873703206453	0.699490117286307
16	50.8221830753516	100.248216733724	15.05282394104	36.3548992522626	51.4077231933026	0	53	52	1	0.250253357313867	1.97252873976489
17	41.7380012008879	15.8345452627877	15.6701833352816	32.2990301606205	47.9692134959022	0	35	35	0	0.178066268314926	0.379379577535948
18	40.8223437092858	12.4217617913256	13.070839909378	33.4580351583185	46.5288750676964	0	35	29	6	0.1538348511762	0.304288305438475
19	44.9745665771269	18.1905521612228	16.5958997293814	34.8868127913942	51.4827125207756	0	34	33	1	0.187451970775882	0.404463089822728
20	42.4430302786252	12.3530470946234	13.9794285806145	34.7671290790973	48.7465576597118	0	30	28	2	0.155100439792343	0.291050073793731
21	43.7456194208632	32.1923925032297	14.2613484908331	32.9992198564175	47.2605683472506	0	20	19	1	0.215363955769948	0.735899798183597
22	42.9205325402058	31.1633459526459	18.5760461909957	29.9213619784107	48.4974081694063	0	20	20	0	0.24359819036966	0.726070812925111
X	49.1115045656028	23.883357909873	16.0652807742591	38.404892808642	54.4701735829011	0	114	109	5	0.18825245181301	0.486308821550554
Y	117.241520941326	564.518330912622	25.4476494202413	41.4980044459484	66.9456538661896	0.00446428571428571	35	34	1	0.6078726809521	4.81500347641463
Total	44.986492107395	101.106132804843	14.99914661166	34.9489078905117	49.9480545021718	2e-05	1592	1523	69	0.189906860231515	2.24747758868319
