chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	35.059991400551	164.447559144525	19.5703144457074	11.5527932055293	31.1231076512367	0	248	248	0	0.570577832826983	4.69046205019721
2	59.3769011189344	842.011702037581	22.5363253146823	12.7947495253818	35.3310748400641	0	329	329	0	0.712464774678992	14.1807956658263
3	23.1854345041513	20.7642175301689	17.5713546111798	10.8116409283162	28.3829955394961	0	224	224	0	0.398909523182798	0.895571636858958
4	33.3819507248095	105.530900222236	19.9843102750842	12.3321144324071	32.3164247074913	0	249	249	0	0.517742593161338	3.16131615830963
5	30.0615391498039	177.479296809022	17.6622135563683	10.2649703717756	27.927183928144	0	224	224	0	0.548354486650307	5.90386593063649
6	33.9820985965561	380.611244375093	19.7248744587738	11.8728694131	31.5977438718738	0	167	167	0	0.544562105540117	11.2003454787712
7	42.03230049551	223.517234390121	20.632853972406	11.8237188114302	32.4565727838361	0	185	185	0	0.624029956563092	5.31774924891388
8	35.9568359730306	166.640205585991	20.8584044979779	11.3795426604654	32.2379471584433	0	195	195	0	0.573310239048282	4.6344513102037
9	44.2810514116878	282.639298178515	20.7322977162536	11.41375570097	32.1460534172236	0	144	144	0	0.650280203198728	6.38284975554834
10	29.710236998916	97.5507357964023	16.9171672794506	11.018232708736	27.9353999881866	0	178	178	0	0.525304760060129	3.2834048345007
11	47.6034128471899	370.326013598951	19.8667869793607	11.7914303638569	31.6582173432175	0	184	184	0	0.670672989481731	7.77940049776938
12	38.8178967793298	199.226808767456	20.1850116699473	12.1231526666383	32.3081643365856	0	166	166	0	0.595703950240242	5.13234423544406
13	33.7100980186217	190.110956644321	19.1639872642743	12.0567380107091	31.2207252749834	0	96	96	0	0.536774214231758	5.63958480747525
14	30.5624716766514	106.528589313541	16.7880042734355	10.909293817778	27.6972980912135	0	119	119	0	0.534689343067524	3.48560124457883
15	37.8963537213945	114.249071059234	25.6995802320855	12.7074369362843	38.4070171683697	0	91	91	0	0.54050550306738	3.01477740837991
16	50.3749537666467	299.301930037763	18.2481897190333	10.5816906416833	28.8298803607166	0	142	142	0	0.713657749253188	5.94148297235622
17	46.8296467874911	336.340252244746	19.2186363661124	10.3708451601346	29.589481526247	0	107	107	0	0.698343008161146	7.18220775337103
18	24.7264729446485	39.7640883589477	16.0344765654878	10.5320787381341	26.5665553036219	0	95	95	0	0.457172924179169	1.60815852903735
19	64.7584628804654	563.77567503087	22.3934938196766	10.806423923987	33.1999177436636	0	90	90	0	0.762454855408467	8.70582237369526
20	37.7544974597315	147.832548252463	20.8597295234146	11.6836928815561	32.5434224049707	0	71	71	0	0.596651255585395	3.91562749339041
21	59.2452694118445	294.373474764952	19.3832888768751	11.5985330402958	30.9818219171709	0	61	61	0	0.729882019893786	4.96872539676728
22	102.906240692925	1033.94541617963	23.8447653029031	12.9299001811197	36.7746654840227	0	59	59	0	0.821306155465387	10.0474510507574
X	18.7276215197389	104.110540338409	12.2946996941566	5.05631983499454	17.3510195291511	0	194	194	0	0.600063830212756	5.55919715852205
Y	80.2716535607219	773.735280729424	17.2084384319461	5.58179916200958	22.7902375939557	0.00446428571428571	26	26	0	0.874924545726672	9.63896028557738
Total	38.4553329416204	346.281251853042	19.6089262815552	11.0115642382924	30.6204905198476	2e-05	3689	3689	0	0.618519041106154	9.00476540870772
