sample,donor
604_B2,604_Hypoxia_PTA
604_B3,604_Hypoxia_PTA
604_B6,604_Hypoxia_PTA
1113_D1,1113_Hypoxia_PTA
1113_E1,1113_Hypoxia_PTA
1113_F1,1113_Hypoxia_PTA
1743_A3,1743_Hypoxia_PTA
1743_C3,1743_Hypoxia_PTA
1743_F3,1743_Hypoxia_PTA
1363_A4,1363_Hypoxia_PTA
1363_D4,1363_Hypoxia_PTA
1363_H4,1363_Hypoxia_PTA
1039,1039_Hypoxia_PTA
1864_M-E3-2n,1864_Normal_PTA
4638_1_A1-2n,4638_Normal_PTA
4638_1_A4-2n,4638_Normal_PTA
4638_1_B2-2n,4638_Normal_PTA
5657_M-D1-2n,5657_Normal_PTA
5657_M-H1-2n,5657_Normal_PTA
5919_1_C4-2n,5919_Normal_PTA
5919_1_D2-2n,5919_Normal_PTA
5919_1_E3-2n,5919_Normal_PTA
5919_1_F6-2n,5919_Normal_PTA
6032_1_A1-2n,6032_Normal_PTA
6032_M-C7-2n,6032_Normal_PTA
6032_M-E7-2n,6032_Normal_PTA
4402_1_A1-2n,4402_Normal_PTA
4402_1_A3-2n,4402_Normal_PTA
1673_CM_A2_2n,1673_Normal_PTA
1673_CM_A3_2n,1673_Normal_PTA
1673_CM_D2_2n,1673_Normal_PTA
5828_CM_C2_2n,5828_Normal_PTA
5828_CM_G2_2n,5828_Normal_PTA
