,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92
Signature N4,0,0,0,0.14019087,0,0.01467141,0,0,0,0,0.056260522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036749918,0,0,0,0.06248912,0,0,0,0,0,0,0,0.045707483,0.120809756,0,0.051781498,0,0,0,0.18327425,0,0,0,0,0,0,0,0,0,0.09284561,0,0,0,0,0,0,0,0,0,0.04232287,0,0,0,0,0.09759858,0,0.03595641,0
Signature N3,0,0.14828861,0,0.105010465,0,0,0,0.036513176,0,0,0.04573655,0,0,0,0,0,0,0.03590089,0,0,0,0.0456541,0,0,0,0.1409689,0,0.012895857,0,0,0,0,0,0,0,0,0.09475014,0.017725725,0,0,0,0,0,0,0,0.010714429,0.10822177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17258102
Signature N2,0,0.0843802,0,0,0,0,0,0.111595586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19600831,0,0,0.022461977,0,0,0.017320909,0,0,0,0,0,0.18405573,0,0.1803964,0,0,0,0,0,0,0,0.075417414,0,0,0,0,0,0.079305194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015938973,0,0,0
Signature N1,0.19290698,0,0.017617933,0,0.7848298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature N4,0.056260522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature N3,0.04573655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature N2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature N1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
