,Signature N2,Signature N1,Signature N3,Signature N4,Signature N2.1,Signature N1.1,Signature N3.1,Signature N4.1,Signature N2.2,Signature N1.2,Signature N3.2,Signature N4.2,Signature N2.3,Signature N1.3,Signature N3.3,Signature N4.3,Signature N2.4,Signature N1.4,Signature N3.4,Signature N4.4,Signature N2.5,Signature N1.5,Signature N3.5,Signature N4.5,Signature N2.6,Signature N1.6,Signature N3.6,Signature N4.6,Signature N2.7,Signature N1.7,Signature N3.7,Signature N4.7,Signature N2.8,Signature N1.8,Signature N3.8,Signature N4.8,Signature N2.9,Signature N1.9,Signature N3.9,Signature N4.9,Signature N2.10,Signature N1.10,Signature N3.10,Signature N4.10,Signature N2.11,Signature N1.11,Signature N3.11,Signature N4.11,Signature N2.12,Signature N1.12,Signature N3.12,Signature N4.12,Signature N2.13,Signature N1.13,Signature N3.13,Signature N4.13,Signature N2.14,Signature N1.14,Signature N3.14,Signature N4.14,Signature N2.15,Signature N1.15,Signature N3.15,Signature N4.15,Signature N2.16,Signature N1.16,Signature N3.16,Signature N4.16,Signature N2.17,Signature N1.17,Signature N3.17,Signature N4.17
4402_A1,0.018822424,0.01596316,0.02745776,0.0,0.20900929,0.04226549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010593121,0.5279125,0.024187477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026487583,0.0,0.0,0.0,0.0,0.0,0.0,0.013010037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05741621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4402_A3,0.0,0.010126551,0.02236346,0.0,0.07945836,0.035421666,0.013388034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7525715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010820639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029619593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1864_E3,0.0,0.63482606,0.0,0.36517388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6032_A1,0.0,0.5969561,0.0,0.40304393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6032_C7,0.0,0.032700304,0.0,0.0,0.1694316,0.020194568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030968266,0.7197859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012978827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6032_E7,0.0,0.0,0.022489723,0.0,0.11697733,0.031943634,0.09984321,0.04147485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58992416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017912615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018254379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638_A1,0.0,0.5454145,0.10511652,0.34946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638_A4,0.0,0.0,0.0,0.0,0.16480893,0.030017313,0.13228278,0.06543417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52495307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010168385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638_B2,0.0,0.010492509,0.0360313,0.0,0.18983415,0.027588654,0.014052914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62830484,0.012370797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022719454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020176034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,0.0,0.01208806,0.06828811,0.0,0.19843896,0.022636345,0.13768482,0.047616545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104215,0.010621256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020632993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01509374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5919_C4,0.0,0.013247762,0.010069044,0.0,0.27787408,0.04270097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01058206,0.5665864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019220391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019553572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5919_D2,0.0,0.0,0.012609254,0.0,0.13835384,0.039475568,0.041660152,0.020669619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6790381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01733002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013484887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
