"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0000268",0.00341253965137954,1,4,4,"peroxisome targeting sequence binding","MF",100,"IHD","PEX7, PEX19, PEX5, BABAM2, PEX5L"
"2","GO:0000724",0.0163315678948035,0.990002873473393,40,160,"double-strand break repair via homologous recombination","BP",25,"IHD","ABL1, BRCA2, CHEK1, FEN1, MCM4, MCM6, RAD51B, RECQL, REV3L, RPA3, YY1, CDC7, RUVBL1, RECQL5, PSMD14, POLQ, ZNF365, KDM1A, SMCHD1, ZFYVE26, SPIDR, ZMYND8, RAD54B, NIPBL, SAMHD1, RNF138, MBTD1, PARPBP, FANCM, INIP, MMS19, SMC6, PALB2, RMI1, SLF1, GINS4, HELB, PPP4R2, RNF169, MCM9, POLN"
"3","GO:0000725",0.00859539634549453,0.994911148809374,42,163,"recombinational repair","BP",25.7668711656442,"IHD","ABL1, BRCA2, CHEK1, FEN1, XRCC6, MCM4, MCM6, RAD51B, RECQL, REV3L, RPA3, XRCC5, YY1, CDC7, RUVBL1, RECQL5, PSMD14, POLQ, ZNF365, KDM1A, SMCHD1, ZFYVE26, SPIDR, ZMYND8, RAD54B, NIPBL, SAMHD1, RNF138, MBTD1, PARPBP, FANCM, INIP, MMS19, HROB, SMC6, PALB2, RMI1, SLF1, GINS4, HELB, PPP4R2, RNF169, MCM9, POLN"
"4","GO:0000727",0.0214617796049688,0.996575165981268,4,12,"double-strand break repair via break-induced replication","BP",33.3333333333333,"IHD","MCM4, MCM6, CDC7, GINS4"
"5","GO:0000932",0.0222119482975209,0.987908384501452,25,94,"P-body","CC",26.5957446808511,"IHD","EIF4E, CNOT2, PSMC2, EIF4E2, PUM1, IGF2BP2, TNRC6B, SYNE1, LSM14A, LSM1, TNRC6A, DCPS, CNOT7, YTHDF2, BTBD1, XRN1, RC3H2, SAMD4B, BTBD2, UBAP2, DIS3L2, RC3H1, AGO3, YTHDF3, ZC3H12D"
"6","GO:0001054",0.0308254081246487,0.996106684994049,3,9,"RNA polymerase I activity","MF",33.3333333333333,"IHD","POLR2F, POLR1A, POLR1D"
"7","GO:0001217",0.0337992403401569,0.976094508272908,57,332,"DNA-binding transcription repressor activity","MF",17.1686746987952,"IHD","ZFHX3, BACH1, BCL6, DACH1, ETV6, FOXO1, NR3C1, HIF1A, HIVEP1, HMX1, SMAD3, MITF, MXI1, NFATC2, NFATC3, NKX6-1, PPARA, SALL1, SATB1, SKI, TFAP2A, TRPS1, YY1, ZBTB14, ZBTB25, ZNF134, ZBTB16, PRDM2, TBX18, ZNF536, DEAF1, ZNF266, SOX30, PRDM5, KLF12, MYT1L, CUX2, ZBTB20, LEF1, BCL11A, PCBP3, SOX6, ZNF77, BACH2, PRDM16, ZNF557, KLF16, ZBTB37, ZBTB45, ZNF439, ZNF554, ZNF684, ZNF558, GLIS3, CC2D1B, ZNF749, ZNF559-ZNF177"
"8","GO:0001222",0.0320492602749968,0.985419278405014,15,45,"transcription corepressor binding","MF",33.3333333333333,"IHD","BCL6, ESR1, ETS1, SMAD3, CNOT2, PBX1, RORA, ZBTB16, EED, NEK6, MTF2, SUZ12, LEF1, WIZ, ZNF644"
"9","GO:0001227",0.0498274230160619,0.964165303858733,54,324,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",16.6666666666667,"IHD","ZFHX3, BACH1, BCL6, DACH1, ETV6, FOXO1, NR3C1, HIVEP1, HMX1, MITF, MXI1, NFATC2, NFATC3, NKX6-1, PPARA, SALL1, SATB1, SKI, TFAP2A, TRPS1, YY1, ZBTB14, ZBTB25, ZNF134, ZBTB16, PRDM2, TBX18, ZNF536, DEAF1, ZNF266, SOX30, PRDM5, KLF12, MYT1L, CUX2, ZBTB20, LEF1, BCL11A, PCBP3, ZNF77, BACH2, PRDM16, ZNF557, KLF16, ZBTB37, ZBTB45, ZNF439, ZNF554, ZNF684, ZNF558, GLIS3, CC2D1B, ZNF749, ZNF559-ZNF177"
"10","GO:0001503",0.0396992499758097,0.969644201667521,93,424,"ossification","BP",21.9339622641509,"IHD","ACVR1, ACVR2B, RHOA, BCL2, BMP6, BMPR1B, CALCR, CASR, RUNX2, RUNX1, CLTC, COL1A2, COL11A1, COL13A1, VCAN, DMP1, EXT1, PTK2B, FBN2, FGR, GLI3, GPLD1, GSK3B, HGF, HIF1A, TNC, ID4, IGFBP5, LOX, LRP5, SMAD3, SMAD6, MATN1, MEF2D, MMP16, MN1, MYF5, NELL1, NF1, ROR2, DDR2, P2RX7, PBX1, PEX7, PPP3CA, PRKACA, PRKD1, MAPK1, PSMC2, PTGER4, PTK2, PTN, RRBP1, RYR1, SKI, SLC8A1, SLC20A2, TFAP2A, TPM4, TUFT1, ZBTB16, FGF18, KL, RASSF2, YAP1, ADAMTS7, CHSY1, SATB2, DNAJC13, NIPBL, WWTR1, FBXO5, GREM1, SND1, INTU, LEF1, ATRAID, SUFU, WWOX, BPNT2, CSGALNACT1, ADCY10, SLC24A3, TNN, SMOC1, XYLT1, ADAMTS12, KREMEN1, ADGRV1, DNAI3, PPARGC1B, ANO6, TAPT1, IGSF10, RSPO2, ZNF664-RFLNA"
"11","GO:0001533",0.0475986951099306,0.978630557279946,11,59,"cornified envelope","CC",18.6440677966102,"IHD","DSC2, DSG1, KRT1, KRT2, NCL, PPL, KLK7, SPRR2F, SCEL, KAZN, SERPINB12"
"12","GO:0001561",0.0312993367037653,0.995265634254372,4,8,"fatty acid alpha-oxidation","BP",50,"IHD","PHYH, SLC25A17, SLC27A2, HAO1"
"13","GO:0001637",0.00391528255810655,0.999305734219303,6,26,"G protein-coupled chemoattractant receptor activity","MF",23.0769230769231,"IHD","CCR6, CCR7, ACKR2, CMKLR1, XCR1, CXCR1"
"14","GO:0001654",0.0220042290850471,0.98360544284514,99,385,"eye development","BP",25.7142857142857,"IHD","ACVR2B, ATP2B2, BBS4, BCL2, BFSP1, BMP6, BMPR1B, CACNA1C, CALB1, COL8A1, DLG1, DRD2, DSCAM, EPHB1, FAT1, FBN1, FBN2, FGF10, FLT1, GLI3, GPM6A, HIF1A, LRP5, SMAD3, MAN2A1, MEIS2, MIP, MITF, MYF5, NF1, NFIA, NFIB, NRL, PBX1, PBX3, PDE6C, PFDN5, PTPRM, RARB, RHO, RP1, SKI, SOS1, TFAP2A, TGFBR2, THRB, TUB, WNT2, WNT7A, WT1, YY1, PXDN, BCAR3, MYOM1, LARGE1, MFN2, KERA, PLAAT3, XRN2, ZHX2, ATF6, TTLL5, SIPA1L3, CRB1, NIPBL, IFT172, STAU2, B9D1, CPAMD8, SCAPER, WDPCP, ATP8A2, SDK2, AHI1, DZANK1, CHD7, TENM3, CELF4, NEUROD4, SMOC1, TMEM135, PHACTR4, GRHL2, CEP290, DTNBP1, MEGF11, NKD1, OLFM3, FAT3, CRYBG3, SPRED1, ADAMTS18, VSTM4, SPRED2, TBC1D32, SDK1, SLC17A8, LAMA1, ABCB5, FREM2, HCN1"
"15","GO:0001730",0.0408871536903136,0.998194323978548,2,3,"2'-5'-oligoadenylate synthetase activity","MF",66.6666666666667,"IHD","OAS1, OAS2"
"16","GO:0001772",0.0228833646335871,0.99030353767485,14,44,"immunological synapse","CC",31.8181818181818,"IHD","ALCAM, RHOH, CD53, DLG1, MYH9, NEDD9, PRKAR1A, PTPRJ, ZAP70, STX7, SKAP1, PDCD6IP, VAV3, LAT"
"17","GO:0001833",0.0383416383943752,0.991069366220137,5,14,"inner cell mass cell proliferation","BP",35.7142857142857,"IHD","BRCA2, CHEK1, PALB2, NDEL1, GINS4"
"18","GO:0001848",0.0333738583132737,0.989672068311709,7,25,"complement binding","MF",28,"IHD","C8A, CD59, CR1, CFH, CFHR2, CFHR4, MEGF10"
"19","GO:0001906",0.0238825869588477,0.985638600680475,30,216,"cell killing","BP",13.8888888888889,"IHD","B2M, C5, C6, C7, C8A, CD59, CR1, CR1L, CD55, ATN1, GBP3, CFH, CFHR2, MR1, HTN1, KLRD1, MUC7, P2RX7, PTPRC, NECTIN2, RAB27A, SYK, STX7, CD226, LILRB1, CADM1, CYRIB, SLAMF6, GBP5, PIK3R6, GBP7, DEFB132"
"20","GO:0001996",0.04038678817266,0.995986993928704,3,5,"positive regulation of heart rate by epinephrine-norepinephrine","BP",60,"IHD","ADRA1B, ADRA1A, PDE4D"
