"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0000255",0.0449013376934953,0.993407430130456,3,9,"allantoin metabolic process","BP",33.3333333333333,"Control","XDH, GDA, ALLC"
"2","GO:0000812",0.0302606502879667,0.994501853799192,4,13,"Swr1 complex","CC",30.7692307692308,"Control","RUVBL1, CFDP1, EP400, ANP32E"
"3","GO:0001539",0.0117051501710332,0.99362349564029,28,141,"cilium or flagellum-dependent cell motility","BP",19.8581560283688,"Control","BBS4, DNAH5, DNAH6, DNAH8, DNAH9, RFX3, TACR1, TACR3, DNAH11, CEP131, VPS13A, CFAP45, DNAH1, DDX4, ROPN1, CFAP46, DNAH3, DNAH7, TEKT3, SPAG16, TEX101, EFHC1, CATSPER1, CCDC38, DNHD1, CFAP54, SLC9B1, TCTE1, PRSS55, CATSPERE"
"4","GO:0001911",0.0288981062403494,0.994216569366265,4,26,"negative regulation of leukocyte mediated cytotoxicity","BP",15.3846153846154,"Control","FCGR2B, HLA-G, KLRD1, PTPRC"
"5","GO:0001915",0.00314230050853127,0.999734484567681,4,10,"negative regulation of T cell mediated cytotoxicity","BP",40,"Control","FCGR2B, HLA-G, KLRD1, PTPRC"
"6","GO:0001966",0.0489748689005349,0.997602033031009,2,3,"thigmotaxis","BP",66.6666666666667,"Control","EP300, SCN11A"
"7","GO:0001974",0.0111961342620202,0.996052883465673,11,50,"blood vessel remodeling","BP",22,"Control","BCR, BMPR2, DBH, EXT1, RBPJ, MDM2, NPR3, ATG5, SEMA3C, CRB1, TMBIM1"
"8","GO:0002062",0.0482923712717192,0.972392051255593,21,108,"chondrocyte differentiation","BP",19.4444444444444,"Control","BMPR1B, BMPR2, RUNX2, RUNX1, RUNX3, ATF2, MAPK14, EXT1, EXT2, RARB, SHOX2, SOX5, TGFBR2, WNT2B, ZBTB16, HMGA2, FGF18, SULF1, CHST11, SOX6, LNPK, ADAMTS12, ZNF664-RFLNA"
"9","GO:0002063",0.0129845165626888,0.996089606606991,9,29,"chondrocyte development","BP",31.0344827586207,"Control","BMPR1B, BMPR2, RUNX2, EXT1, SHOX2, TGFBR2, FGF18, SULF1, CHST11, ZNF664-RFLNA"
"10","GO:0002220",0.04214286329178,0.979752258782221,13,88,"innate immune response activating cell surface receptor signaling pathway","BP",14.7727272727273,"Control","EP300, FYN, IKBKB, KLRD1, LYN, PAK1, PLCG2, PRKCE, TLR5, RIPK2, COLEC10, CLEC6A, PIK3AP1"
"11","GO:0002223",0.00442565690803866,0.999018531891103,8,23,"stimulatory C-type lectin receptor signaling pathway","BP",34.7826086956522,"Control","EP300, FYN, IKBKB, KLRD1, LYN, PAK1, PLCG2, CLEC6A"
"12","GO:0002262",0.0480956912395754,0.97130939513045,23,169,"myeloid cell homeostasis","BP",13.6094674556213,"Control","BPGM, CDK6, MAPK14, ETS1, FOXO3, HCLS1, HMGB1, INPP5D, KCNQ1, LYN, KITLG, PDE4B, PIK3CD, RHAG, ADAM17, MERTK, RCOR1, HIPK2, P4HTM, HAMP, SMAP1, L3MBTL3, CDIN1, ADGRF5"
"13","GO:0002429",0.0470174088607942,0.968341686050267,38,288,"immune response-activating cell surface receptor signaling pathway","BP",13.1944444444444,"Control","ABL1, CACNB4, CBLB, CD22, CD38, EP300, FCGR2B, FYB1, FYN, GRB2, IKBKB, INPP5D, KLRD1, LYN, PAK1, PDE4B, PDE4D, PIK3CD, PLCG2, PRKCE, PRKCH, PTPRC, SOS1, TEC, TLR5, VAV1, VAV2, RIPK2, EIF2B3, VAV3, COLEC10, SH2B2, BANK1, SLC39A10, MYO1G, CARD11, CLEC6A, PIK3AP1, THEMIS"
"14","GO:0002431",0.0106106651923137,0.996560429248103,11,31,"Fc receptor mediated stimulatory signaling pathway","BP",35.4838709677419,"Control","ABL1, FCGR2B, FYN, LYN, PAK1, PRKCE, PTPRC, VAV1, VAV2, VAV3, MYO1G"
"15","GO:0002433",0.00326893682676525,0.999162665687188,11,25,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","BP",44,"Control","ABL1, FCGR2B, FYN, LYN, PAK1, PRKCE, PTPRC, VAV1, VAV2, VAV3, MYO1G"
"16","GO:0002437",0.0387166578828428,0.983608647675296,10,77,"inflammatory response to antigenic stimulus","BP",12.987012987013,"Control","CD6, MAPK14, EXT1, FCER1A, FCGR2B, FYN, HMGB1, RBPJ, LYN, IL31RA"
"17","GO:0002438",0.0214330924541108,0.995253050933187,5,24,"acute inflammatory response to antigenic stimulus","BP",20.8333333333333,"Control","CD6, EXT1, FCER1A, FCGR2B, IL31RA"
"18","GO:0002461",0.0178312483691854,0.999127314643712,2,6,"tolerance induction dependent upon immune response","BP",33.3333333333333,"Control","HLA-G, PSG9"
"19","GO:0002507",0.00628104071725634,0.998591104107243,7,28,"tolerance induction","BP",25,"Control","CBLB, HLA-G, HMGB1, LYN, PSG9, TGFBR2, ICOS"
"20","GO:0002514",0.0135903937645329,0.999673084332457,2,3,"B cell tolerance induction","BP",66.6666666666667,"Control","HLA-G, TGFBR2"
"21","GO:0002526",0.0208096643655291,0.990872791180549,13,105,"acute inflammatory response","BP",12.3809523809524,"Control","ALOX5AP, CD6, EDNRB, EXT1, FCER1A, FCGR2B, SERPINF2, TNFSF11, PTGES, SCN11A, MYLK3, REG3G, IL31RA"
"22","GO:0002694",0.00545791302136217,0.996326721336218,70,580,"regulation of leukocyte activation","BP",12.0689655172414,"Control","ABL1, RHOH, BCR, RUNX1, RUNX3, CBLB, CD6, CD22, CD38, CHRNB2, DLG1, EPHB2, FANCD2, FCGR2B, FER, FOXO3, FYN, HLA-G, HMGB1, HES1, INPP5D, KLRD1, LMO1, LYN, KITLG, MLH1, CD200, MSH2, NEDD9, PLA2G4A, PRKAR1A, PSG9, PTPRC, RORA, SDC4, SMARCC1, SMARCD1, SOS1, SPTA1, TACR1, ZEB1, TGFBR2, VAV1, ZBTB16, TNFSF11, PDE5A, RIPK2, DLG5, TOX, VAV3, MERTK, PAXIP1, TMEM131L, HAVCR1, BRD7, ICOS, BANK1, PCID2, C12orf4, ZMIZ1, SLC39A10, HAMP, SAMSN1, RASSF5, CARD11, DAPL1, CLNK, IL31RA, LRFN5, ADGRF5, IL27"
"23","GO:0002695",0.0128492162305291,0.992976755667415,26,197,"negative regulation of leukocyte activation","BP",13.1979695431472,"Control","BCR, RUNX1, RUNX3, CBLB, DLG1, FCGR2B, FER, HLA-G, HMGB1, INPP5D, LYN, CD200, PRKAR1A, PTPRC, SDC4, PDE5A, DLG5, MERTK, TMEM131L, BANK1, SAMSN1, RASSF5, DAPL1, CLNK, IL31RA, LRFN5, ADGRF5"
"24","GO:0002764",0.0484779761384382,0.964869102941233,55,456,"immune response-regulating signaling pathway","BP",12.0614035087719,"Control","ABL1, CACNB4, CBLB, CD22, CD38, CYLD, EP300, ESR1, FCER1A, FCGR2B, FER, FYB1, FYN, GFI1, GRB2, HLA-G, HMGB1, IKBKB, INPP5D, KLRD1, LYN, PAK1, PDE4B, PDE4D, PIK3CD, PLCG2, PRKCE, PRKCH, MAP2K6, PSG9, PTPRC, SOS1, TEC, TLR5, VAV1, VAV2, RIPK2, EIF2B3, AIM2, TNIP1, VAV3, COLEC10, SH2B2, PUM2, FBXL2, ZDHHC5, LSM14A, BANK1, SLC39A10, MYO1G, RNF135, CARD11, CLEC6A, PIK3AP1, REG3G, THEMIS"
"25","GO:0002765",0.0176246448262304,0.998104406896972,3,11,"immune response-inhibiting signal transduction","BP",27.2727272727273,"Control","HLA-G, LYN, PSG9"
"26","GO:0002767",0.00685483504515572,0.999510879922546,3,9,"immune response-inhibiting cell surface receptor signaling pathway","BP",33.3333333333333,"Control","HLA-G, LYN, PSG9"
"27","GO:0002768",0.0298898086713314,0.980142978399877,42,315,"immune response-regulating cell surface receptor signaling pathway","BP",13.3333333333333,"Control","ABL1, CACNB4, CBLB, CD22, CD38, EP300, FCER1A, FCGR2B, FER, FYB1, FYN, GRB2, HLA-G, IKBKB, INPP5D, KLRD1, LYN, PAK1, PDE4B, PDE4D, PIK3CD, PLCG2, PRKCE, PRKCH, PSG9, PTPRC, SOS1, TEC, TLR5, VAV1, VAV2, RIPK2, EIF2B3, VAV3, COLEC10, SH2B2, BANK1, SLC39A10, MYO1G, CARD11, CLEC6A, PIK3AP1, THEMIS"
"28","GO:0002774",0.0380873163665012,0.997404516995244,2,5,"Fc receptor mediated inhibitory signaling pathway","BP",40,"Control","LYN, PSG9"
"29","GO:0003007",0.00514907309062819,0.99694137379768,44,258,"heart morphogenesis","BP",17.0542635658915,"Control","APC, BMPR2, CDC42, ATF2, DSP, EXT1, EYA1, FGFR2, NRG1, HES1, RBPJ, INSR, LRP2, SMAD2, MDM2, MYL2, ROBO1, ROBO2, RYR1, RYR2, SHOX2, SLIT3, SOS1, TBX5, TGFB2, TGFBR2, TTN, DNAH11, NRP2, SLIT2, HAND2, DLC1, SEMA3C, LBX1, CLUAP1, ZFPM2, FLRT2, NIPBL, C2CD3, IFT57, TBX20, ZMIZ1, XIRP2, ASXL1"
"30","GO:0003015",0.0224155970703863,0.985209083592686,47,253,"heart process","BP",18.5770750988142,"Control","ANK2, ATP2B2, CACNA1D, CACNA2D1, CASQ2, CDC42, CHRM2, CXADR, DLG1, DSP, EDNRB, EXT1, EXT2, FGF12, FYN, KCND2, KCNE1, KCNN2, KCNQ1, MDM2, MEF2A, MYL2, PDE4B, PDE4D, MAP2K6, RPS6KA2, RYR2, SCN1A, SHOX2, SLC4A3, SLC8A3, TACR3, TBX5, TGFB2, THRB, TTN, PDE5A, ATG5, NOS1AP, TRDN, CELF2, AKAP13, NEDD4L, CTNNA3, NOX4, SGCZ, TMEM65"
"31","GO:0003148",0.0123840125007768,0.996301757774393,10,24,"outflow tract septum morphogenesis","BP",41.6666666666667,"Control","FGFR2, LRP2, ROBO1, ROBO2, TGFB2, TGFBR2, NRP2, SEMA3C, ZFPM2, TBX20"
