"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0001725",0.0175337822978324,0.99891111214237,2,65,"stress fiber","CC",3.07692307692308,"Control","FLNB, XIRP2"
"2","GO:0001818",0.00576367612824038,0.99925637589571,4,371,"negative regulation of cytokine production","BP",1.07816711590296,"Control","FXR1, ATG12, CARD18, SSC5D"
"3","GO:0002027",0.0364509294867152,0.996627813245555,2,102,"regulation of heart rate","BP",1.96078431372549,"Control","DSP, SHOX2"
"4","GO:0003007",0.0230013990675485,0.995560559497064,4,258,"heart morphogenesis","BP",1.55038759689922,"Control","DSP, SHOX2, TTN, XIRP2"
"5","GO:0003013",0.0453741790235574,0.987031323381348,5,595,"circulatory system process","BP",0.840336134453782,"Control","DSP, NPR3, SCN1A, SHOX2, TTN"
"6","GO:0003015",0.0167349958879088,0.997065327679754,4,253,"heart process","BP",1.58102766798419,"Control","DSP, SCN1A, SHOX2, TTN"
"7","GO:0003205",0.0184094548998304,0.99766726751143,3,166,"cardiac chamber development","BP",1.80722891566265,"Control","DSP, SHOX2, XIRP2"
"8","GO:0003382",0.00724987437003123,0.999722399962368,2,33,"epithelial cell morphogenesis","BP",6.06060606060606,"Control","FLNB, PKHD1"
"9","GO:0005044",0.00315109353412697,0.999922216265176,2,27,"scavenger receptor activity","MF",7.40740740740741,"Control","MEGF10, SSC5D"
"10","GO:0005770",0.0399088056179294,0.993168835121794,3,295,"late endosome","CC",1.01694915254237,"Control","GRIN2B, STEAP3, VPS16"
"11","GO:0005776",0.0366217226045865,0.996599214991918,2,112,"autophagosome","CC",1.78571428571429,"Control","ATG12, VPS16"
"12","GO:0005891",0.0202456642066205,0.998651127703341,2,52,"voltage-gated calcium channel complex","CC",3.84615384615385,"Control","SCN1A, CATSPERG"
"13","GO:0007517",4.09568338880277e-05,0.999995106091379,8,338,"muscle organ development","BP",2.36686390532544,"Control","DSP, FLNB, SHOX2, TTN, FXR1, GPCPD1, MEGF10, XIRP2"
"14","GO:0007519",0.00105922196668962,0.999915164576134,4,159,"skeletal muscle tissue development","BP",2.51572327044025,"Control","FLNB, SHOX2, GPCPD1, MEGF10"
"15","GO:0008015",0.0239447947598419,0.994229223545858,5,510,"blood circulation","BP",0.980392156862745,"Control","DSP, NPR3, SCN1A, SHOX2, TTN"
"16","GO:0008544",0.0145491627534898,0.997545860301344,4,373,"epidermis development","BP",1.07238605898123,"Control","DSP, FLNB, KRT3, SGPP1"
"17","GO:0009913",0.00260748757701513,0.999731527780194,4,237,"epidermal cell differentiation","BP",1.68776371308017,"Control","DSP, FLNB, KRT3, SGPP1"
"18","GO:0009925",0.0496611330522859,0.990737650515666,3,278,"basal plasma membrane","CC",1.07913669064748,"Control","CDH16, DSP, RHCG"
