"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes","BP_group"
"1","GO:0003007",0.00514907309062819,0.99694137379768,44,258,"heart morphogenesis","BP",17.0542635658915,"Control","APC, BMPR2, CDC42, ATF2, DSP, EXT1, EYA1, FGFR2, NRG1, HES1, RBPJ, INSR, LRP2, SMAD2, MDM2, MYL2, ROBO1, ROBO2, RYR1, RYR2, SHOX2, SLIT3, SOS1, TBX5, TGFB2, TGFBR2, TTN, DNAH11, NRP2, SLIT2, HAND2, DLC1, SEMA3C, LBX1, CLUAP1, ZFPM2, FLRT2, NIPBL, C2CD3, IFT57, TBX20, ZMIZ1, XIRP2, ASXL1","Development & Morpogenesis"
"2","GO:0003205",0.0323456709161326,0.980129358930616,31,166,"cardiac chamber development","BP",18.6746987951807,"Control","AP2B1, ANK2, BMPR2, DSP, FGFR2, NRG1, HES1, RBPJ, LRP2, MDM2, MYL2, ROBO1, ROBO2, RYR2, SHOX2, SLIT3, SOS1, TBX5, TGFB2, TGFBR2, DNAH11, NRP2, SLIT2, HAND2, SEMA3C, ZFPM2, TBX20, STRA6, GREB1L, XIRP2, TMEM65","Development & Morpogenesis"
"3","GO:0003382",0.516680741936727,0.659409438038923,6,33,"epithelial cell morphogenesis","BP",18.1818181818182,"Control","FLNB, PKHD1, PALLD, SIPA1L3, ARHGEF26, RILPL1","Development & Morpogenesis"
"4","GO:0007517",0.114377070890037,0.914337672259301,46,338,"muscle organ development","BP",13.6094674556213,"Control","ZFHX3, CHD2, COL19A1, MAPK14, DSP, EP300, EPHB1, FGFR2, FLNB, NRG1, RBPJ, ITGB1, LAMA2, LRP2, MEF2A, MYL2, NEB, PAX3, RYR1, RYR2, SHOX2, SVIL, TCF12, TGFB2, TTN, FXR1, DPF3, YBX3, LARGE1, HDAC9, LBX1, SCN11A, ZNF609, ZFPM2, SFMBT1, RBFOX1, SOX6, GPCPD1, TBX20, JPH2, STRA6, AKIRIN1, ARID5B, MEGF10, XIRP2, CHODL, KY","Development & Morpogenesis"
"5","GO:0007519",0.818326482930996,0.262121263607637,14,159,"skeletal muscle tissue development","BP",8.80503144654088,"Control","COL19A1, MAPK14, EP300, EPHB1, FLNB, RYR1, SHOX2, SVIL, YBX3, LARGE1, HDAC9, RBFOX1, GPCPD1, AKIRIN1, MEGF10","Development & Morpogenesis"
"6","GO:0009913",0.658863737520942,0.431817951340575,19,237,"epidermal cell differentiation","BP",8.0168776371308,"Control","BCR, GSDME, DSP, FLNB, HES1, RBPJ, KCNQ1, KRT3, PRKCH, USH2A, PALLD, KAZN, ABCA12, GRHL1, WDPCP, MACROH2A2, FA2H, SGPP1, TMEM132E, REG3G, GRXCR1","Development & Morpogenesis"
"7","GO:0016197",0.590616787487397,0.489306434794124,28,228,"endosomal transport","BP",12.280701754386,"Control","ABCA1, ACTN2, MYO5B, PRKN, SNX1, EVI5, STAM, PICALM, RAB11FIP3, TBC1D5, ERC1, DENND5A, GRIP1, ACAP2, HEATR5A, SNX5, ARFIP1, ZDHHC2, ANKFY1, ARL8B, LAPTM4B, VPS50, LRRC7, RIC1, DENND1A, VPS16, TMEM87B, REPS1, VPS37A, SNX30","Vesicle Tranportation"
"8","GO:0030216",0.661776706093259,0.451622509773364,12,172,"keratinocyte differentiation","BP",6.97674418604651,"Control","BCR, DSP, FLNB, RBPJ, KRT3, PRKCH, PALLD, KAZN, ABCA12, GRHL1, MACROH2A2, SGPP1, REG3G","Development & Morpogenesis"
"9","GO:0030855",0.364899979984253,0.682102728362723,71,724,"epithelial cell differentiation","BP",9.80662983425414,"Control","ABL1, AKT2, BCR, BMPR2, CDC42, CDH2, CDK6, GSDME, DMRT1, DSP, EDNRB, ERBB4, ESR1, EXT1, FER, FGFR2, FLNB, FRZB, RAPGEF1, NRG1, ONECUT1, HES1, RBPJ, IKBKB, KCNE1, KCNQ1, KRT3, SMAD2, MYO1E, MYO9A, PDE4D, PKHD1, PRKCH, RAP1A, RARB, RFX3, SKIL, ZEB1, THRB, TJP1, USH2A, XDH, DLG5, PTER, ONECUT2, RAPGEF2, MAGI2, RBBP9, PALLD, SIPA1L3, PLCB1, KAZN, PPP1R16B, ARHGEF26, ABCA12, TJP3, GRHL1, WDPCP, RHCG, MACROH2A2, AJAP1, RPTOR, FA2H, CEP63, SGPP1, LBH, TMEM132E, REG3G, IL31RA, E2F7, ASXL1, RILPL1, GRXCR1","Development & Morpogenesis"
"10","GO:0034330",0.00370472541121716,0.997220253355777,160,744,"cell junction organization","BP",21.505376344086,"Control","ABL1, ASIC2, ACTN2, ANK2, ANK3, APBB2, APC, ADGRB3, BCR, CACNB4, CAMK2B, CD9, CDC42, CDH1, CDH2, CDH4, CDH7, CDH8, CDH11, CDH12, CDH13, CDH18, CHRNB2, COL17A1, MAPK14, CTNNA1, CTNNA2, CTNND2, CXADR, DLG1, DSCAM, DSG1, DSP, EFNA5, EPHA3, EPHA4, EPHB1, EPHB2, ERBB4, EXT1, FCGR2B, FER, FYN, GABRG2, GPM6A, RAPGEF1, GRIA1, GRID1, GRID2, GRIN2B, TNC, IKBKB, INSR, ITGB1, LMX1A, MAPT, MUSK, MYO9A, NEDD9, ROR2, PKHD1, PLXNB1, PRKCA, PRKCH, RELN, PTPRD, PTPRK, RAP1A, REST, ROBO2, SDC4, SLC8A3, TBX5, TGFB2, THBS2, TIAM1, TJP1, TLN1, UGT8, ST8SIA2, PPFIBP2, PPFIA2, PKP4, NUMB, NRP2, ARHGEF7, LARGE1, DLG5, TAOK2, NRXN1, NTN1, RAPGEF2, NOS1AP, SEMA3E, SPOCK2, IQSEC1, PATJ, CORO2B, DLC1, TESK2, SORBS1, PDLIM5, PTPRT, LZTS1, NTNG1, NLGN1, SHANK2, LIMCH1, UNC13A, ERC1, DIP2A, ADGRL3, CUX2, CLASP1, PIP5K1C, SEZ6L, CD2AP, FLRT2, SIPA1L1, CNTNAP2, DNM3, ERC2, TANC2, STAU2, TJP3, FILIP1, PCLO, CDH20, GRHL1, EEF2K, ASAP1, SHANK1, WDPCP, ABHD17B, ZDHHC2, CNTN5, SDK2, DOCK10, LRFN2, GPR158, LRRC4C, ABHD17C, CDH26, CLSTN2, TMEM108, ARHGAP39, DTNBP1, KIRREL3, TANC1, PHLDB2, ZNF804A, XIRP2, FRMPD2, PLEKHA7, LRFN5, LINGO2, HIPK1, SDK1, CDHR3, NEGR1, KY, UNC13C","Cell Matrix Adhesion"
