"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0000002",0.530571130583228,0.703532929364255,3,29,"mitochondrial genome maintenance","BP",10.3448275862069,"Control","MEF2A, RRM1, PPARGC1A"
"2","GO:0000003",0.309086558466964,0.721639064273196,155,1435,"reproduction","BP",10.801393728223,"Control","ACR, BBS4, BMPR1B, BMPR2, BRDT, CA12, CD9, CD38, CDC25A, CFTR, CTNNA1, CXADR, BRINP1, DBH, DLG1, DMRT1, DNAH5, DSG1, EDNRB, PHC2, ESR1, FANCD2, FER, FGFR2, ADAM2, GABRB1, GFRA1, HPGD, TNC, IGF2R, RBPJ, INSR, ITGB1, KCNE1, LRP2, KITLG, MLH1, MSH2, NELL2, ROR2, OPRK1, ORC4, PAPPA, PARN, SERPINE2, PRKG1, MAP2K6, PSG9, PTGFR, RAD51B, RFX2, ROBO2, RPS6KA2, RRM1, SKIL, SLIT3, SMARCC1, SOS1, SPAG1, SPAM1, SRPK1, SYCP1, TACR1, TACR3, TAF4, TGFB2, THRB, WNT2B, ZBTB16, ZNF148, FXR1, YBX3, RUVBL1, UNC5C, PDE5A, EIF4G3, DNAH11, EXO1, LARGE1, SLIT2, SELENOF, CYP7B1, CDYL, QKI, ACTR3, LHFPL2, TESK2, MERTK, SLC38A3, CEP131, RIMS1, SETX, MAST2, SULF1, VPS13A, PLCB1, SYNE1, SUN1, ZFPM2, OSBP2, CFAP45, NIPBL, DNAH1, RAI14, STAU2, SFMBT1, CLIC5, DDX4, ROPN1, TESC, FMN2, LHX9, STOX2, ZMIZ1, DHX37, CATSPERG, DMRT3, RXFP1, STRA6, GMCL1, CSMD1, TEKT3, CCDC136, NOX5, SPAG16, GREB1L, KIF18A, SLC25A31, TEX101, IMMP2L, BRIP1, USP42, ARID5B, KDM2B, ZNF628, CATSPER1, CCDC38, TDRD9, SPATA17, ADAD1, MROH2B, DNHD1, E2F7, CFAP54, SLC9B1, HORMAD2, KCNU1, SHOC1, ADAMTS16, COX7B2, SPAG17, TCTE1, PRSS55, ADAM32, PDILT, ANKRD31, CATSPERE, SEPTIN14, MEIKIN, RNF212B, MEI4"
"3","GO:0000010",0.0701698262004876,1,2,2,"trans-hexaprenyltranstransferase activity","MF",100,"Control","PDSS1, PDSS2"
"4","GO:0000012",0.690584947546466,0.692558498482236,1,11,"single strand break repair","BP",9.09090909090909,"Control","ERCC8"
"5","GO:0000014",0.561263962971764,0.817332136673382,1,9,"single-stranded DNA endodeoxyribonuclease activity","MF",11.1111111111111,"Control","DCLRE1C"
"6","GO:0000018",0.658248510255969,0.467911529005217,10,112,"regulation of DNA recombination","BP",8.92857142857143,"Control","ABL1, BLM, MLH1, MSH2, PTPRC, RUVBL1, PAXIP1, SPIDR, EP400, ZRANB3"
"7","GO:0000019",0.378501655962547,0.929163884724503,1,6,"regulation of mitotic recombination","BP",16.6666666666667,"Control","MLH1"
"8","GO:0000022",0.585700360725989,0.793192926274646,1,12,"mitotic spindle elongation","BP",8.33333333333333,"Control","AURKB"
"9","GO:0000027",0.267321501266483,0.922409187606124,2,23,"ribosomal large subunit assembly","BP",8.69565217391304,"Control","BOP1, RPF2"
"10","GO:0000030",0.969183986709143,0.1459766572295,1,25,"mannosyltransferase activity","MF",4,"Control","TMTC2"
"11","GO:0000038",0.871965566056803,0.316720653564799,2,35,"very long-chain fatty acid metabolic process","BP",5.71428571428571,"Control","SLC27A2, TECRL"
"12","GO:0000041",0.6098489854942,0.534733029104977,8,96,"transition metal ion transport","BP",8.33333333333333,"Control","STEAP3, SLC39A10, TTYH1, HAMP, SLC30A8, SLC39A12, SCARA5, HEPHL1"
"13","GO:0000045",0.470233199912344,0.645160103757119,13,111,"autophagosome assembly","BP",11.7117117117117,"Control","LRBA, EPHB2, PIK3C3, MTMR3, ATG12, ATG5, ULK2, RAB3GAP1, TBC1D12, SCFD1, STX17, ATG10, SNX30"
"14","GO:0000049",0.679470279415164,0.495414220242469,5,65,"tRNA binding","MF",7.69230769230769,"Control","NEMF, AIMP1, FARS2, MTRES1, EEFSEC, CTU1"
"15","GO:0000062",0.830121876429511,0.487429158393846,1,17,"fatty-acyl-CoA binding","MF",5.88235294117647,"Control","ACOT7"
"16","GO:0000070",0.79056025286663,0.293016586702776,15,176,"mitotic sister chromatid segregation","BP",8.52272727272727,"Control","APC, MYBL2, TTN, ZNF207, AURKB, SPAG5, CHEK2, CLASP1, NIPBL, LSM14A, INO80, PINX1, PCID2, PSMG2, KIF18A, ABRAXAS1"
