"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes","GO_Group"
"1","GO:0001725",0.00160948951003723,0.999973119329088,2,65,"stress fiber","CC",3.07692307692308,"Control","FLNB, XIRP2","Cytoskeletal Organization"
"2","GO:0003007",0.00694784871866959,0.999447395343009,3,258,"heart morphogenesis","BP",1.16279069767442,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"3","GO:0003205",0.012180550561194,0.999415419511447,2,166,"cardiac chamber development","BP",1.20481927710843,"Control","DSP, XIRP2","Heart Muscle Development"
"4","GO:0003231",0.00691535770443931,0.999753526022773,2,125,"cardiac ventricle development","BP",1.6,"Control","DSP, XIRP2","Heart Muscle Development"
"5","GO:0003729",0.0497445004513065,0.99489407934097,2,595,"mRNA binding","MF",0.336134453781513,"Control","FXR1, SECISBP2L","mRNA Binding"
"6","GO:0003730",0.0096292906628791,0.999589984554808,2,256,"mRNA 3'-UTR binding","MF",0.78125,"Control","FXR1, SECISBP2L","mRNA Binding"
"7","GO:0003779",0.019846160276748,0.997660989096377,3,426,"actin binding","MF",0.704225352112676,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"8","GO:0005198",0.0364657317137093,0.99455112133188,3,694,"structural molecule activity","MF",0.432276657060519,"Control","DSP, TTN, PCLO","Cytoskeletal Organization"
"9","GO:0005509",0.0469954553514311,0.992230497254215,3,693,"calcium ion binding","MF",0.432900432900433,"Control","PPP2R3A, TTN, PCLO","Contractility"
"10","GO:0005925",0.0481962282610243,0.995143353845955,2,416,"focal adhesion","CC",0.480769230769231,"Control","FLNB, XIRP2","Cell Junction"
"11","GO:0006417",0.047923108425245,0.995182991373864,2,513,"regulation of translation","BP",0.389863547758285,"Control","FXR1, SECISBP2L","Contractility"
"12","GO:0006941",0.0426753821558719,0.995995079578191,2,181,"striated muscle contraction","BP",1.10497237569061,"Control","DSP, TTN","Contractility"
"13","GO:0007507",0.0389615715922334,0.994025963876413,3,596,"heart development","BP",0.503355704697987,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"14","GO:0007517",3.73095311839098e-06,0.999999852363071,6,338,"muscle organ development","BP",1.77514792899408,"Control","DSP, FLNB, TTN, FXR1, GPCPD1, XIRP2","Heart Muscle Development"
"15","GO:0007519",0.00773789699914097,0.999706937455767,2,159,"skeletal muscle tissue development","BP",1.25786163522013,"Control","FLNB, GPCPD1","Heart Muscle Development"
"16","GO:0008544",0.0314292417130908,0.99749262703315,2,373,"epidermis development","BP",0.536193029490617,"Control","DSP, FLNB","Heart Muscle Development"
"17","GO:0009913",0.0124450455132837,0.999394384406491,2,237,"epidermal cell differentiation","BP",0.843881856540084,"Control","DSP, FLNB","Morphogenesis"
"18","GO:0014706",0.00831406838898523,0.999293842397633,3,259,"striated muscle tissue development","BP",1.15830115830116,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"19","GO:0016197",0.0160009373378704,0.999111579922174,2,228,"endosomal transport","BP",0.87719298245614,"Control","ACAP2, RIC1","Tranportation"
"20","GO:0030016",0.000769606023697874,0.99995117491026,4,233,"myofibril","CC",1.71673819742489,"Control","FLNB, TTN, FXR1, XIRP2","Cytoskeletal Organization"
"21","GO:0030017",0.00713318315410151,0.999428050545472,3,213,"sarcomere","CC",1.40845070422535,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"22","GO:0030018",0.00388309667932443,0.999751493453253,3,131,"Z disc","CC",2.29007633587786,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"23","GO:0030029",0.00131386582914941,0.999869175666381,5,778,"actin filament-based process","BP",0.6426735218509,"Control","DSP, FLNB, TTN, ACAP2, XIRP2","Cytoskeletal Organization"
"24","GO:0030036",0.042709311670271,0.99320483215379,3,689,"actin cytoskeleton organization","BP",0.435413642960813,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"25","GO:0031674",0.00417698019347047,0.999725207795868,3,145,"I band","CC",2.06896551724138,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"26","GO:0032432",0.00187525596995727,0.999966081693387,2,71,"actin filament bundle","CC",2.8169014084507,"Control","FLNB, XIRP2","Cytoskeletal Organization"
"27","GO:0034330",0.0302800778117817,0.995793069210974,3,744,"cell junction organization","BP",0.403225806451613,"Control","DSP, PCLO, XIRP2","Cytoskeletal Organization"
