"","x"
"1","LINC01389"
"2","LINC00466"
"3","ERICH3-AS1"
"4","TRIM33"
"5","PTGFRN"
"6","OR6K2"
"7","EEF1AKNMT"
"8","CACNA1E"
"9","RASSF5"
"10","ESRRG"
"11","TAF5L"
"12","ADAM17"
"13","TRIB2"
"14","LTBP1"
"15","SLC8A1-AS1"
"16","NRXN1"
"17","WDPCP"
"18","TACR1"
"19","LRRTM4"
"20","CLASP1"
"21","THSD7B"
"22","MBD5"
"23","FIGN"
"24","NAB1"
"25","ERBB4"
"26","ING5"
"27","GRM7"
"28","KCNH8"
"29","ERC2"
"30","SNTN"
"31","MAGI1"
"32","CADM2"
"33","EPHA3"
"34","ABI3BP"
"35","ZBTB20-AS1"
"36","IGSF11"
"37","NEK11"
"38","TMEM108"
"39","SLC33A1"
"40","MAP6D1"
"41","PPP2R2C"
"42","PPP2R2C"
"43","APBB2"
"44","LOC101928978"
"45","PRDM5"
"46","NR3C2"
"47","LINC02112"
"48","CDH12"
"49","LINC02228"
"50","ADAMTS12"
"51","MAST4"
"52","VCAN"
"53","KIAA0825"
"54","KCNN2"
"55","TNFAIP8"
"56","FSTL4"
"57","KCTD16"
"58","TENM2"
"59","GABRP"
"60","LINC01411"
"61","DTNBP1"
"62","CDKAL1"
"63","TSBP1-AS1"
"64","CLIC5"
"65","EFHC1"
"66","RIMS1"
"67","UBE3D"
"68","MCHR2"
"69","NKAIN2"
"70","THEMIS"
"71","PTPRK"
"72","LAMA2"
"73","TARID"
"74","GRM1"
"75","PPP1R14C"
"76","MTHFD1L"
"77","ESR1"
"78","RNF216"
"79","HIP1"
"80","MAGI2"
"81","MAGI2"
"82","RELN"
"83","COMETT"
"84","LOC105375512"
"85","CSMD1"
"86","CSMD1"
"87","CSMD1"
"88","GFRA2"
"89","PI15"
"90","CNBD1"
"91","LINC00535"
"92","SPAG1"
"93","ZFPM2"
"94","LINC02055"
"95","IQANK1"
"96","ARHGAP39"
"97","DMRT3"
"98","GDA"
"99","DIRAS2"
"100","PTCSC2"
"101","PALM2AKAP2"
"102","LOC101928775"
"103","CELF2"
"104","MACROH2A2"
"105","KCNMA1"
"106","CFL1P1"
"107","HPSE2"
"108","COL17A1"
"109","EIF3A"
"110","FGFR2"
"111","KCNQ1"
"112","RRM1"
"113","CAND1.11"
"114","SOX6"
"115","CNTN5"
"116","WTAPP1"
"117","PDGFD"
"118","UBASH3B"
"119","NTM"
"120","CFAP94"
"121","NAV3"
"122","ANKS1B"
"123","POLR1D"
"124","ALOX5AP"
"125","ARGLU1"
"126","GPR137C"
"127","SLC35F4"
"128","HEATR4"
"129","TMOD2"
"130","ABHD17C"
"131","FAM169B"
"132","ADAMTS17"
"133","PCSK6"
"134","CES1P2"
"135","SLC12A4"
"136","ASIC2"
"137","MAPT-AS1"
"138","LINC00511"
"139","GRB2"
"140","RNF157-AS1"
"141","CEP131"
"142","DLGAP1"
"143","DLGAP1"
"144","KCTD1"
"145","LINC00907"
"146","ZNF532"
"147","CCDC102B"
"148","CNN1"
"149","ZNF536"
"150","KMT2B"
"151","GRIK5"
"152","PLCB1"
"153","PHACTR3"
"154","TMPRSS15"
"155","CHEK2"
"156","NHLH1"
"157","POU2F1"
"158","USH2A"
"159","LINC01115"
"160","DYSF"
"161","SCN1A"
"162","MAP3K20"
"163","SACM1L"
"164","ANKUB1"
"165","FNDC3B"
"166","USP13"
"167","NSUN7"
"168","KCTD8"
"169","GRIA2"
"170","GPM6A"
"171","CDH12"
"172","FLJ31104"
"173","MCTP1"
"174","EYS"
"175","EYS"
"176","EYS"
"177","PHTF2"
"178","PTPRN2"
"179","NKAIN3"
"180","ZFHX4"
"181","PTPRD"
"182","LINGO2"
"183","ANKRD18A"
"184","TRPM6"
"185","PLXDC2"
"186","OR51B5"
"187","OR51B5"
"188","STK33"
"189","INSC"
"190","KIF18A"
"191","CCDC73"
"192","DISC1FP1"
"193","DISC1FP1"
"194","CXCR5"
"195","ANO2"
"196","KLRG1"
"197","KRT3"
"198","GPC5"
"199","ARHGEF7"
"200","SCFD1"
"201","MIPOL1"
"202","LINC01146"
"203","CT62"
"204","CPPED1"
"205","PITPNM3"
"206","PIK3C3"
"207","LINC01416"
"208","OR7A17"
"209","KRTAP20-1"
"210","HDHD5-AS1"
"211","TTN"
"212","ST6GAL1"
"213","EVC2"
"214","SLIT2"
"215","TBC1D1"
"216","ARHGAP24"
"217","DCHS2"
"218","TENM2"
"219","SLIT3"
"220","LINC02549"
"221","SYTL3"
"222","LINC01005"
"223","BTRC"
"224","SORCS1"
"225","CATSPER1"
"226","CNTN5"
"227","ZBTB44-DT"
"228","ZBTB44-DT"
"229","PKD1L2"
"230","ANKFY1"
"231","CTU1"
"232","ZNF628"
"233","MIR563"
"234","TRIM71"
"235","PREP"
"236","REPS1"
"237","COL28A1"
"238","CAMK2B"
"239","SNTG1"
"240","SNTG1"
"241","LOC401478"
"242","NANS"
"243","LRMDA"
"244","NAV2"
"245","NELL1"
"246","TMEM117"
"247","C12orf56"
"248","DCT"
"249","GABRG3"
"250","GSG1L"
"251","NCAM2"
"252","CAMTA1"
"253","LINC01135"
"254","TYW3"
"255","COL24A1"
"256","CDC14A"
"257","TENT5C"
"258","SPAG17"
"259","RPRD2"
"260","AIM2"
"261","FCER1A"
"262","COLGALT2"
"263","PCNX2"
"264","C2orf16"
"265","SOS1"
"266","MYO7B"
"267","LRP1B"
"268","SCN11A"
"269","LRIG1"
"270","HTR1F"
"271","HTR1F"
"272","GUCA1C"
"273","LSAMP"
"274","LINC00901"
"275","CPZ"
"276","REST"
"277","SYNPO2"
"278","SMIM43"
"279","LOC101927636"
"280","TMEM192"
"281","ITGA1"
"282","APC"
"283","IRF1-AS1"
"284","ARHGAP26"
"285","TBC1D7-LOC100130357"
"286","ENPP4"
"287","EYS"
"288","ZC2HC1B"
"289","ADCY1"
"290","GRB10"
"291","IMMP2L"
"292","CALD1"
"293","TNFRSF10C"
"294","LINC01299"
"295","SULF1"
"296","ROR2"
"297","PALM2AKAP2"
"298","ZBTB43"
"299","TASOR2"
"300","CAMK1D"
"301","FRMD4A"
"302","ARID5B"
"303","SHTN1"
"304","OR4P4"
"305","HEPHL1"
"306","GUCY1A2"
"307","CCDC91"
"308","OVOS2"
"309","TMTC2"
"310","HVCN1"
"311","MYL2"
"312","KSR2"
"313","KSR2"
"314","MIPEP"
"315","C1QTNF9"
"316","LINC00383"
"317","OBI1-AS1"
"318","OBI1-AS1"
"319","GPC5"
"320","GPR137C"
"321","KCNH5"
"322","TECPR2"
"323","RORA"
"324","STRA6"
"325","HOMER2"
"326","PARN"
"327","EEF2K"
"328","PHKB"
"329","TANGO6"
"330","WWOX"
"331","LOC102724084"
"332","CHD3"
"333","MMP28"
"334","NPEPPSP1"
"335","MED13"
"336","PRKCA"
"337","ABCA10"
"338","SDK2"
"339","B3GNTL1"
"340","DLGAP1-AS4"
"341","LINC01541"
"342","SHANK1"
"343","TTYH1"
"344","ATRN"
"345","MACROD2"
"346","RBBP9"
"347","SAMSN1"
"348","DOP1B"
"349","CBX6"
"350","TBC1D22A"
"351","PRDM16"
"352","EPHA8"
"353","LINC00466"
"354","PIGK"
"355","TBX15"
"356","CGN"
"357","PTPRC"
"358","PTPN14"
"359","TSNAX-DISC1"
"360","RYR2"
"361","RBKS"
"362","LTBP1"
"363","NRXN1"
"364","REG3G"
"365","DPP10"
"366","CNTNAP5"
"367","LRP1B"
"368","TEX41"
"369","FMNL2"
"370","TANC1"
"371","DNAJC10"
"372","LOC101927960"
"373","ERBB4"
"374","SPAG16"
"375","SPHKAP"
"376","SRGAP3"
"377","P4HTM"
"378","DOCK3"
"379","SFMBT1"
"380","CACNA2D3"
"381","FHIT"
"382","FHIT"
"383","PTPRG-AS1"
"384","EEFSEC"
"385","CLSTN2"
"386","GK5"
"387","NLGN1"
"388","NAALADL2"
"389","JAKMIP1"
"390","LINC01182"
"391","KCNIP4"
"392","LINC02271"
"393","UGT2B17"
"394","PPEF2"
"395","UNC5C"
"396","ADAD1"
"397","GAB1"
"398","GYPA"
"399","IQCM"
"400","CTNND2"
"401","CDH12"
"402","C5orf17"
"403","C5orf17"
"404","UGT3A2"
"405","MROH2B"
"406","PDE4D"
"407","RASGRF2"
"408","ATG10"
"409","LOC101927078"
"410","GRAMD2B"
"411","LMNB1-DT"
"412","SPOCK1"
"413","DPYSL3"
"414","LINC01622"
"415","ATXN1"
"416","PKHD1"
"417","EYS"
"418","SAMD3"
"419","NXPH1"
"420","DGKB"
"421","GSDME"
"422","SKAP2"
