"","x"
"1","PTGFRN"
"2","SCN1A"
"3","KRT3"
"4","TTN"
"5","C2orf16"
"6","PKHD1"
"7","TAOK2"
"8","PCLO"
"9","GCNT1"
"10","VPS16"
"11","ATAD2"
"12","DNHD1"
"13","SSC5D"
"14","FASTKD5"
"15","EIF3L"
"16","SHOX2"
"17","C4orf54"
"18","NPR3"
"19","ATG12"
"20","DSP"
"21","ZNF862"
"22","CARD18"
"23","RHCG"
"24","NETO1"
"25","LDLRAD1"
"26","TNFRSF8"
"27","LOC114841035"
"28","SECISBP2L"
"29","ZNF563"
"30","FLNB"
"31","GRIN2B"
"32","POLE2"
"33","CADM4"
"34","DNAI4"
"35","OR14C36"
"36","PPP2R3A"
"37","FXR1"
"38","MEGF10"
"39","OR51J1"
"40","CDH16"
"41","CATSPERG"
"42","GPCPD1"
"43","STEAP3"
"44","MCTP1"
"45","ACAP2"
"46","NFASC"
"47","RIC1"
"48","ZBED4"
"49","SPAM1"
"50","SGPP1"
"51","XIRP2"
