Gene	N_synonymous	N_missense	N_nonsense	N_splicing	Ratio_missense	Ratio_nonsense	Ratio_splicing	Pvalue	Qvalue	Condition	Pconvert	Qconvert	Genetype
ISY1-RAB43	0	0	1	0	0	6330.3615694183	6330.3615694183	0.000454176109884186	0.999999999999986	Normal	3.34277571383786	6.17169578594108e-15	Other
NETO1	0	0	1	0	0	6103.24158067766	6103.24158067766	0.000470761546185305	0.999999999999986	Normal	3.32719901940886	6.17169578594108e-15	Other
ISY1	0	0	1	0	0	5898.35788515119	5898.35788515119	0.000487474124345022	0.999999999999986	Normal	3.31204843217554	6.17169578594108e-15	Other
TNFRSF8	0	0	1	0	0	5001.85705918541	5001.85705918541	0.00057397972191453	0.999999999999986	Normal	3.24110345048737	6.17169578594108e-15	Other
CARD18	0	1	0	0	4498.84247908994	0	0	0.000639677790917115	0.999999999999986	Normal	3.19403872736526	6.17169578594108e-15	Other
VPS16	0	0	1	0	0	2944.0887631334	2944.0887631334	0.000974656085081516	0.999999999999986	Normal	3.01114860142938	6.17169578594108e-15	Other
C14orf132	1	1	0	0	1977.27680734703	0	0	0.00144644683906414	0.999999999999986	Normal	2.83969752325026	6.17169578594108e-15	Other
ATG12	0	1	0	0	1733.76152779022	0	0	0.00165915228181501	0.999999999999986	Normal	2.78011375133741	6.17169578594108e-15	Other
LDLRAD1	0	1	0	0	1526.18494556112	0	0	0.00188455633626994	0.999999999999986	Normal	2.72479087537253	6.17169578594108e-15	Other
OR14C36	0	1	0	0	1156.67874308263	0	0	0.0024862006978752	0.999999999999986	Normal	2.60446381597532	6.17169578594108e-15	Other
OR51J1	0	1	0	0	1151.01688364242	0	0	0.00249843827234952	0.999999999999986	Normal	2.60233137598291	6.17169578594108e-15	Other
GCNT1	0	1	0	0	862.241368011591	0	0	0.00333402125114013	0.999999999999986	Normal	2.47703163629461	6.17169578594108e-15	Other
SHOX2	0	1	0	0	842.313497293185	0	0	0.00341261845200946	0.999999999999986	Normal	2.46691226532517	6.17169578594108e-15	Other
ZNF563	0	1	0	0	786.778063887838	0	0	0.00365302441192139	0.999999999999986	Normal	2.43734742553587	6.17169578594108e-15	Other
RHCG	0	1	0	0	702.345932296693	0	0	0.00409127773109019	0.999999999999986	Normal	2.38814103798247	6.17169578594108e-15	Other
CADM4	0	1	0	0	693.850170840762	0	0	0.00414148377597945	0.999999999999986	Normal	2.38284403562496	6.17169578594108e-15	Other
EIF3L	0	1	0	0	681.224496118708	0	0	0.00421786464962615	0.999999999999986	Normal	2.3749073607899	6.17169578594108e-15	Other
POLE2	0	1	0	0	659.227502119146	0	0	0.0043582901456467	0.999999999999986	Normal	2.36068386072152	6.17169578594108e-15	Other
STEAP3	0	1	0	0	644.643331358725	0	0	0.0044572460767689	0.999999999999986	Normal	2.35093338861233	6.17169578594108e-15	Other
KRT3	0	1	0	0	569.224833155042	0	0	0.00504650530122741	0.999999999999986	Normal	2.29700926619503	6.17169578594108e-15	Other
GPCPD1	0	1	0	0	552.921268854733	0	0	0.0051944802307744	0.999999999999986	Normal	2.28445790223573	6.17169578594108e-15	Other
FXR1	0	1	0	0	540.513271157453	0	0	0.00531345829746743	0.999999999999986	Normal	2.27462272362023	6.17169578594108e-15	Other
FASTKD5	0	1	0	0	512.383198444452	0	0	0.00560521513556678	0.999999999999986	Normal	2.25140771395278	6.17169578594108e-15	Other
ACAP2	0	1	0	0	491.624803541257	0	0	0.00584009283371001	0.999999999999986	Normal	2.23358024931781	6.17169578594108e-15	Other
WDR78	0	1	0	0	461.636433212721	0	0	0.00621882492960457	0.999999999999986	Normal	2.20629166913549	6.17169578594108e-15	Other
CDH16	0	1	0	0	388.441645121109	0	0	0.00738704172747096	0.999999999999986	Normal	2.13152944775589	6.17169578594108e-15	Other
PPP2R3A	0	1	0	0	368.093290688829	0	0	0.00779474137961456	0.999999999999986	Normal	2.10819828961812	6.17169578594108e-15	Other
SECISBP2L	0	1	0	0	361.980854007134	0	0	0.00792554984803406	0.999999999999986	Normal	2.10097059817224	6.17169578594108e-15	Other
MCTP1	0	1	0	0	359.409079271753	0	0	0.00798171414205651	0.999999999999986	Normal	2.09790383014139	6.17169578594108e-15	Other
PTGFRN	0	1	0	0	336.440672198246	0	0	0.00852574810199891	0.999999999999986	Normal	2.06926750297296	6.17169578594108e-15	Other
CATSPERG	0	1	0	0	287.982470759533	0	0	0.00995276825446778	0.999999999999986	Normal	2.00205610815581	6.17169578594108e-15	Other
ZNF862	0	1	0	0	287.765383706058	0	0	0.0099622832948808	0.999999999999986	Normal	2.00164111250786	6.17169578594108e-15	Other
MEGF10	0	1	0	0	287.703464045085	0	0	0.00996273278255055	0.999999999999986	Normal	2.0016215180429	6.17169578594108e-15	Other
TAOK2	0	1	0	0	285.369826391962	0	0	0.0100439421383686	0.999999999999986	Normal	1.99809579785673	6.17169578594108e-15	Other
KIAA1432	0	1	0	0	274.979836367352	0	0	0.010421324796793	0.999999999999986	Normal	1.9820770684295	6.17169578594108e-15	Other
ATAD2	0	1	0	0	265.139300509237	0	0	0.0108065414058278	0.999999999999986	Normal	1.96631327817444	6.17169578594108e-15	Other
NFASC	0	1	0	0	223.064845301964	0	0	0.0128334405776918	0.999999999999986	Normal	1.89165689595622	6.17169578594108e-15	Other
GRIN2B	0	1	0	0	222.631738124137	0	0	0.012861135435781	0.999999999999986	Normal	1.89072068835375	6.17169578594108e-15	Other
C2orf16	0	1	0	0	199.340068524568	0	0	0.0143560544173867	0.999999999999986	Normal	1.84296490411938	6.17169578594108e-15	Other
SSC5D	0	1	0	0	183.459375138711	0	0	0.01558889948616	0.999999999999986	Normal	1.80718454317922	6.17169578594108e-15	Other
SCN1A	0	1	0	0	182.98252404486	0	0	0.0156282488950709	0.999999999999986	Normal	1.80608968082996	6.17169578594108e-15	Other
RP11-766F14.2	0	1	0	0	176.436053732976	0	0	0.0162085633693325	0.999999999999986	Normal	1.79025547672588	6.17169578594108e-15	Other
DSP	0	1	0	0	139.907129149593	0	0	0.0203972420598278	0.999999999999986	Normal	1.69042855018047	6.17169578594108e-15	Other
FLNB	0	1	0	0	114.39541716781	0	0	0.0249004360462738	0.999999999999986	Normal	1.60379304764995	6.17169578594108e-15	Other
PKHD1	0	1	0	0	89.6387994137034	0	0	0.0316767224798016	0.999999999999986	Normal	1.49925976024455	6.17169578594108e-15	Other
DNHD1	0	1	0	0	79.6516233023374	0	0	0.035588321551872	0.999999999999986	Normal	1.44869249409645	6.17169578594108e-15	Other
PCLO	0	1	0	0	78.9661171068129	0	0	0.0359080235492868	0.999999999999986	Normal	1.44480849866844	6.17169578594108e-15	Other
ZFHX4	0	0	0	0	0	0	0	0.989598940829084	0.999999999999986	Normal	0.00454077820546223	6.17169578594108e-15	Other
IGF2R	0	0	0	0	0	0	0	0.99195709996601	0.999999999999986	Normal	0.00350710975198086	6.17169578594108e-15	Other
RP11-1220K2.2	0	0	0	0	0	0	0	0.992732914356946	0.999999999999986	Normal	0.00316757871822306	6.17169578594108e-15	Other
COL22A1	0	0	0	0	0	0	0	0.993546380109857	0.999999999999986	Normal	0.00281185461794978	6.17169578594108e-15	Other
NAV1	0	0	0	0	0	0	0	0.994115784086563	0.999999999999986	Normal	0.00256303063138285	6.17169578594108e-15	Other
ARHGAP21	0	0	0	0	0	0	0	0.994208973398168	0.999999999999986	Normal	0.00252232138237318	6.17169578594108e-15	Other
BTAF1	0	0	0	0	0	0	0	0.994670705700613	0.999999999999986	Normal	0.00232067238693299	6.17169578594108e-15	Other
AOX1	0	0	0	0	0	0	0	0.995663249722403	0.999999999999986	Normal	0.00188752253661053	6.17169578594108e-15	Other
IGDCC4	0	0	0	0	0	0	0	0.995666303244016	0.999999999999986	Normal	0.00188619063493224	6.17169578594108e-15	Other
ASTN2	0	0	0	0	0	0	0	0.995716039369407	0.999999999999986	Normal	0.00186449703611824	6.17169578594108e-15	Other
IGSF3	0	0	0	0	0	0	0	0.995806225133505	0.999999999999986	Normal	0.0018251631251505	6.17169578594108e-15	Other
ATN1	0	0	0	0	0	0	0	0.995822696180122	0.999999999999986	Normal	0.00181797977429595	6.17169578594108e-15	Other
GPATCH8	0	0	0	0	0	0	0	0.995823863437405	0.999999999999986	Normal	0.00181747071469932	6.17169578594108e-15	Other
PTPRJ	0	0	0	0	0	0	0	0.995864181729214	0.999999999999986	Normal	0.001799887628134	6.17169578594108e-15	Other
RIMS2	0	0	0	0	0	0	0	0.995895733533242	0.999999999999986	Normal	0.001786128164175	6.17169578594108e-15	Other
SALL1	0	0	0	0	0	0	0	0.995920573609757	0.999999999999986	Normal	0.00177529593218417	6.17169578594108e-15	Other
SUPT5H	0	0	0	0	0	0	0	0.996009207745246	0.999999999999986	Normal	0.00173664666217763	6.17169578594108e-15	Other
MTUS2	0	0	0	0	0	0	0	0.996022582025762	0.999999999999986	Normal	0.00173081505220325	6.17169578594108e-15	Other
DGKH	0	0	0	0	0	0	0	0.996196036573605	0.999999999999986	Normal	0.00165519046715375	6.17169578594108e-15	Other
ZMYND8	0	0	0	0	0	0	0	0.99626216498386	0.999999999999986	Normal	0.00162636255632569	6.17169578594108e-15	Other
DENND5A	0	0	0	0	0	0	0	0.996292500915995	0.999999999999986	Normal	0.0016131386000088	6.17169578594108e-15	Other
PDE3A	0	0	0	0	0	0	0	0.996386492065264	0.999999999999986	Normal	0.00157216879237879	6.17169578594108e-15	Other
REV1	0	0	0	0	0	0	0	0.996407853122218	0.999999999999986	Normal	0.0015628582589704	6.17169578594108e-15	Other
SEC31B	0	0	0	0	0	0	0	0.996674791421323	0.999999999999986	Normal	0.00144652607242491	6.17169578594108e-15	Other
EPHA1	0	0	0	0	0	0	0	0.996693483955671	0.999999999999986	Normal	0.00143838099996578	6.17169578594108e-15	Other
CACNA2D1	0	0	0	0	0	0	0	0.996720383818496	0.999999999999986	Normal	0.00142665993974973	6.17169578594108e-15	Other
FAM179A	0	0	0	0	0	0	0	0.996753131458975	0.999999999999986	Normal	0.00141239125802667	6.17169578594108e-15	Other
KTN1	0	0	0	0	0	0	0	0.996771236389226	0.999999999999986	Normal	0.00140450284549409	6.17169578594108e-15	Other
IDE	0	0	0	0	0	0	0	0.997123636136553	0.999999999999986	Normal	0.00125098896731474	6.17169578594108e-15	Other
ATP2C1	0	0	0	0	0	0	0	0.99712474819204	0.999999999999986	Normal	0.00125050461484853	6.17169578594108e-15	Other
GRM8	0	0	0	0	0	0	0	0.997161844256072	0.999999999999986	Normal	0.00123434784382841	6.17169578594108e-15	Other
GPR110	0	0	0	0	0	0	0	0.997362189288343	0.999999999999986	Normal	0.00114710021901065	6.17169578594108e-15	Other
DPP3	0	0	0	0	0	0	0	0.997385487233761	0.999999999999986	Normal	0.00113695540796079	6.17169578594108e-15	Other
TTC13	0	0	0	0	0	0	0	0.997441546417053	0.999999999999986	Normal	0.00111254607967346	6.17169578594108e-15	Other
BRINP1	0	0	0	0	0	0	0	0.997564444400464	0.999999999999986	Normal	0.00105903855503896	6.17169578594108e-15	Other
TGM6	0	0	0	0	0	0	0	0.997602053051088	0.999999999999986	Normal	0.00104266575661796	6.17169578594108e-15	Other
TGM3	0	0	0	0	0	0	0	0.997612735441786	0.999999999999986	Normal	0.00103801532663856	6.17169578594108e-15	Other
TTK	0	0	0	0	0	0	0	0.997644951048864	0.999999999999986	Normal	0.00102399101240473	6.17169578594108e-15	Other
ACSS3	0	0	0	0	0	0	0	0.997755521536273	0.999999999999986	Normal	0.000975860170248683	6.17169578594108e-15	Other
OAS2	0	0	0	0	0	0	0	0.997803361691291	0.999999999999986	Normal	0.000955037216321626	6.17169578594108e-15	Other
NCL	0	0	0	0	0	0	0	0.997865018220506	0.999999999999986	Normal	0.000928202005933737	6.17169578594108e-15	Other
GPD2	0	0	0	0	0	0	0	0.997903794162749	0.999999999999986	Normal	0.0009113261256772	6.17169578594108e-15	Other
FARSA	0	0	0	0	0	0	0	0.997949069803658	0.999999999999986	Normal	0.000891622307455164	6.17169578594108e-15	Other
