"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0001954",0.00526994329558838,0.999577966543239,3,55,"positive regulation of cell-matrix adhesion","BP",5.45454545454545,"IHD","EPHA1, PTPRJ, FMN1"
"2","GO:0003338",0.0192278262813281,0.998756794837862,2,31,"metanephros morphogenesis","BP",6.45161290322581,"IHD","SALL1, FMN1"
"3","GO:0003810",0.00071747319914706,0.999992557124221,2,9,"protein-glutamine gamma-glutamyltransferase activity","MF",22.2222222222222,"IHD","TGM3, TGM6"
"4","GO:0004713",0.0225825244583099,0.995583060901085,4,138,"protein tyrosine kinase activity","MF",2.89855072463768,"IHD","EFNA4, EPHA1, IGF2R, TTK"
"5","GO:0004714",0.0114726308630145,0.9987777878441,3,60,"transmembrane receptor protein tyrosine kinase activity","MF",5,"IHD","EFNA4, EPHA1, IGF2R"
"6","GO:0005003",0.00578419652535483,0.999807473809653,2,18,"ephrin receptor activity","MF",11.1111111111111,"IHD","EFNA4, EPHA1"
"7","GO:0005005",0.00438125902675263,0.99987596885356,2,15,"transmembrane-ephrin receptor activity","MF",13.3333333333333,"IHD","EFNA4, EPHA1"
"8","GO:0005245",0.0223268810604073,0.996968194456054,3,51,"voltage-gated calcium channel activity","MF",5.88235294117647,"IHD","CACNA2D1, RYR1, CACNG3"
"9","GO:0005262",0.0409805621956081,0.99038196655604,4,125,"calcium channel activity","MF",3.2,"IHD","CACNA2D1, RYR1, PKDREJ, CACNG3"
"10","GO:0005777",0.0339699882426949,0.994461600284271,3,134,"peroxisome","CC",2.23880597014925,"IHD","IDE, GNPAT, SLC27A2"
"11","GO:0005778",0.0491140419236055,0.994614953588999,2,62,"peroxisomal membrane","CC",3.2258064516129,"IHD","GNPAT, SLC27A2"
"12","GO:0005782",0.0228390301573131,0.998351036989499,2,51,"peroxisomal matrix","CC",3.92156862745098,"IHD","IDE, GNPAT"
"13","GO:0005788",0.00916229791918373,0.997874119676317,6,303,"endoplasmic reticulum lumen","CC",1.98019801980198,"IHD","COL7A1, TNC, KTN1, SLC27A2, ERP44, COL22A1"
"14","GO:0005891",0.0189026369558734,0.997587688819159,3,52,"voltage-gated calcium channel complex","CC",5.76923076923077,"IHD","CACNA2D1, RYR1, CACNG3"
"15","GO:0006638",0.0378422755484326,0.993568503601442,3,131,"neutral lipid metabolic process","BP",2.29007633587786,"IHD","GNPAT, CIDEB, DGKH"
"16","GO:0006639",0.0372012085361534,0.993719971342178,3,130,"acylglycerol metabolic process","BP",2.30769230769231,"IHD","GNPAT, CIDEB, DGKH"
"17","GO:0006654",0.0206760368595168,0.998613048483178,2,30,"phosphatidic acid biosynthetic process","BP",6.66666666666667,"IHD","GNPAT, DGKH"
"18","GO:0006790",0.0155174689913793,0.99655819469719,5,303,"sulfur compound metabolic process","BP",1.65016501650165,"IHD","ACP3, GSTA1, MAT1A, STAT5A, SLC27A2, ICMT"
"19","GO:0006888",0.00578199121956791,0.999240948069328,4,130,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP",3.07692307692308,"IHD","SEC31B, CIDEB, TRAPPC11, CREB3L2"
"20","GO:0006892",0.0436218737988975,0.992199434209395,3,97,"post-Golgi vesicle-mediated transport","BP",3.09278350515464,"IHD","VPS13A, ATP2C1, GOLPH3L"
"21","GO:0006900",0.000950024991312181,0.999925043239234,4,81,"vesicle budding from membrane","BP",4.93827160493827,"IHD","SEC31B, CIDEB, GOLPH3L, TRAPPC11"
"22","GO:0007034",0.0297244438613484,0.993662597904101,4,164,"vacuolar transport","BP",2.4390243902439,"IHD","IGF2R, CACNG3, VPS13A, VIPAS39"
"23","GO:0007044",0.0399317488876695,0.993105061140035,3,95,"cell-substrate junction assembly","BP",3.1578947368421,"IHD","LAMA3, PTPRJ, FMN1"
"24","GO:0007094",0.0293750102911559,0.997585484630479,2,44,"mitotic spindle assembly checkpoint signaling","BP",4.54545454545455,"IHD","CDC20, TTK"
"25","GO:0007169",0.0355793337878071,0.986634186843715,8,618,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",1.29449838187702,"IHD","EFNA4, EPHA1, IDE, IGF2R, NCL, PTPRJ, STAT5A, HHIP"
"26","GO:0007340",0.014419010943123,0.999193308838671,2,36,"acrosome reaction","BP",5.55555555555556,"IHD","CRISP1, PKDREJ"
"27","GO:0007589",0.016838444334461,0.99791179481824,3,87,"body fluid secretion","BP",3.44827586206897,"IHD","OAS2, STAT5A, WNK1"
"28","GO:0007595",0.0318674829884873,0.997275301771804,2,39,"lactation","BP",5.12820512820513,"IHD","OAS2, STAT5A"
"29","GO:0008235",0.0451342692327012,0.995269857477457,2,65,"metalloexopeptidase activity","MF",3.07692307692308,"IHD","DPP3, CPA4"
"30","GO:0010811",0.0354364784434731,0.994136302681339,3,120,"positive regulation of cell-substrate adhesion","BP",2.5,"IHD","EPHA1, PTPRJ, FMN1"
"31","GO:0010965",0.0437275788432781,0.995509672272323,2,57,"regulation of mitotic sister chromatid separation","BP",3.50877192982456,"IHD","CDC20, TTK"
"32","GO:0012507",0.0344108800507487,0.996891673887108,2,61,"ER to Golgi transport vesicle membrane","CC",3.27868852459016,"IHD","SEC31B, CIDEB"
"33","GO:0015085",0.0143570060436828,0.996905271871867,5,143,"calcium ion transmembrane transporter activity","MF",3.4965034965035,"IHD","CACNA2D1, RYR1, PKDREJ, CACNG3, ATP2C1"
"34","GO:0016050",0.0451261309775745,0.98678395922065,5,346,"vesicle organization","BP",1.44508670520231,"IHD","SEC31B, CIDEB, GOLPH3L, TRAPPC11, VIPAS39"
"35","GO:0016405",0.00724291958366208,0.999720920038008,2,27,"CoA-ligase activity","MF",7.40740740740741,"IHD","SLC27A2, ACSS3"
"36","GO:0016528",0.043437044330564,0.992258131545736,3,89,"sarcoplasm","CC",3.37078651685393,"IHD","CACNA2D1, CAMK2G, RYR1"
"37","GO:0016529",0.0264920323105015,0.996119470181052,3,72,"sarcoplasmic reticulum","CC",4.16666666666667,"IHD","CACNA2D1, CAMK2G, RYR1"
"38","GO:0016765",0.0210228057349201,0.998541713308084,2,59,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF",3.38983050847458,"IHD","GSTA1, MAT1A"
"39","GO:0016772",0.0284421508039216,0.987935356594857,11,854,"transferase activity, transferring phosphorus-containing groups","MF",1.28805620608899,"IHD","CAMK2G, EFNA4, EPHA1, IGF2R, OAS2, TTK, PTDSS1, REV1, WNK1, PSKH2, DGKH"
"40","GO:0016860",0.0144396938693284,0.999182443570672,2,49,"intramolecular oxidoreductase activity","MF",4.08163265306122,"IHD","GSTA1, ERP44"
"41","GO:0016877",0.0161857601859405,0.999032805274976,2,41,"ligase activity, forming carbon-sulfur bonds","MF",4.8780487804878,"IHD","SLC27A2, ACSS3"
"42","GO:0016878",0.00888329673056443,0.999616647875582,2,31,"acid-thiol ligase activity","MF",6.45161290322581,"IHD","SLC27A2, ACSS3"
"43","GO:0018149",0.0138236620505329,0.999254323117989,2,27,"peptide cross-linking","BP",7.40740740740741,"IHD","TGM3, TGM6"
"44","GO:0019199",0.0249014796152165,0.996430453229053,3,78,"transmembrane receptor protein kinase activity","MF",3.84615384615385,"IHD","EFNA4, EPHA1, IGF2R"
"45","GO:0030117",0.0160715978963789,0.998038930155708,3,92,"membrane coat","CC",3.26086956521739,"IHD","IGF2R, SEC31B, CIDEB"
"46","GO:0030120",0.0438446704158087,0.995485395431216,2,60,"vesicle coat","CC",3.33333333333333,"IHD","SEC31B, CIDEB"
"47","GO:0030127",0.0028079346971272,0.99993625108562,2,16,"COPII vesicle coat","CC",12.5,"IHD","SEC31B, CIDEB"
"48","GO:0030134",0.010379403933668,0.998922709765597,3,90,"COPII-coated ER to Golgi transport vesicle","CC",3.33333333333333,"IHD","COL7A1, SEC31B, CIDEB"
