"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0000062",0.0487690062662546,0.985915386202072,6,17,"fatty-acyl-CoA binding","MF",35.2941176470588,"IHD","ACADL, SCP2, SOAT1, ACBD4, ACBD6, ACBD5"
"2","GO:0000139",0.0462067845034431,0.962579111058742,142,645,"Golgi membrane","CC",22.015503875969,"IHD","ARRB1, B2M, LDLRAD4, CD59, CDC42, AP1S1, CD55, DRD2, EXT1, FUT8, GAD2, GALNT1, GALNT2, GALNT3, GBP3, GOLGA4, MR1, NDST1, ICA1, IGF2R, KPNA2, MAN1A1, MAN2A1, MGAT5, PLA2G4A, PLD1, RAB1A, RAB6A, RHEB, RHO, RTN1, ST6GAL1, ST3GAL1, ST8SIA1, SLC2A1, SORL1, TMF1, ST8SIA4, TPST1, PLPP3, USO1, B3GALT1, MBTPS1, GBF1, PCSK7, LARGE1, B4GALT6, B4GALT5, NDST3, OTOF, ABCG1, WSCD2, CLSTN3, PJA2, ATP2C2, HS3ST4, HS3ST3A1, UST, STX6, B3GALT5, COG5, ARFGEF1, FUT9, MAN1A2, GALNT5, RNF24, VPS45, GABARAP, CHSY1, ATF6, RAB21, NMNAT2, ERC1, DENND5A, ZDHHC17, TMED3, ATP6V0A2, MGAT4C, GLCE, ATP2C1, ARFIP1, RAB30, GOLIM4, CHST11, ASAP1, PLCE1, CHST15, ATP6V1D, TMBIM4, ATP8A2, GALNT7, RNF125, GOLPH3L, ACER3, GALNT10, SMPD4, HHAT, CSGALNACT1, PDGFC, C1GALT1, SPPL2B, AGTRAP, SCYL3, ERGIC1, GALNT16, COG6, HACE1, MARCHF4, ARHGAP21, RIC1, RHOU, SCOC, KIF13A, CLSTN2, XYLT1, CHST8, GALNT17, NDST4, CASD1, GNPTAB, GCC1, PDGFD, TNKS2, ST6GALNAC5, CHST9, USP32, PLEKHA8, CRACR2A, TMEM87B, TPTE2, NLRP3, GALNT13, GBP5, LRRK2, AP1S3, VTI1A, MGAT4D, VPS13B, SLC30A8, NAPEPLD, ST6GALNAC3, SGMS1, RNF175, CHSY3, GALNT18, GALNTL6"
"3","GO:0000243",0.0439762788272603,0.996752701146092,2,5,"commitment complex","CC",40,"IHD","SNRPC, PRPF39"
"4","GO:0000268",0.00325030826396885,1,4,4,"peroxisome targeting sequence binding","MF",100,"IHD","PEX7, PEX19, PEX5, BABAM2, PEX5L"
"5","GO:0000724",0.00944517658190607,0.994436528581686,40,160,"double-strand break repair via homologous recombination","BP",25,"IHD","ABL1, BRCA2, CHEK1, FEN1, MCM4, MCM6, RAD51B, RECQL, REV3L, RPA3, YY1, CDC7, RUVBL1, RECQL5, PSMD14, POLQ, ZNF365, KDM1A, SMCHD1, ZFYVE26, SPIDR, ZMYND8, RAD54B, NIPBL, SAMHD1, RNF138, MBTD1, PARPBP, FANCM, INIP, MMS19, SMC6, PALB2, RMI1, SLF1, GINS4, HELB, PPP4R2, RNF169, MCM9, POLN"
"6","GO:0000725",0.00469479043429745,0.997326803953093,42,163,"recombinational repair","BP",25.7668711656442,"IHD","ABL1, BRCA2, CHEK1, FEN1, XRCC6, MCM4, MCM6, RAD51B, RECQL, REV3L, RPA3, XRCC5, YY1, CDC7, RUVBL1, RECQL5, PSMD14, POLQ, ZNF365, KDM1A, SMCHD1, ZFYVE26, SPIDR, ZMYND8, RAD54B, NIPBL, SAMHD1, RNF138, MBTD1, PARPBP, FANCM, INIP, MMS19, HROB, SMC6, PALB2, RMI1, SLF1, GINS4, HELB, PPP4R2, RNF169, MCM9, POLN"
"7","GO:0000727",0.0151224345286481,0.997833696554758,4,12,"double-strand break repair via break-induced replication","BP",33.3333333333333,"IHD","MCM4, MCM6, CDC7, GINS4"
"8","GO:0000932",0.0148186599974585,0.992239031288829,25,94,"P-body","CC",26.5957446808511,"IHD","EIF4E, CNOT2, PSMC2, EIF4E2, PUM1, IGF2BP2, TNRC6B, SYNE1, LSM14A, LSM1, TNRC6A, DCPS, CNOT7, YTHDF2, BTBD1, XRN1, RC3H2, SAMD4B, BTBD2, UBAP2, DIS3L2, RC3H1, AGO3, YTHDF3, ZC3H12D"
"9","GO:0001054",0.0253647999350717,0.997032786662707,3,9,"RNA polymerase I activity","MF",33.3333333333333,"IHD","POLR2F, POLR1A, POLR1D"
"10","GO:0001217",0.0154053048318789,0.989604817582792,57,332,"DNA-binding transcription repressor activity","MF",17.1686746987952,"IHD","ZFHX3, BACH1, BCL6, DACH1, ETV6, FOXO1, NR3C1, HIF1A, HIVEP1, HMX1, SMAD3, MITF, MXI1, NFATC2, NFATC3, NKX6-1, PPARA, SALL1, SATB1, SKI, TFAP2A, TRPS1, YY1, ZBTB14, ZBTB25, ZNF134, ZBTB16, PRDM2, TBX18, ZNF536, DEAF1, ZNF266, SOX30, PRDM5, KLF12, MYT1L, CUX2, ZBTB20, LEF1, BCL11A, PCBP3, SOX6, ZNF77, BACH2, PRDM16, ZNF557, KLF16, ZBTB37, ZBTB45, ZNF439, ZNF554, ZNF684, ZNF558, GLIS3, CC2D1B, ZNF749, ZNF559-ZNF177"
