"","x"
"1","FMN1"
"2","LCE2C"
"3","MFSD1"
"4","GSTA1"
"5","IDE"
"6","IGDCC4"
"7","DYNC2LI1"
"8","CXCR1"
"9","IGSF10"
"10","RIMS2"
"11","ZZEF1"
"12","SUPT5H"
"13","ZMYND8"
"14","LRP1B"
"15","ARHGAP21"
"16","LDHC"
"17","YARS1"
"18","FXR1"
"19","MGAM2"
"20","ACSS3"
"21","CACNG3"
"22","ICMT"
"23","CDC20"
"24","GPD2"
"25","CREB3L2"
"26","BRINP1"
"27","DENND5A"
"28","LAMA3"
"29","RYR1"
"30","GOLPH3L"
"31","NCL"
"32","TNC"
"33","NAV1"
"34","HMX1"
"35","GRM8"
"36","ZFHX4"
"37","PTGER2"
"38","KTN1"
"39","ADGRF1"
"40","OAS2"
"41","PKDREJ"
"42","EFNA4"
"43","RNF144A"
"44","RFC4"
"45","BEND4"
"46","NAPEPLD"
"47","COL22A1"
"48","TGM6"
"49","AOX1"
"50","CACNA2D1"
"51","CAMK2G"
"52","WNK1"
"53","NAV3"
"54","GPATCH8"
"55","TGM3"
"56","USP24"
"57","IGSF3"
"58","GNPAT"
"59","OR2T4"
"60","REV1"
"61","ICA1L"
"62","COL7A1"
"63","HHIP"
"64","LRRC70"
"65","CRISP1"
"66","TTK"
"67","IGF2R"
"68","CPA4"
"69","PSKH2"
"70","PTDSS1"
"71","ASTN2"
"72","DPP3"
"73","PDE3A"
"74","MTUS2"
"75","DGKH"
"76","VIPAS39"
"77","VIPAS39"
"78","SLC27A2"
"79","SALL1"
"80","TRANK1"
"81","EPHA1"
"82","PTPRJ"
"83","NANOGNB"
"84","TOGARAM2"
"85","TUBA4B"
"86","ATP2C1"
"87","KMT2C"
"88","MPP7"
"89","MAT1A"
"90","SEC31B"
"91","CIDEB"
"92","RRN3"
"93","MFSD11"
"94","MUC16"
"95","ZNF254"
"96","TTC13"
"97","BTAF1"
"98","CIRBP"
"99","CR1"
"100","TRAPPC11"
"101","ERP44"
"102","STAT5A"
"103","ACP3"
"104","MRPS33"
"105","VPS13A"
