"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes"
"1","GO:0000255",0.0397301572978483,0.994448971156182,3,9,"allantoin metabolic process","BP",33.3333333333333,"Control","XDH, GDA, ALLC"
"2","GO:0000731",0.046299293698294,0.982695228097311,8,37,"DNA synthesis involved in DNA repair","BP",21.6216216216216,"Control","POLE2, POLH, REV3L, RFC3, RRM1, SYCP1, USP10, SPRTN"
"3","GO:0000812",0.0262524714130059,0.995440427894788,4,13,"Swr1 complex","CC",30.7692307692308,"Control","RUVBL1, CFDP1, EP400, ANP32E"
"4","GO:0001514",0.0481238156012875,0.993024382467363,3,8,"selenocysteine incorporation","BP",37.5,"Control","SECISBP2L, EEFSEC, SECISBP2"
"5","GO:0001539",0.00876423883642681,0.995338734404075,28,141,"cilium or flagellum-dependent cell motility","BP",19.8581560283688,"Control","BBS4, DNAH5, DNAH6, DNAH8, DNAH9, RFX3, TACR1, TACR3, DNAH11, CEP131, VPS13A, CFAP45, DNAH1, DDX4, ROPN1, CFAP46, DNAH3, DNAH7, TEKT3, SPAG16, TEX101, EFHC1, CATSPER1, CCDC38, DNHD1, CFAP54, SLC9B1, TCTE1, PRSS55, CATSPERE"
"6","GO:0001660",0.0462746313880041,0.992737414166008,3,11,"fever generation","BP",27.2727272727273,"Control","EDNRB, TNFSF11, PTGES"
"7","GO:0001776",0.047093379894366,0.975616092506119,15,108,"leukocyte homeostasis","BP",13.8888888888889,"Control","ABL1, HMGB1, LMO1, LYN, KITLG, PDE4B, PIK3CD, SKIL, SOS1, SPTA1, ADAM17, AIM2, MERTK, SH2B2, DOCK10"
"8","GO:0001911",0.0191923985560112,0.996611817523531,4,26,"negative regulation of leukocyte mediated cytotoxicity","BP",15.3846153846154,"Control","FCGR2B, HLA-G, KLRD1, PTPRC"
"9","GO:0001915",0.00235375241066898,0.99981675062691,4,10,"negative regulation of T cell mediated cytotoxicity","BP",40,"Control","FCGR2B, HLA-G, KLRD1, PTPRC"
"10","GO:0001966",0.04651479645236,0.997789174093735,2,3,"thigmotaxis","BP",66.6666666666667,"Control","EP300, SCN11A"
"11","GO:0001974",0.00891008760039249,0.99696162872149,11,50,"blood vessel remodeling","BP",22,"Control","BCR, BMPR2, DBH, EXT1, RBPJ, MDM2, NPR3, ATG5, SEMA3C, CRB1, TMBIM1"
"12","GO:0002062",0.0402823952132794,0.977443781718774,21,108,"chondrocyte differentiation","BP",19.4444444444444,"Control","BMPR1B, BMPR2, RUNX2, RUNX1, RUNX3, ATF2, MAPK14, EXT1, EXT2, RARB, SHOX2, SOX5, TGFBR2, WNT2B, ZBTB16, HMGA2, FGF18, SULF1, CHST11, SOX6, ADAMTS12, ZNF664-RFLNA"
"13","GO:0002063",0.0115376414278341,0.99659535229247,9,29,"chondrocyte development","BP",31.0344827586207,"Control","BMPR1B, BMPR2, RUNX2, EXT1, SHOX2, TGFBR2, FGF18, SULF1, CHST11, ZNF664-RFLNA"
"14","GO:0002220",0.0303291925006768,0.986106843690536,13,88,"innate immune response activating cell surface receptor signaling pathway","BP",14.7727272727273,"Control","EP300, FYN, IKBKB, KLRD1, LYN, PAK1, PLCG2, PRKCE, TLR5, RIPK2, COLEC10, CLEC6A, PIK3AP1"
"15","GO:0002223",0.00372410196210534,0.999198510211104,8,23,"stimulatory C-type lectin receptor signaling pathway","BP",34.7826086956522,"Control","EP300, FYN, IKBKB, KLRD1, LYN, PAK1, PLCG2, CLEC6A"
"16","GO:0002262",0.0318725593657416,0.981786847707641,23,169,"myeloid cell homeostasis","BP",13.6094674556213,"Control","BPGM, CDK6, MAPK14, ETS1, FOXO3, HCLS1, HMGB1, INPP5D, KCNQ1, LYN, KITLG, PDE4B, PIK3CD, RHAG, ADAM17, MERTK, RCOR1, HIPK2, P4HTM, HAMP, SMAP1, L3MBTL3, CDIN1, ADGRF5"
"17","GO:0002274",0.0464506815991416,0.970559277050785,29,236,"myeloid leukocyte activation","BP",12.2881355932203,"Control","RHOH, BCR, FCER1A, FCGR2B, FER, HMGB1, IFNGR1, RBPJ, CXCL8, LYN, MAPT, CD200, PIK3CD, PLA2G4A, PLCG2, PRKCE, PTPRC, RORA, TGFBR2, DYSF, SCN11A, HAVCR1, STK39, C12orf4, HAMP, CLNK, IL31RA, LRFN5, ADGRF5"
"18","GO:0002429",0.0283951638951954,0.98161914585003,38,288,"immune response-activating cell surface receptor signaling pathway","BP",13.1944444444444,"Control","ABL1, CACNB4, CBLB, CD22, CD38, EP300, FCGR2B, FYB1, FYN, GRB2, IKBKB, INPP5D, KLRD1, LYN, PAK1, PDE4B, PDE4D, PIK3CD, PLCG2, PRKCE, PRKCH, PTPRC, SOS1, TEC, TLR5, VAV1, VAV2, RIPK2, EIF2B3, VAV3, COLEC10, SH2B2, BANK1, SLC39A10, MYO1G, CARD11, CLEC6A, PIK3AP1, THEMIS"
"19","GO:0002431",0.00981345268928038,0.99685638962019,11,31,"Fc receptor mediated stimulatory signaling pathway","BP",35.4838709677419,"Control","ABL1, FCGR2B, FYN, LYN, PAK1, PRKCE, PTPRC, VAV1, VAV2, VAV3, MYO1G"
"20","GO:0002433",0.00309771068593835,0.999212630206122,11,25,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","BP",44,"Control","ABL1, FCGR2B, FYN, LYN, PAK1, PRKCE, PTPRC, VAV1, VAV2, VAV3, MYO1G"
"21","GO:0002437",0.0262112446064993,0.98960505966764,10,77,"inflammatory response to antigenic stimulus","BP",12.987012987013,"Control","CD6, MAPK14, EXT1, FCER1A, FCGR2B, FYN, HMGB1, RBPJ, LYN, IL31RA"
"22","GO:0002438",0.016201959132834,0.996661896457048,5,24,"acute inflammatory response to antigenic stimulus","BP",20.8333333333333,"Control","CD6, EXT1, FCER1A, FCGR2B, IL31RA"
"23","GO:0002461",0.0128864383679748,0.999469172258993,2,6,"tolerance induction dependent upon immune response","BP",33.3333333333333,"Control","HLA-G, PSG9"
"24","GO:0002507",0.00474565973105941,0.998990707447651,7,28,"tolerance induction","BP",25,"Control","CBLB, HLA-G, HMGB1, LYN, PSG9, TGFBR2, ICOS"
"25","GO:0002514",0.011939766260122,0.999732046557145,2,3,"B cell tolerance induction","BP",66.6666666666667,"Control","HLA-G, TGFBR2"
"26","GO:0002526",0.0274134020198252,0.987922389668868,12,105,"acute inflammatory response","BP",11.4285714285714,"Control","ALOX5AP, CD6, EDNRB, EXT1, FCER1A, FCGR2B, SERPINF2, TNFSF11, PTGES, SCN11A, MYLK3, IL31RA"
"27","GO:0002694",0.00271685880314141,0.998232712192175,69,580,"regulation of leukocyte activation","BP",11.8965517241379,"Control","ABL1, RHOH, BCR, RUNX1, RUNX3, CBLB, CD6, CD22, CD38, CHRNB2, DLG1, EPHB2, FANCD2, FCGR2B, FER, FOXO3, FYN, HLA-G, HMGB1, INPP5D, KLRD1, LMO1, LYN, KITLG, MLH1, CD200, MSH2, NEDD9, PLA2G4A, PRKAR1A, PSG9, PTPRC, RORA, SDC4, SMARCC1, SMARCD1, SOS1, SPTA1, TACR1, ZEB1, TGFBR2, VAV1, ZBTB16, TNFSF11, PDE5A, RIPK2, DLG5, TOX, VAV3, MERTK, PAXIP1, HAVCR1, BRD7, ICOS, BANK1, PCID2, C12orf4, ZMIZ1, SLC39A10, HAMP, SAMSN1, RASSF5, CARD11, DAPL1, CLNK, IL31RA, LRFN5, ADGRF5, IL27"
