"","x"
"1","KAZN"
"2","KPNA6"
"3","AGBL4"
"4","USP24"
"5","LINC01362"
"6","CLCA2"
"7","FRRS1"
"8","LINC01677"
"9","VAV3"
"10","HENMT1"
"11","LRIG2"
"12","NBPF25P"
"13","PRPF3"
"14","OR6K2"
"15","PBX1"
"16","RABGAP1L"
"17","CACNA1E"
"18","LINC02789"
"19","USH2A"
"20","ESRRG"
"21","MIA3"
"22","C1orf198"
"23","OR2L13"
"24","LINC01250"
"25","MIR3681HG"
"26","LOC100506474"
"27","ATAD2B"
"28","LINC01317"
"29","ATP6V1E2"
"30","EPCAM"
"31","NRXN1"
"32","LOC730100"
"33","RTN4"
"34","RTN4"
"35","WDPCP"
"36","WDPCP"
"37","AAK1"
"38","EXOC6B"
"39","CTNNA2"
"40","CTNNA2"
"41","MIR548AU"
"42","LRP1B"
"43","LRP1B"
"44","KYNU"
"45","TLK1"
"46","METTL8"
"47","OSBPL6"
"48","XRCC5"
"49","SLC19A3"
"50","DIS3L2"
"51","LOC150935"
"52","CNTN4"
"53","GRM7-AS3"
"54","NUP210"
"55","UBE2E2"
"56","RARB"
"57","CMTM8"
"58","LOC101928135"
"59","ARPP21"
"60","ARPP21"
"61","SPINK8"
"62","CACNA2D3"
"63","MAGI1"
"64","LINC02005"
"65","LINC02005"
"66","LINC00971"
"67","CADM2"
"68","CADM2"
"69","CADM2"
"70","CFAP91"
"71","POLQ"
"72","TF"
"73","PLSCR2"
"74","WWTR1"
"75","LINC01322"
"76","EGFEM1P"
"77","FGF12"
"78","MUC4"
"79","PPARGC1A"
"80","PDCL2"
"81","FRAS1"
"82","PDE5A"
"83","SCLT1"
"84","MARCHF1"
"85","HPF1"
"86","LINC02436"
"87","LINC02508"
"88","LINC02199"
"89","TRIO"
"90","CDH12"
"91","C5orf17"
"92","OSMR-AS1"
"93","NNT"
"94","CDC20B"
"95","PDE4D"
"96","MAST4"
"97","CAMK4"
"98","AP3S1"
"99","LINC00992"
"100","ALDH7A1"
"101","SGCD"
"102","LINC01947"
"103","WWC1"
"104","NUP153"
"105","HCRTR2"
"106","HCRTR2"
"107","KHDRBS2"
"108","EYS"
"109","ADGRB3"
"110","COL9A1"
"111","SDHAF4"
"112","UBE3D"
"113","MRAP2"
"114","RNGTT"
"115","ANKRD6"
"116","CASP8AP2"
"117","KLHL32"
"118","LOC101927314"
"119","GRIK2"
"120","GRIK2"
"121","LINC00271"
"122","UTRN"
"123","ESR1"
"124","LOC105378068"
"125","TMEM181"
"126","PDE1C"
"127","ELMO1"
"128","GALNT17"
"129","CALN1"
"130","CALN1"
"131","ANKIB1"
"132","CALCR"
"133","RASA4DP"
"134","AKR1D1"
"135","TRPV5"
"136","DPP6"
"137","DPP6"
"138","PTPRN2"
"139","SGCZ"
"140","SGCZ"
"141","NRG1"
"142","ZMAT4"
"143","YTHDF3"
"144","RALYL"
"145","ATP6V1C1"
"146","ZFPM2"
"147","EIF3H"
"148","ANXA13"
"149","COL22A1"
"150","PTPRD"
"151","PTPRD"
"152","FRMPD1"
"153","RMI1"
"154","SNX30"
"155","LOC105376360"
"156","TUBAL3"
"157","KIAA1217"
"158","KIAA1217"
"159","PCDH15"
"160","KAT6B"
"161","KCNMA1"
"162","LINC01374"
"163","LINC02653"
"164","LINC02627"
"165","ATE1"
"166","TACC2"
"167","TEX36"
"168","TEX36"
"169","TEX36"
"170","STIM1"
"171","IRAG1"
"172","GALNT18"
"173","SOX6"
"174","NELL1"
"175","METTL15"
"176","LRRC4C"
"177","LINC01499"
"178","MADD"
"179","TPCN2"
"180","ARRB1"
"181","NOX4"
"182","PGR"
"183","GUCY1A2"
"184","SDHD"
"185","ZBTB16"
"186","PLBD1-AS1"
"187","BICD1"
"188","ANO6"
"189","PFKM"
"190","SCN8A"
"191","TRHDE"
"192","SYT1"
"193","CFAP54"
"194","RMST"
"195","LRRC43"
"196","ANKRD26P3"
"197","FREM2"
"198","DLEU1"
"199","WDFY2"
"200","KLF12"
"201","LINC00377"
"202","LINC00397"
"203","GPC5"
"204","PRORP"
"205","TTC6"
"206","MDGA2"
"207","ACTR10"
"208","DCAF5"
"209","SLC39A9"
"210","NRXN3"
"211","FOXN3"
"212","FAM189A1"
"213","TJP1"
"214","TRPM1"
"215","FMN1"
"216","FMN1"
