"","x"
"1","FMN1"
"2","LCE2C"
"3","MFSD1"
"4","GSTA1"
"5","IDE"
"6","IGDCC4"
"7","DYNC2LI1"
"8","CXCR1"
"9","IGSF10"
"10","RIMS2"
"11","ZZEF1"
"12","SUPT5H"
"13","ZMYND8"
"14","LRP1B"
"15","ARHGAP21"
"16","LDHC"
"17","YARS1"
"18","FXR1"
"19","MGAM2"
"20","ACSS3"
"21","CACNG3"
"22","ICMT"
"23","CDC20"
"24","GPD2"
"25","CREB3L2"
"26","BRINP1"
"27","DENND5A"
"28","LAMA3"
"29","RYR1"
"30","GOLPH3L"
"31","NCL"
"32","TNC"
"33","NAV1"
"34","HMX1"
"35","GRM8"
"36","ZFHX4"
"37","PTGER2"
"38","KTN1"
"39","ADGRF1"
"40","OAS2"
"41","PKDREJ"
"42","EFNA4"
"43","RNF144A"
"44","RFC4"
"45","BEND4"
"46","NAPEPLD"
"47","COL22A1"
"48","TGM6"
"49","AOX1"
"50","CACNA2D1"
"51","CAMK2G"
"52","WNK1"
"53","NAV3"
"54","GPATCH8"
"55","TGM3"
"56","USP24"
"57","IGSF3"
"58","GNPAT"
"59","OR2T4"
"60","REV1"
"61","ICA1L"
"62","COL7A1"
"63","HHIP"
"64","LRRC70"
"65","CRISP1"
"66","TTK"
"67","IGF2R"
"68","CPA4"
"69","PSKH2"
"70","PTDSS1"
"71","ASTN2"
"72","DPP3"
"73","PDE3A"
"74","MTUS2"
"75","DGKH"
"76","VIPAS39"
"77","VIPAS39"
"78","SLC27A2"
"79","SALL1"
"80","TRANK1"
"81","AGER;AGER"
"82","EPHA1"
"83","PTPRJ"
"84","NANOGNB"
"85","TOGARAM2"
"86","TUBA4B"
"87","ATP2C1"
"88","KMT2C"
"89","MPP7"
"90","MAT1A"
"91","SEC31B"
"92","CIDEB"
"93","RRN3"
"94","MFSD11"
"95","MUC16"
"96","ZNF254"
"97","TTC13"
"98","BTAF1"
"99","CIRBP"
"100","CR1"
"101","TRAPPC11"
"102","ERP44"
"103","STAT5A"
"104","ACP3"
"105","MRPS33"
"106","VPS13A"
