"","x"
"1","PTGFRN"
"2","SCN1A"
"3","KRT3"
"4","TTN"
"5","C2orf16"
"6","ISY1;ISY1-RAB43"
"7","PKHD1"
"8","TAOK2"
"9","PCLO"
"10","GCNT1"
"11","VPS16"
"12","ATAD2"
"13","DNHD1"
"14","SSC5D"
"15","FASTKD5"
"16","EIF3L"
"17","SHOX2"
"18","C4orf54"
"19","NPR3"
"20","ATG12"
"21","DSP"
"22","ZNF862"
"23","CARD18"
"24","RHCG"
"25","NETO1"
"26","LDLRAD1"
"27","TNFRSF8"
"28","LOC114841035"
"29","SECISBP2L"
"30","ZNF563"
"31","FLNB"
"32","GRIN2B"
"33","POLE2"
"34","CADM4"
"35","DNAI4"
"36","OR14C36"
"37","PPP2R3A"
"38","FXR1"
"39","MEGF10"
"40","OR51J1"
"41","CDH16"
"42","CATSPERG"
"43","GPCPD1"
"44","STEAP3"
"45","MCTP1"
"46","ACAP2"
"47","NFASC"
"48","RIC1"
"49","ZBED4"
"50","SPAM1"
"51","SGPP1"
"52","XIRP2"
