Func.refGene	Group	Count	Total	Prop	LowCI	HighCI	Normalized_Prop	Normalized_LowCI	Normalized_HighCI	Count1	SE1
intergenic	Control	2402	4242	0.566242338519566	0.551157025357518	0.581206838204132	0.99345989880093	0.966993044120774	1.01971478885578	203.412437613037	15.6214775218491
upstream	Control	15	4242	0.00353606789250354	0.00205532370467227	0.00597263960370321	0.591315701087548	0.343699616165931	0.998769164498864	1.27026917743362	0.0975529403945615
5' UTR	Control	6	4242	0.00141442715700141	0.000575101700024666	0.0032432994598111	0.915486833010624	0.372234110048328	2.09922295133405	0.508107670973447	0.0390211761578246
exonic	Control	33	4242	0.00777934936350778	0.00544664553303361	0.0110418740045225	1.29117831759465	0.904007557349976	1.83267618332324	2.79459219035396	0.214616468868035
3' UTR	Control	45	4242	0.0106082036775106	0.00783680565520823	0.0142986622590186	1.5307653214301	1.13085218689873	2.06329902727542	3.81080753230085	0.292658821183684
downstream	Control	21	4242	0.00495049504950495	0.00314710587614233	0.00769856877101689	0.788923513865331	0.501530816915112	1.22686354916604	1.77837684840707	0.136574116552386
splice site	Control	0	4242	0	0	0.00112797685192001	0	0	32.2279100548575	0	0
intronic	Control	1422	4242	0.335219236209335	0.321051618159437	0.349687500428211	0.969514218560086	0.928538923413457	1.01135903640737	120.421518020707	9.24801874940443
intergenic	IHD	9842	17179	0.572908783980441	0.565467188277822	0.580317651917683	1.00515603273934	0.992099914517996	1.01815473080633	433.179623321164	115.34866496551
upstream	IHD	54	17179	0.00314337272251004	0.00238487175234626	0.00413168845243709	0.525647612459873	0.398807985342185	0.690917801410885	2.37672217632015	0.632882331653884
5' UTR	IHD	14	17179	0.000814948483613714	0.000463855223481142	0.0014039699021739	0.527474746675543	0.300229918110772	0.908718383284076	0.616187230897816	0.164080604502859
exonic	IHD	141	17179	0.00820769544210955	0.00693740652089185	0.00970260560966531	1.36227310242482	1.151436766953	1.61039097255856	6.20588568261371	1.65252608820736
3' UTR	IHD	147	17179	0.008556959077944	0.00725847848098734	0.0100798054367803	1.23477042971775	1.04739949220596	1.45451737904478	6.46996592442706	1.72284634728002
downstream	IHD	76	17179	0.00442400605390302	0.00351046218369471	0.00556559325854844	0.705020885084147	0.559436204572862	0.886947132836404	3.34501639630243	0.890723281586948
splice site	IHD	2	17179	0.000116421211944816	2.01654647432785e-05	0.000469449342936064	3.32632034128047	0.576156135522243	13.4128383696018	0.0880267472711165	0.0234400863575513
intronic	IHD	5676	17179	0.330403399499389	0.323379451494383	0.337503492528559	0.955585954128265	0.935271435372463	0.976120697965522	249.819908755429	66.5229650827305
intergenic	Germline	113994	200000	0.56997	0.56779643114736	0.57214087793863	1	0.996186520601715	1.00380875824803	0	0
upstream	Germline	1196	200000	0.00598	0.00564903428245634	0.00633008327900222	1	0.944654562283669	1.0585423543482	0	0
5' UTR	Germline	309	200000	0.001545	0.00137981635049331	0.00172960888795931	1	0.893085016500524	1.11948795337172	0	0
exonic	Germline	1205	200000	0.006025	0.0056927723997959	0.00637634289877136	1	0.944858489592681	1.05831417406994	0	0
3' UTR	Germline	1386	200000	0.00693	0.00657334433825337	0.00730572657426234	1	0.948534536544497	1.05421739888346	0	0
downstream	Germline	1255	200000	0.006275	0.00593584763340672	0.0066332551982533	1	0.94595181408872	1.05709246187304	0	0
splice site	Germline	7	200000	3.5e-05	1.53368284669671e-05	7.56061692393759e-05	1	0.438195099056204	2.16017626398217	0	0
intronic	Germline	69152	200000	0.34576	0.343676045833186	0.347849886225196	1	0.993972830382883	1.00604432619504	0	0
